[D] Systrack v0.8
[D] Command line: systrack -vvvv --format json --arch arm64 --kdir /mnt/m2data/linux-worktrees/v6.5 --remap /mnt/m2data/linux /mnt/m2data/kernels/vmlinux-arm64-v6.5
[D] Running command: readelf -Ws /mnt/m2data/kernels/vmlinux-arm64-v6.5
[D] Running command: readelf -WS /mnt/m2data/kernels/vmlinux-arm64-v6.5
Detected kernel version: 6.5.0 (from vmlinux)
[D] Arch: ArchArm64(name='arm64', bits32=False, abi='aarch64', compat=False, ...)
[D] Syscall table: Symbol("sys_call_table" at 0xffff800080f30978, type=OBJECT, size=0xe20)
[D] sys_call_table[20]: Symbol("__arm64_sys_epoll_create1" at 0xffff800080399b98, type=FUNC, size=0x24)
[D] sys_call_table[21]: Symbol("__arm64_sys_epoll_ctl" at 0xffff80008039a7a8, type=FUNC, size=0xe0)
[D] sys_call_table[22]: Symbol("__arm64_sys_epoll_pwait" at 0xffff80008039a978, type=FUNC, size=0x110)
[D] sys_call_table[23]: Symbol("__arm64_sys_dup" at 0xffff8000803619fc, type=FUNC, size=0x88)
[D] sys_call_table[24]: Symbol("__arm64_sys_dup3" at 0xffff800080361928, type=FUNC, size=0x30)
[D] sys_call_table[25]: Symbol("__arm64_sys_fcntl" at 0xffff800080350320, type=FUNC, size=0xdc)
[D] sys_call_table[26]: Symbol("__arm64_sys_inotify_init1" at 0xffff800080393d54, type=FUNC, size=0x24)
[D] sys_call_table[27]: Symbol("__arm64_sys_inotify_add_watch" at 0xffff800080393d9c, type=FUNC, size=0x434)
[D] sys_call_table[28]: Symbol("__arm64_sys_inotify_rm_watch" at 0xffff8000803941d0, type=FUNC, size=0xfc)
[D] sys_call_table[29]: Symbol("__arm64_sys_ioctl" at 0xffff800080351ed0, type=FUNC, size=0xf0)
[D] sys_call_table[30]: Symbol("__arm64_sys_ioprio_set" at 0xffff80008059bbc0, type=FUNC, size=0x2c4)
[D] sys_call_table[31]: Symbol("__arm64_sys_ioprio_get" at 0xffff80008059be84, type=FUNC, size=0x348)
[D] sys_call_table[32]: Symbol("__arm64_sys_flock" at 0xffff8000803aa768, type=FUNC, size=0x28)
[D] sys_call_table[33]: Symbol("__arm64_sys_mknodat" at 0xffff80008034db34, type=FUNC, size=0x5c)
[D] sys_call_table[34]: Symbol("__arm64_sys_mkdirat" at 0xffff80008034dd80, type=FUNC, size=0x7c)
[D] sys_call_table[35]: Symbol("__arm64_sys_unlinkat" at 0xffff80008034e360, type=FUNC, size=0x80)
[D] sys_call_table[36]: Symbol("__arm64_sys_symlinkat" at 0xffff80008034e5cc, type=FUNC, size=0x68)
[D] sys_call_table[37]: Symbol("__arm64_sys_linkat" at 0xffff80008034e950, type=FUNC, size=0x80)
[D] sys_call_table[38]: Symbol("__arm64_sys_renameat" at 0xffff80008034ef9c, type=FUNC, size=0x70)
[D] sys_call_table[39]: Symbol("__arm64_sys_umount" at 0xffff8000803662f8, type=FUNC, size=0x98)
[D] sys_call_table[40]: Symbol("__arm64_sys_mount" at 0xffff800080368c68, type=FUNC, size=0x2b0)
[D] sys_call_table[41]: Symbol("__arm64_sys_pivot_root" at 0xffff800080369614, type=FUNC, size=0x4f8)
[D] sys_call_table[42]: Symbol("__arm64_sys_ni_syscall" at 0xffff800080020e78, type=FUNC, size=0x1c)
[D] sys_call_table[43]: Symbol("__arm64_sys_statfs" at 0xffff800080381334, type=FUNC, size=0x20)
[D] sys_call_table[44]: Symbol("__arm64_sys_fstatfs" at 0xffff80008038137c, type=FUNC, size=0x28)
[D] sys_call_table[45]: Symbol("__arm64_sys_truncate" at 0xffff800080334934, type=FUNC, size=0x20)
[D] sys_call_table[46]: Symbol("__arm64_sys_ftruncate" at 0xffff800080334ac8, type=FUNC, size=0x2c)
[D] sys_call_table[47]: Symbol("__arm64_sys_fallocate" at 0xffff800080334bbc, type=FUNC, size=0x30)
[D] sys_call_table[48]: Symbol("__arm64_sys_faccessat" at 0xffff800080334bec, type=FUNC, size=0x30)
[D] sys_call_table[49]: Symbol("__arm64_sys_chdir" at 0xffff800080334c7c, type=FUNC, size=0xf8)
[D] sys_call_table[50]: Symbol("__arm64_sys_fchdir" at 0xffff800080334d74, type=FUNC, size=0xd0)
[D] sys_call_table[51]: Symbol("__arm64_sys_chroot" at 0xffff800080334e44, type=FUNC, size=0x130)
[D] sys_call_table[52]: Symbol("__arm64_sys_fchmod" at 0xffff800080335210, type=FUNC, size=0xb0)
[D] sys_call_table[53]: Symbol("__arm64_sys_fchmodat" at 0xffff8000803352c0, type=FUNC, size=0x30)
[D] sys_call_table[54]: Symbol("__arm64_sys_fchownat" at 0xffff800080335650, type=FUNC, size=0x38)
[D] sys_call_table[55]: Symbol("__arm64_sys_fchown" at 0xffff800080335898, type=FUNC, size=0x30)
[D] sys_call_table[56]: Symbol("__arm64_sys_openat" at 0xffff800080335e7c, type=FUNC, size=0xa4)
[D] sys_call_table[57]: Symbol("__arm64_sys_close" at 0xffff800080336218, type=FUNC, size=0x50)
[D] sys_call_table[58]: Symbol("__arm64_sys_vhangup" at 0xffff800080336298, type=FUNC, size=0x38)
[D] sys_call_table[59]: Symbol("__arm64_sys_pipe2" at 0xffff8000803457c4, type=FUNC, size=0x2c)
[D] sys_call_table[60]: Symbol("__arm64_sys_quotactl" at 0xffff8000803c4548, type=FUNC, size=0x4ec)
[D] sys_call_table[61]: Symbol("__arm64_sys_getdents64" at 0xffff800080352fa4, type=FUNC, size=0x14c)
[D] sys_call_table[62]: Symbol("__arm64_sys_lseek" at 0xffff800080337c14, type=FUNC, size=0xd8)
[D] sys_call_table[63]: Symbol("__arm64_sys_read" at 0xffff800080338d18, type=FUNC, size=0x28)
[D] sys_call_table[64]: Symbol("__arm64_sys_write" at 0xffff800080338e44, type=FUNC, size=0x28)
[D] sys_call_table[65]: Symbol("__arm64_sys_readv" at 0xffff800080339044, type=FUNC, size=0x2c)
[D] sys_call_table[66]: Symbol("__arm64_sys_writev" at 0xffff800080339070, type=FUNC, size=0x2c)
[D] sys_call_table[67]: Symbol("__arm64_sys_pread64" at 0xffff800080338f2c, type=FUNC, size=0x2c)
[D] sys_call_table[68]: Symbol("__arm64_sys_pwrite64" at 0xffff800080339018, type=FUNC, size=0x2c)
[D] sys_call_table[69]: Symbol("__arm64_sys_preadv" at 0xffff80008033909c, type=FUNC, size=0x2c)
[D] sys_call_table[70]: Symbol("__arm64_sys_pwritev" at 0xffff800080339114, type=FUNC, size=0x2c)
[D] sys_call_table[71]: Symbol("__arm64_sys_sendfile64" at 0xffff8000803393c4, type=FUNC, size=0x140)
[D] sys_call_table[72]: Symbol("__arm64_sys_pselect6" at 0xffff800080354ff8, type=FUNC, size=0x224)
[D] sys_call_table[73]: Symbol("__arm64_sys_ppoll" at 0xffff800080355358, type=FUNC, size=0x130)
[D] sys_call_table[74]: Symbol("__arm64_sys_signalfd4" at 0xffff80008039b874, type=FUNC, size=0xcc)
[D] sys_call_table[75]: Symbol("__arm64_sys_vmsplice" at 0xffff80008037db78, type=FUNC, size=0x2c)
[D] sys_call_table[76]: Symbol("__arm64_sys_splice" at 0xffff80008037dba4, type=FUNC, size=0x330)
[D] sys_call_table[77]: Symbol("__arm64_sys_tee" at 0xffff80008037e1a0, type=FUNC, size=0x104)
[D] sys_call_table[78]: Symbol("__arm64_sys_readlinkat" at 0xffff800080340278, type=FUNC, size=0x30)
[D] sys_call_table[79]: Symbol("__arm64_sys_newfstatat" at 0xffff800080340224, type=FUNC, size=0x2c)
[D] sys_call_table[80]: Symbol("__arm64_sys_newfstat" at 0xffff800080340250, type=FUNC, size=0x28)
[D] sys_call_table[81]: Symbol("__arm64_sys_sync" at 0xffff80008037e6f0, type=FUNC, size=0x20)
[D] sys_call_table[82]: Symbol("__arm64_sys_fsync" at 0xffff80008037e814, type=FUNC, size=0x28)
[D] sys_call_table[83]: Symbol("__arm64_sys_fdatasync" at 0xffff80008037e83c, type=FUNC, size=0x28)
[D] sys_call_table[84]: Symbol("__arm64_sys_sync_file_range" at 0xffff80008037ea20, type=FUNC, size=0x30)
[D] sys_call_table[85]: Symbol("__arm64_sys_timerfd_create" at 0xffff80008039c964, type=FUNC, size=0x184)
[D] sys_call_table[86]: Symbol("__arm64_sys_timerfd_settime" at 0xffff80008039cae8, type=FUNC, size=0xbc)
[D] sys_call_table[87]: Symbol("__arm64_sys_timerfd_gettime" at 0xffff80008039cba4, type=FUNC, size=0x8c)
[D] sys_call_table[88]: Symbol("__arm64_sys_utimensat" at 0xffff80008037f004, type=FUNC, size=0xd0)
[D] sys_call_table[89]: Symbol("__arm64_sys_acct" at 0xffff8000801686f4, type=FUNC, size=0x2d4)
[D] sys_call_table[90]: Symbol("__arm64_sys_capget" at 0xffff8000800a451c, type=FUNC, size=0x200)
[D] sys_call_table[91]: Symbol("__arm64_sys_capset" at 0xffff8000800a471c, type=FUNC, size=0x21c)
[D] sys_call_table[92]: Symbol("__arm64_sys_arm64_personality" at 0xffff800080020df8, type=FUNC, size=0x80)
[D] sys_call_table[93]: Symbol("__arm64_sys_exit" at 0xffff80008009d47c, type=FUNC, size=0x18)
[D] sys_call_table[94]: Symbol("__arm64_sys_exit_group" at 0xffff80008009d524, type=FUNC, size=0x18)
[D] sys_call_table[95]: Symbol("__arm64_sys_waitid" at 0xffff80008009d56c, type=FUNC, size=0x34)
[D] sys_call_table[96]: Symbol("__arm64_sys_set_tid_address" at 0xffff8000800934e4, type=FUNC, size=0x38)
[D] sys_call_table[97]: Symbol("__arm64_sys_unshare" at 0xffff8000800958b4, type=FUNC, size=0x24)
[D] sys_call_table[98]: Symbol("__arm64_sys_futex" at 0xffff800080160c80, type=FUNC, size=0x190)
[D] sys_call_table[99]: Symbol("__arm64_sys_set_robust_list" at 0xffff8000801609a8, type=FUNC, size=0x24)
[D] sys_call_table[100]: Symbol("__arm64_sys_get_robust_list" at 0xffff8000801609cc, type=FUNC, size=0x128)
[D] sys_call_table[101]: Symbol("__arm64_sys_nanosleep" at 0xffff80008014be84, type=FUNC, size=0xe0)
[D] sys_call_table[102]: Symbol("__arm64_sys_getitimer" at 0xffff800080158a38, type=FUNC, size=0x8c)
[D] sys_call_table[103]: Symbol("__arm64_sys_setitimer" at 0xffff800080158c00, type=FUNC, size=0x18c)
[D] sys_call_table[104]: Symbol("__arm64_sys_kexec_load" at 0xffff80008016acd8, type=FUNC, size=0xe4)
[D] sys_call_table[105]: Symbol("__arm64_sys_init_module" at 0xffff800080140268, type=FUNC, size=0x28)
[D] sys_call_table[106]: Symbol("__arm64_sys_delete_module" at 0xffff80008014065c, type=FUNC, size=0x280)
[D] sys_call_table[107]: Symbol("__arm64_sys_timer_create" at 0xffff800080154d10, type=FUNC, size=0xec)
[D] sys_call_table[108]: Symbol("__arm64_sys_timer_gettime" at 0xffff800080154eb4, type=FUNC, size=0x8c)
[D] sys_call_table[109]: Symbol("__arm64_sys_timer_getoverrun" at 0xffff800080154fcc, type=FUNC, size=0x8c)
[D] sys_call_table[110]: Symbol("__arm64_sys_timer_settime" at 0xffff800080155058, type=FUNC, size=0xd4)
[D] sys_call_table[111]: Symbol("__arm64_sys_timer_delete" at 0xffff80008015520c, type=FUNC, size=0x104)
[D] sys_call_table[112]: Symbol("__arm64_sys_clock_settime" at 0xffff800080155480, type=FUNC, size=0xe0)
[D] sys_call_table[113]: Symbol("__arm64_sys_clock_gettime" at 0xffff800080155560, type=FUNC, size=0xe4)
[D] sys_call_table[114]: Symbol("__arm64_sys_clock_getres" at 0xffff8000801556f4, type=FUNC, size=0xec)
[D] sys_call_table[115]: Symbol("__arm64_sys_clock_nanosleep" at 0xffff800080155ab8, type=FUNC, size=0x144)
[D] sys_call_table[116]: Symbol("__arm64_sys_syslog" at 0xffff80008010bf1c, type=FUNC, size=0x34)
[D] sys_call_table[117]: Symbol("__arm64_sys_ptrace" at 0xffff8000800a6014, type=FUNC, size=0x16c)
[D] sys_call_table[118]: Symbol("__arm64_sys_sched_setparam" at 0xffff8000800d4cb8, type=FUNC, size=0x30)
[D] sys_call_table[119]: Symbol("__arm64_sys_sched_setscheduler" at 0xffff8000800d4c80, type=FUNC, size=0x38)
[D] sys_call_table[120]: Symbol("__arm64_sys_sched_getscheduler" at 0xffff8000800d50c0, type=FUNC, size=0x84)
[D] sys_call_table[121]: Symbol("__arm64_sys_sched_getparam" at 0xffff8000800d5144, type=FUNC, size=0x124)
[D] sys_call_table[122]: Symbol("__arm64_sys_sched_setaffinity" at 0xffff8000800d8494, type=FUNC, size=0xf0)
[D] sys_call_table[123]: Symbol("__arm64_sys_sched_getaffinity" at 0xffff8000800d55b4, type=FUNC, size=0xfc)
[D] sys_call_table[124]: Symbol("__arm64_sys_sched_yield" at 0xffff8000800d56b0, type=FUNC, size=0x20)
[D] sys_call_table[125]: Symbol("__arm64_sys_sched_get_priority_max" at 0xffff8000800d5730, type=FUNC, size=0x44)
[D] sys_call_table[126]: Symbol("__arm64_sys_sched_get_priority_min" at 0xffff8000800d5774, type=FUNC, size=0x40)
[D] sys_call_table[127]: Symbol("__arm64_sys_sched_rr_get_interval" at 0xffff8000800d57b4, type=FUNC, size=0x7c)
[D] sys_call_table[128]: Symbol("__arm64_sys_restart_syscall" at 0xffff8000800aa65c, type=FUNC, size=0x28)
[D] sys_call_table[129]: Symbol("__arm64_sys_kill" at 0xffff8000800adf54, type=FUNC, size=0x20c)
[D] sys_call_table[130]: Symbol("__arm64_sys_tkill" at 0xffff8000800ae43c, type=FUNC, size=0x38)
[D] sys_call_table[131]: Symbol("__arm64_sys_tgkill" at 0xffff8000800ae3fc, type=FUNC, size=0x40)
[D] sys_call_table[132]: Symbol("__arm64_sys_sigaltstack" at 0xffff8000800aea3c, type=FUNC, size=0x168)
[D] sys_call_table[133]: Symbol("__arm64_sys_rt_sigsuspend" at 0xffff8000800afaac, type=FUNC, size=0xb8)
[D] sys_call_table[134]: Symbol("__arm64_sys_rt_sigaction" at 0xffff8000800af188, type=FUNC, size=0x14c)
[D] sys_call_table[135]: Symbol("__arm64_sys_rt_sigprocmask" at 0xffff8000800aa970, type=FUNC, size=0x144)
[D] sys_call_table[136]: Symbol("__arm64_sys_rt_sigpending" at 0xffff8000800aabd8, type=FUNC, size=0xc8)
[D] sys_call_table[137]: Symbol("__arm64_sys_rt_sigtimedwait" at 0xffff8000800adb54, type=FUNC, size=0x124)
[D] sys_call_table[138]: Symbol("__arm64_sys_rt_sigqueueinfo" at 0xffff8000800ae474, type=FUNC, size=0xe8)
[D] sys_call_table[139]: Symbol("__arm64_sys_rt_sigreturn" at 0xffff80008001f060, type=FUNC, size=0x9ec)
[D] sys_call_table[140]: Symbol("__arm64_sys_setpriority" at 0xffff8000800b1050, type=FUNC, size=0x2ac)
[D] sys_call_table[141]: Symbol("__arm64_sys_getpriority" at 0xffff8000800b12fc, type=FUNC, size=0x290)
[D] sys_call_table[142]: Symbol("__arm64_sys_reboot" at 0xffff8000800c86b0, type=FUNC, size=0x30)
[D] sys_call_table[143]: Symbol("__arm64_sys_setregid" at 0xffff8000800b1760, type=FUNC, size=0x28)
[D] sys_call_table[144]: Symbol("__arm64_sys_setgid" at 0xffff8000800b18a4, type=FUNC, size=0x20)
[D] sys_call_table[145]: Symbol("__arm64_sys_setreuid" at 0xffff8000800b1bac, type=FUNC, size=0x28)
[D] sys_call_table[146]: Symbol("__arm64_sys_setuid" at 0xffff8000800b1d0c, type=FUNC, size=0x20)
[D] sys_call_table[147]: Symbol("__arm64_sys_setresuid" at 0xffff8000800b21bc, type=FUNC, size=0x2c)
[D] sys_call_table[148]: Symbol("__arm64_sys_getresuid" at 0xffff8000800b21e8, type=FUNC, size=0x154)
[D] sys_call_table[149]: Symbol("__arm64_sys_setresgid" at 0xffff8000800b2798, type=FUNC, size=0x2c)
[D] sys_call_table[150]: Symbol("__arm64_sys_getresgid" at 0xffff8000800b27c4, type=FUNC, size=0x154)
[D] sys_call_table[151]: Symbol("__arm64_sys_setfsuid" at 0xffff8000800b2a04, type=FUNC, size=0x20)
[D] sys_call_table[152]: Symbol("__arm64_sys_setfsgid" at 0xffff8000800b2b14, type=FUNC, size=0x20)
[D] sys_call_table[153]: Symbol("__arm64_sys_times" at 0xffff8000800b2c90, type=FUNC, size=0xc0)
[D] sys_call_table[154]: Symbol("__arm64_sys_setpgid" at 0xffff8000800b2ebc, type=FUNC, size=0x188)
[D] sys_call_table[155]: Symbol("__arm64_sys_getpgid" at 0xffff8000800b3044, type=FUNC, size=0x78)
[D] sys_call_table[156]: Symbol("__arm64_sys_getsid" at 0xffff8000800b30fc, type=FUNC, size=0x7c)
[D] sys_call_table[157]: Symbol("__arm64_sys_setsid" at 0xffff8000800b3270, type=FUNC, size=0x20)
[D] sys_call_table[158]: Symbol("__arm64_sys_getgroups" at 0xffff8000800cabe0, type=FUNC, size=0x140)
[D] sys_call_table[159]: Symbol("__arm64_sys_setgroups" at 0xffff8000800cad7c, type=FUNC, size=0x230)
[D] sys_call_table[160]: Symbol("__arm64_sys_newuname" at 0xffff8000800b3290, type=FUNC, size=0x20)
[D] sys_call_table[161]: Symbol("__arm64_sys_sethostname" at 0xffff8000800b32b0, type=FUNC, size=0x164)
[D] sys_call_table[162]: Symbol("__arm64_sys_setdomainname" at 0xffff8000800b3564, type=FUNC, size=0x164)
[D] sys_call_table[163]: Symbol("__arm64_sys_getrlimit" at 0xffff8000800b36c8, type=FUNC, size=0x104)
[D] sys_call_table[164]: Symbol("__arm64_sys_setrlimit" at 0xffff8000800b3cbc, type=FUNC, size=0xbc)
[D] sys_call_table[165]: Symbol("__arm64_sys_getrusage" at 0xffff8000800b4250, type=FUNC, size=0x28)
[D] sys_call_table[166]: Symbol("__arm64_sys_umask" at 0xffff8000800b42a0, type=FUNC, size=0x30)
[D] sys_call_table[167]: Symbol("__arm64_sys_prctl" at 0xffff8000800b42e0, type=FUNC, size=0x8e4)
[D] sys_call_table[168]: Symbol("__arm64_sys_getcpu" at 0xffff8000800b4bc4, type=FUNC, size=0xf8)
[D] sys_call_table[169]: Symbol("__arm64_sys_gettimeofday" at 0xffff800080145934, type=FUNC, size=0x17c)
[D] sys_call_table[170]: Symbol("__arm64_sys_settimeofday" at 0xffff800080145b8c, type=FUNC, size=0x1a4)
[D] sys_call_table[171]: Symbol("__arm64_sys_adjtimex" at 0xffff80008014603c, type=FUNC, size=0x20)
[D] sys_call_table[172]: Symbol("__arm64_sys_getpid" at 0xffff8000800b2b34, type=FUNC, size=0x2c)
[D] sys_call_table[173]: Symbol("__arm64_sys_getppid" at 0xffff8000800b2b8c, type=FUNC, size=0x44)
[D] sys_call_table[174]: Symbol("__arm64_sys_getuid" at 0xffff8000800b2bd0, type=FUNC, size=0x30)
[D] sys_call_table[175]: Symbol("__arm64_sys_geteuid" at 0xffff8000800b2c00, type=FUNC, size=0x30)
[D] sys_call_table[176]: Symbol("__arm64_sys_getgid" at 0xffff8000800b2c30, type=FUNC, size=0x30)
[D] sys_call_table[177]: Symbol("__arm64_sys_getegid" at 0xffff8000800b2c60, type=FUNC, size=0x30)
[D] sys_call_table[178]: Symbol("__arm64_sys_gettid" at 0xffff8000800b2b60, type=FUNC, size=0x2c)
[D] sys_call_table[179]: Symbol("__arm64_sys_sysinfo" at 0xffff8000800b4cbc, type=FUNC, size=0x20)
[D] sys_call_table[180]: Symbol("__arm64_sys_mq_open" at 0xffff800080547dd4, type=FUNC, size=0xe8)
[D] sys_call_table[181]: Symbol("__arm64_sys_mq_unlink" at 0xffff800080547ebc, type=FUNC, size=0x15c)
[D] sys_call_table[182]: Symbol("__arm64_sys_mq_timedsend" at 0xffff800080548018, type=FUNC, size=0xc0)
[D] sys_call_table[183]: Symbol("__arm64_sys_mq_timedreceive" at 0xffff8000805480d8, type=FUNC, size=0xc0)
[D] sys_call_table[184]: Symbol("__arm64_sys_mq_notify" at 0xffff800080548198, type=FUNC, size=0xd0)
[D] sys_call_table[185]: Symbol("__arm64_sys_mq_getsetattr" at 0xffff800080548268, type=FUNC, size=0x28)
[D] sys_call_table[186]: Symbol("__arm64_sys_msgget" at 0xffff80008053dbf0, type=FUNC, size=0x7c)
[D] sys_call_table[187]: Symbol("__arm64_sys_msgctl" at 0xffff80008053dc6c, type=FUNC, size=0x2c)
[D] sys_call_table[188]: Symbol("__arm64_sys_msgrcv" at 0xffff80008053de80, type=FUNC, size=0x38)
[D] sys_call_table[189]: Symbol("__arm64_sys_msgsnd" at 0xffff80008053dda4, type=FUNC, size=0x2c)
[D] sys_call_table[190]: Symbol("__arm64_sys_semget" at 0xffff800080540d74, type=FUNC, size=0x94)
[D] sys_call_table[191]: Symbol("__arm64_sys_semctl" at 0xffff800080540e08, type=FUNC, size=0x1a4)
[D] sys_call_table[192]: Symbol("__arm64_sys_semtimedop" at 0xffff80008054200c, type=FUNC, size=0xa8)
[D] sys_call_table[193]: Symbol("__arm64_sys_semop" at 0xffff80008054220c, type=FUNC, size=0x30)
[D] sys_call_table[194]: Symbol("__arm64_sys_shmget" at 0xffff800080544894, type=FUNC, size=0x84)
[D] sys_call_table[195]: Symbol("__arm64_sys_shmctl" at 0xffff800080544918, type=FUNC, size=0x2c)
[D] sys_call_table[196]: Symbol("__arm64_sys_shmat" at 0xffff800080544eac, type=FUNC, size=0x70)
[D] sys_call_table[197]: Symbol("__arm64_sys_shmdt" at 0xffff8000805451c4, type=FUNC, size=0x20)
[D] sys_call_table[198]: Symbol("__arm64_sys_socket" at 0xffff800080d2db2c, type=FUNC, size=0x30)
[D] sys_call_table[199]: Symbol("__arm64_sys_socketpair" at 0xffff800080d2de24, type=FUNC, size=0x34)
[D] sys_call_table[200]: Symbol("__arm64_sys_bind" at 0xffff800080d2df38, type=FUNC, size=0x30)
[D] sys_call_table[201]: Symbol("__arm64_sys_listen" at 0xffff800080d2e010, type=FUNC, size=0x2c)
[D] sys_call_table[202]: Symbol("__arm64_sys_accept" at 0xffff800080d2e2d8, type=FUNC, size=0x30)
[D] sys_call_table[203]: Symbol("__arm64_sys_connect" at 0xffff800080d2e458, type=FUNC, size=0x30)
[D] sys_call_table[204]: Symbol("__arm64_sys_getsockname" at 0xffff800080d2e568, type=FUNC, size=0x2c)
[D] sys_call_table[205]: Symbol("__arm64_sys_getpeername" at 0xffff800080d2e67c, type=FUNC, size=0x2c)
[D] sys_call_table[206]: Symbol("__arm64_sys_sendto" at 0xffff800080d2e83c, type=FUNC, size=0x38)
[D] sys_call_table[207]: Symbol("__arm64_sys_recvfrom" at 0xffff800080d2ea40, type=FUNC, size=0x34)
[D] sys_call_table[208]: Symbol("__arm64_sys_setsockopt" at 0xffff800080d2ec40, type=FUNC, size=0x38)
[D] sys_call_table[209]: Symbol("__arm64_sys_getsockopt" at 0xffff800080d2ee64, type=FUNC, size=0x34)
[D] sys_call_table[210]: Symbol("__arm64_sys_shutdown" at 0xffff800080d2ef58, type=FUNC, size=0x2c)
[D] sys_call_table[211]: Symbol("__arm64_sys_sendmsg" at 0xffff800080d2f7a8, type=FUNC, size=0x30)
[D] sys_call_table[212]: Symbol("__arm64_sys_recvmsg" at 0xffff800080d2fbc8, type=FUNC, size=0x30)
[D] sys_call_table[213]: Symbol("__arm64_sys_readahead" at 0xffff80008026eb24, type=FUNC, size=0x28)
[D] sys_call_table[214]: Symbol("__arm64_sys_brk" at 0xffff8000802b6e28, type=FUNC, size=0x2f8)
[D] sys_call_table[215]: Symbol("__arm64_sys_munmap" at 0xffff8000802b5ed8, type=FUNC, size=0x30)
[D] sys_call_table[216]: Symbol("__arm64_sys_mremap" at 0xffff8000802bca30, type=FUNC, size=0x2c)
[D] sys_call_table[217]: Symbol("__arm64_sys_add_key" at 0xffff80008054d5f8, type=FUNC, size=0x250)
[D] sys_call_table[218]: Symbol("__arm64_sys_request_key" at 0xffff80008054d848, type=FUNC, size=0x1c4)
[D] sys_call_table[219]: Symbol("__arm64_sys_keyctl" at 0xffff80008054f828, type=FUNC, size=0x268)
[D] sys_call_table[220]: Symbol("__arm64_sys_clone" at 0xffff800080095394, type=FUNC, size=0x2c)
[D] sys_call_table[221]: Symbol("__arm64_sys_execve" at 0xffff8000803435a0, type=FUNC, size=0x54)
[D] sys_call_table[222]: Symbol("__arm64_sys_mmap" at 0xffff800080020db4, type=FUNC, size=0x44)
[D] sys_call_table[223]: Symbol("__arm64_sys_fadvise64_64" at 0xffff800080268b18, type=FUNC, size=0x30)
[D] sys_call_table[224]: Symbol("__arm64_sys_swapon" at 0xffff8000802e31b4, type=FUNC, size=0x1024)
