[D] Systrack v0.8
[D] Command line: systrack -vvvv --format json --arch arm64-aarch32 --kdir /mnt/m2data/linux-worktrees/v5.18 --remap /mnt/m2data/linux /mnt/m2data/kernels/vmlinux-arm64-v5.18
[D] Running command: readelf -Ws /mnt/m2data/kernels/vmlinux-arm64-v5.18
[D] Running command: readelf -WS /mnt/m2data/kernels/vmlinux-arm64-v5.18
Detected kernel version: 5.18.0 (from vmlinux)
[D] Arch: ArchArm64(name='arm64', bits32=False, abi='aarch32', compat=True, ...)
[D] Syscall table: Symbol("compat_sys_call_table" at 0xffff800008e96058, type=OBJECT, size=0xe18)
[D] compat_sys_call_table[8]: Symbol("__arm64_sys_creat" at 0xffff80000830a750, type=FUNC, size=0x78)
[D] compat_sys_call_table[9]: Symbol("__arm64_sys_link" at 0xffff8000083235b0, type=FUNC, size=0x60)
[D] compat_sys_call_table[10]: Symbol("__arm64_sys_unlink" at 0xffff800008322fb0, type=FUNC, size=0x84)
[D] compat_sys_call_table[11]: Symbol("__arm64_compat_sys_execve" at 0xffff800008318040, type=FUNC, size=0x54)
[D] compat_sys_call_table[12]: Symbol("__arm64_sys_chdir" at 0xffff800008309080, type=FUNC, size=0xf8)
[D] compat_sys_call_table[13]: Symbol("__arm64_sys_ni_syscall" at 0xffff80000801ecf0, type=FUNC, size=0x1c)
[D] compat_sys_call_table[14]: Symbol("__arm64_sys_mknod" at 0xffff800008322760, type=FUNC, size=0x84)
[D] compat_sys_call_table[15]: Symbol("__arm64_sys_chmod" at 0xffff800008309714, type=FUNC, size=0x34)
[D] compat_sys_call_table[16]: Symbol("__arm64_sys_lchown16" at 0xffff800008154424, type=FUNC, size=0x54)
[D] compat_sys_call_table[17]: Symbol("__arm64_sys_ni_syscall" at 0xffff80000801ecf0, type=FUNC, size=0x1c)
[D] compat_sys_call_table[18]: Symbol("__arm64_sys_ni_syscall" at 0xffff80000801ecf0, type=FUNC, size=0x1c)
[D] compat_sys_call_table[19]: Symbol("__arm64_compat_sys_lseek" at 0xffff80000830caa0, type=FUNC, size=0xe8)
[D] compat_sys_call_table[20]: Symbol("__arm64_sys_getpid" at 0xffff8000080ae494, type=FUNC, size=0x2c)
[D] compat_sys_call_table[21]: Symbol("__arm64_sys_mount" at 0xffff80000833e7a4, type=FUNC, size=0x2a8)
[D] compat_sys_call_table[22]: Symbol("__arm64_sys_ni_syscall" at 0xffff80000801ecf0, type=FUNC, size=0x1c)
[D] compat_sys_call_table[23]: Symbol("__arm64_sys_setuid16" at 0xffff800008154570, type=FUNC, size=0x2c)
[D] compat_sys_call_table[24]: Symbol("__arm64_sys_getuid16" at 0xffff800008154e14, type=FUNC, size=0x6c)
[D] compat_sys_call_table[25]: Symbol("__arm64_sys_ni_syscall" at 0xffff80000801ecf0, type=FUNC, size=0x1c)
[D] compat_sys_call_table[26]: Symbol("__arm64_compat_sys_ptrace" at 0xffff8000080a1ff0, type=FUNC, size=0x174)
[D] compat_sys_call_table[27]: Symbol("__arm64_sys_ni_syscall" at 0xffff80000801ecf0, type=FUNC, size=0x1c)
[D] compat_sys_call_table[28]: Symbol("__arm64_sys_ni_syscall" at 0xffff80000801ecf0, type=FUNC, size=0x1c)
[D] compat_sys_call_table[29]: Symbol("__arm64_sys_pause" at 0xffff8000080ab1f0, type=FUNC, size=0x64)
[D] compat_sys_call_table[30]: Symbol("__arm64_sys_ni_syscall" at 0xffff80000801ecf0, type=FUNC, size=0x1c)
[D] compat_sys_call_table[31]: Symbol("__arm64_sys_ni_syscall" at 0xffff80000801ecf0, type=FUNC, size=0x1c)
[D] compat_sys_call_table[32]: Symbol("__arm64_sys_ni_syscall" at 0xffff80000801ecf0, type=FUNC, size=0x1c)
[D] compat_sys_call_table[33]: Symbol("__arm64_sys_access" at 0xffff800008309044, type=FUNC, size=0x34)
[D] compat_sys_call_table[34]: Symbol("__arm64_sys_nice" at 0xffff8000080d1f10, type=FUNC, size=0xcc)
[D] compat_sys_call_table[35]: Symbol("__arm64_sys_ni_syscall" at 0xffff80000801ecf0, type=FUNC, size=0x1c)
[D] compat_sys_call_table[36]: Symbol("__arm64_sys_sync" at 0xffff800008354430, type=FUNC, size=0x20)
[D] compat_sys_call_table[37]: Symbol("__arm64_sys_kill" at 0xffff8000080a9470, type=FUNC, size=0x210)
[D] compat_sys_call_table[38]: Symbol("__arm64_sys_rename" at 0xffff800008323bb0, type=FUNC, size=0x60)
[D] compat_sys_call_table[39]: Symbol("__arm64_sys_mkdir" at 0xffff8000083229d0, type=FUNC, size=0x90)
[D] compat_sys_call_table[40]: Symbol("__arm64_sys_rmdir" at 0xffff800008322bf4, type=FUNC, size=0x84)
[D] compat_sys_call_table[41]: Symbol("__arm64_sys_dup" at 0xffff8000083372f4, type=FUNC, size=0x88)
[D] compat_sys_call_table[42]: Symbol("__arm64_sys_pipe" at 0xffff80000831a340, type=FUNC, size=0x28)
[D] compat_sys_call_table[43]: Symbol("__arm64_compat_sys_times" at 0xffff8000080ae6d0, type=FUNC, size=0x180)
[D] compat_sys_call_table[44]: Symbol("__arm64_sys_ni_syscall" at 0xffff80000801ecf0, type=FUNC, size=0x1c)
[D] compat_sys_call_table[45]: Symbol("__arm64_sys_brk" at 0xffff800008293c44, type=FUNC, size=0x254)
[D] compat_sys_call_table[46]: Symbol("__arm64_sys_setgid16" at 0xffff800008154500, type=FUNC, size=0x2c)
[D] compat_sys_call_table[47]: Symbol("__arm64_sys_getgid16" at 0xffff800008154ef0, type=FUNC, size=0x6c)
[D] compat_sys_call_table[48]: Symbol("__arm64_sys_ni_syscall" at 0xffff80000801ecf0, type=FUNC, size=0x1c)
[D] compat_sys_call_table[49]: Symbol("__arm64_sys_geteuid16" at 0xffff800008154e80, type=FUNC, size=0x6c)
[D] compat_sys_call_table[50]: Symbol("__arm64_sys_getegid16" at 0xffff800008154f60, type=FUNC, size=0x6c)
[D] compat_sys_call_table[51]: Symbol("__arm64_sys_acct" at 0xffff80000815d7e0, type=FUNC, size=0x2d0)
[D] compat_sys_call_table[52]: Symbol("__arm64_sys_umount" at 0xffff80000833c054, type=FUNC, size=0x98)
[D] compat_sys_call_table[53]: Symbol("__arm64_sys_ni_syscall" at 0xffff80000801ecf0, type=FUNC, size=0x1c)
[D] compat_sys_call_table[54]: Symbol("__arm64_compat_sys_ioctl" at 0xffff800008326fd0, type=FUNC, size=0x170)
[D] compat_sys_call_table[55]: Symbol("__arm64_compat_sys_fcntl" at 0xffff8000083251b0, type=FUNC, size=0x50)
[D] compat_sys_call_table[56]: Symbol("__arm64_sys_ni_syscall" at 0xffff80000801ecf0, type=FUNC, size=0x1c)
[D] compat_sys_call_table[57]: Symbol("__arm64_sys_setpgid" at 0xffff8000080ae850, type=FUNC, size=0x18c)
[D] compat_sys_call_table[58]: Symbol("__arm64_sys_ni_syscall" at 0xffff80000801ecf0, type=FUNC, size=0x1c)
[D] compat_sys_call_table[59]: Symbol("__arm64_sys_ni_syscall" at 0xffff80000801ecf0, type=FUNC, size=0x1c)
[D] compat_sys_call_table[60]: Symbol("__arm64_sys_umask" at 0xffff8000080afd40, type=FUNC, size=0x3c)
[D] compat_sys_call_table[61]: Symbol("__arm64_sys_chroot" at 0xffff800008309250, type=FUNC, size=0x12c)
[D] compat_sys_call_table[62]: Symbol("__arm64_compat_sys_ustat" at 0xffff800008357540, type=FUNC, size=0x2c)
[D] compat_sys_call_table[63]: Symbol("__arm64_sys_dup2" at 0xffff800008337250, type=FUNC, size=0xa4)
[D] compat_sys_call_table[64]: Symbol("__arm64_sys_getppid" at 0xffff8000080ae4f0, type=FUNC, size=0x44)
[D] compat_sys_call_table[65]: Symbol("__arm64_sys_getpgrp" at 0xffff8000080aea60, type=FUNC, size=0x40)
[D] compat_sys_call_table[66]: Symbol("__arm64_sys_setsid" at 0xffff8000080aec20, type=FUNC, size=0x20)
[D] compat_sys_call_table[67]: Symbol("__arm64_compat_sys_sigaction" at 0xffff8000080aad44, type=FUNC, size=0x41c)
[D] compat_sys_call_table[68]: Symbol("__arm64_sys_ni_syscall" at 0xffff80000801ecf0, type=FUNC, size=0x1c)
[D] compat_sys_call_table[69]: Symbol("__arm64_sys_ni_syscall" at 0xffff80000801ecf0, type=FUNC, size=0x1c)
[D] compat_sys_call_table[70]: Symbol("__arm64_sys_setreuid16" at 0xffff800008154530, type=FUNC, size=0x3c)
[D] compat_sys_call_table[71]: Symbol("__arm64_sys_setregid16" at 0xffff8000081544c4, type=FUNC, size=0x3c)
[D] compat_sys_call_table[72]: Symbol("__arm64_sys_sigsuspend" at 0xffff8000080ab3a0, type=FUNC, size=0x60)
[D] compat_sys_call_table[73]: Symbol("__arm64_compat_sys_sigpending" at 0xffff8000080aa584, type=FUNC, size=0xc0)
[D] compat_sys_call_table[74]: Symbol("__arm64_sys_sethostname" at 0xffff8000080aec60, type=FUNC, size=0x16c)
[D] compat_sys_call_table[75]: Symbol("__arm64_compat_sys_setrlimit" at 0xffff8000080af1c0, type=FUNC, size=0xf4)
[D] compat_sys_call_table[76]: Symbol("__arm64_sys_ni_syscall" at 0xffff80000801ecf0, type=FUNC, size=0x1c)
[D] compat_sys_call_table[77]: Symbol("__arm64_compat_sys_getrusage" at 0xffff8000080afd10, type=FUNC, size=0x2c)
[D] compat_sys_call_table[78]: Symbol("__arm64_compat_sys_gettimeofday" at 0xffff800008133d10, type=FUNC, size=0x1b4)
[D] compat_sys_call_table[79]: Symbol("__arm64_compat_sys_settimeofday" at 0xffff800008133ec4, type=FUNC, size=0x1e4)
[D] compat_sys_call_table[80]: Symbol("__arm64_sys_getgroups16" at 0xffff800008154ac0, type=FUNC, size=0x180)
[D] compat_sys_call_table[81]: Symbol("__arm64_sys_setgroups16" at 0xffff800008154c40, type=FUNC, size=0x1d4)
[D] compat_sys_call_table[82]: Symbol("__arm64_sys_ni_syscall" at 0xffff80000801ecf0, type=FUNC, size=0x1c)
[D] compat_sys_call_table[83]: Symbol("__arm64_sys_symlink" at 0xffff800008323210, type=FUNC, size=0x58)
[D] compat_sys_call_table[84]: Symbol("__arm64_sys_ni_syscall" at 0xffff80000801ecf0, type=FUNC, size=0x1c)
[D] compat_sys_call_table[85]: Symbol("__arm64_sys_readlink" at 0xffff800008314cd4, type=FUNC, size=0x34)
[D] compat_sys_call_table[86]: Symbol("__arm64_sys_uselib" at 0xffff800008317124, type=FUNC, size=0x1ec)
[D] compat_sys_call_table[87]: Symbol("__arm64_sys_swapon" at 0xffff8000082bc270, type=FUNC, size=0xfc8)
[D] compat_sys_call_table[88]: Symbol("__arm64_sys_reboot" at 0xffff8000080c3fe0, type=FUNC, size=0x34)
[D] compat_sys_call_table[89]: Symbol("__arm64_sys_ni_syscall" at 0xffff80000801ecf0, type=FUNC, size=0x1c)
[D] compat_sys_call_table[90]: Symbol("__arm64_sys_ni_syscall" at 0xffff80000801ecf0, type=FUNC, size=0x1c)
[D] compat_sys_call_table[91]: Symbol("__arm64_sys_munmap" at 0xffff800008292c10, type=FUNC, size=0x30)
[D] compat_sys_call_table[92]: Symbol("__arm64_compat_sys_truncate" at 0xffff800008308d24, type=FUNC, size=0x2c)
[D] compat_sys_call_table[93]: Symbol("__arm64_compat_sys_ftruncate" at 0xffff800008308ed0, type=FUNC, size=0x30)
[D] compat_sys_call_table[94]: Symbol("__arm64_sys_fchmod" at 0xffff800008309630, type=FUNC, size=0xb0)
[D] compat_sys_call_table[95]: Symbol("__arm64_sys_fchown16" at 0xffff800008154480, type=FUNC, size=0x44)
[D] compat_sys_call_table[96]: Symbol("__arm64_sys_getpriority" at 0xffff8000080acd30, type=FUNC, size=0x294)
[D] compat_sys_call_table[97]: Symbol("__arm64_sys_setpriority" at 0xffff8000080aca80, type=FUNC, size=0x2ac)
[D] compat_sys_call_table[98]: Symbol("__arm64_sys_ni_syscall" at 0xffff80000801ecf0, type=FUNC, size=0x1c)
[D] compat_sys_call_table[99]: Symbol("__arm64_compat_sys_statfs" at 0xffff800008357340, type=FUNC, size=0x20)
[D] compat_sys_call_table[100]: Symbol("__arm64_compat_sys_fstatfs" at 0xffff800008357360, type=FUNC, size=0x2c)
[D] compat_sys_call_table[101]: Symbol("__arm64_sys_ni_syscall" at 0xffff80000801ecf0, type=FUNC, size=0x1c)
[D] compat_sys_call_table[102]: Symbol("__arm64_sys_ni_syscall" at 0xffff80000801ecf0, type=FUNC, size=0x1c)
[D] compat_sys_call_table[103]: Symbol("__arm64_sys_syslog" at 0xffff800008104f30, type=FUNC, size=0x38)
[D] compat_sys_call_table[104]: Symbol("__arm64_compat_sys_setitimer" at 0xffff800008147330, type=FUNC, size=0x194)
[D] compat_sys_call_table[105]: Symbol("__arm64_compat_sys_getitimer" at 0xffff800008147050, type=FUNC, size=0x8c)
[D] compat_sys_call_table[106]: Symbol("__arm64_compat_sys_newstat" at 0xffff800008314ef0, type=FUNC, size=0x20)
[D] compat_sys_call_table[107]: Symbol("__arm64_compat_sys_newlstat" at 0xffff800008314f10, type=FUNC, size=0x20)
[D] compat_sys_call_table[108]: Symbol("__arm64_compat_sys_newfstat" at 0xffff800008314f60, type=FUNC, size=0x2c)
[D] compat_sys_call_table[109]: Symbol("__arm64_sys_ni_syscall" at 0xffff80000801ecf0, type=FUNC, size=0x1c)
[D] compat_sys_call_table[110]: Symbol("__arm64_sys_ni_syscall" at 0xffff80000801ecf0, type=FUNC, size=0x1c)
[D] compat_sys_call_table[111]: Symbol("__arm64_sys_vhangup" at 0xffff80000830a854, type=FUNC, size=0x38)
[D] compat_sys_call_table[112]: Symbol("__arm64_sys_ni_syscall" at 0xffff80000801ecf0, type=FUNC, size=0x1c)
[D] compat_sys_call_table[113]: Symbol("__arm64_sys_ni_syscall" at 0xffff80000801ecf0, type=FUNC, size=0x1c)
[D] compat_sys_call_table[114]: Symbol("__arm64_compat_sys_wait4" at 0xffff800008098e14, type=FUNC, size=0x34)
[D] compat_sys_call_table[115]: Symbol("__arm64_sys_swapoff" at 0xffff8000082bb5e0, type=FUNC, size=0xc5c)
[D] compat_sys_call_table[116]: Symbol("__arm64_compat_sys_sysinfo" at 0xffff8000080b06b0, type=FUNC, size=0x20)
[D] compat_sys_call_table[117]: Symbol("__arm64_sys_ni_syscall" at 0xffff80000801ecf0, type=FUNC, size=0x1c)
[D] compat_sys_call_table[118]: Symbol("__arm64_sys_fsync" at 0xffff800008354550, type=FUNC, size=0x28)
[D] compat_sys_call_table[119]: Symbol("__arm64_compat_sys_sigreturn" at 0xffff80000802b084, type=FUNC, size=0xb4)
[D] compat_sys_call_table[120]: Symbol("__arm64_sys_clone" at 0xffff800008090a60, type=FUNC, size=0x30)
[D] compat_sys_call_table[121]: Symbol("__arm64_sys_setdomainname" at 0xffff8000080aef40, type=FUNC, size=0x16c)
[D] compat_sys_call_table[122]: Symbol("__arm64_sys_newuname" at 0xffff8000080aec40, type=FUNC, size=0x20)
[D] compat_sys_call_table[123]: Symbol("__arm64_sys_ni_syscall" at 0xffff80000801ecf0, type=FUNC, size=0x1c)
[D] compat_sys_call_table[124]: Symbol("__arm64_sys_adjtimex_time32" at 0xffff8000081343f0, type=FUNC, size=0x20)
[D] compat_sys_call_table[125]: Symbol("__arm64_sys_mprotect" at 0xffff8000082968e0, type=FUNC, size=0x364)
[D] compat_sys_call_table[126]: Symbol("__arm64_compat_sys_sigprocmask" at 0xffff800008160e30, type=FUNC, size=0x174)
[D] compat_sys_call_table[127]: Symbol("__arm64_sys_ni_syscall" at 0xffff80000801ecf0, type=FUNC, size=0x1c)
[D] compat_sys_call_table[128]: Symbol("__arm64_sys_init_module" at 0xffff80000815b610, type=FUNC, size=0x28)
[D] compat_sys_call_table[129]: Symbol("__arm64_sys_delete_module" at 0xffff800008158484, type=FUNC, size=0x228)
[D] compat_sys_call_table[130]: Symbol("__arm64_sys_ni_syscall" at 0xffff80000801ecf0, type=FUNC, size=0x1c)
[D] compat_sys_call_table[131]: Symbol("__arm64_sys_quotactl" at 0xffff8000083b23a0, type=FUNC, size=0x394)
[D] compat_sys_call_table[132]: Symbol("__arm64_sys_getpgid" at 0xffff8000080ae9e0, type=FUNC, size=0x78)
[D] compat_sys_call_table[133]: Symbol("__arm64_sys_fchdir" at 0xffff800008309180, type=FUNC, size=0xd0)
[D] compat_sys_call_table[134]: Symbol("__arm64_sys_ni_syscall" at 0xffff80000801ecf0, type=FUNC, size=0x1c)
[D] compat_sys_call_table[135]: Symbol("__arm64_sys_sysfs" at 0xffff800008337980, type=FUNC, size=0x260)
[D] compat_sys_call_table[136]: Symbol("__arm64_sys_personality" at 0xffff800008091580, type=FUNC, size=0x2c)
[D] compat_sys_call_table[137]: Symbol("__arm64_sys_ni_syscall" at 0xffff80000801ecf0, type=FUNC, size=0x1c)
[D] compat_sys_call_table[138]: Symbol("__arm64_sys_setfsuid16" at 0xffff800008154a60, type=FUNC, size=0x2c)
[D] compat_sys_call_table[139]: Symbol("__arm64_sys_setfsgid16" at 0xffff800008154a90, type=FUNC, size=0x2c)
[D] compat_sys_call_table[140]: Symbol("__arm64_sys_llseek" at 0xffff80000830cb90, type=FUNC, size=0x174)
[D] compat_sys_call_table[141]: Symbol("__arm64_compat_sys_getdents" at 0xffff800008328420, type=FUNC, size=0x170)
[D] compat_sys_call_table[142]: Symbol("__arm64_compat_sys_select" at 0xffff80000832a850, type=FUNC, size=0x34)
[D] compat_sys_call_table[143]: Symbol("__arm64_sys_flock" at 0xffff8000083985e0, type=FUNC, size=0x238)
[D] compat_sys_call_table[144]: Symbol("__arm64_sys_msync" at 0xffff800008298660, type=FUNC, size=0x290)
[D] compat_sys_call_table[145]: Symbol("__arm64_sys_readv" at 0xffff80000830d910, type=FUNC, size=0x2c)
[D] compat_sys_call_table[146]: Symbol("__arm64_sys_writev" at 0xffff80000830d940, type=FUNC, size=0x2c)
[D] compat_sys_call_table[147]: Symbol("__arm64_sys_getsid" at 0xffff8000080aeaa0, type=FUNC, size=0x7c)
[D] compat_sys_call_table[148]: Symbol("__arm64_sys_fdatasync" at 0xffff800008354580, type=FUNC, size=0x28)
[D] compat_sys_call_table[149]: Symbol("__arm64_sys_ni_syscall" at 0xffff80000801ecf0, type=FUNC, size=0x1c)
[D] compat_sys_call_table[150]: Symbol("__arm64_sys_mlock" at 0xffff80000828eff0, type=FUNC, size=0x28)
[D] compat_sys_call_table[151]: Symbol("__arm64_sys_munlock" at 0xffff80000828f080, type=FUNC, size=0xd8)
[D] compat_sys_call_table[152]: Symbol("__arm64_sys_mlockall" at 0xffff80000828f160, type=FUNC, size=0x1a0)
[D] compat_sys_call_table[153]: Symbol("__arm64_sys_munlockall" at 0xffff80000828f300, type=FUNC, size=0xa4)
[D] compat_sys_call_table[154]: Symbol("__arm64_sys_sched_setparam" at 0xffff8000080d2420, type=FUNC, size=0x34)
[D] compat_sys_call_table[155]: Symbol("__arm64_sys_sched_getparam" at 0xffff8000080d28e4, type=FUNC, size=0x134)
[D] compat_sys_call_table[156]: Symbol("__arm64_sys_sched_setscheduler" at 0xffff8000080d23e0, type=FUNC, size=0x3c)
[D] compat_sys_call_table[157]: Symbol("__arm64_sys_sched_getscheduler" at 0xffff8000080d2860, type=FUNC, size=0x84)
[D] compat_sys_call_table[158]: Symbol("__arm64_sys_sched_yield" at 0xffff8000080d32c0, type=FUNC, size=0x20)
[D] compat_sys_call_table[159]: Symbol("__arm64_sys_sched_get_priority_max" at 0xffff8000080d3350, type=FUNC, size=0x54)
[D] compat_sys_call_table[160]: Symbol("__arm64_sys_sched_get_priority_min" at 0xffff8000080d33a4, type=FUNC, size=0x50)
[D] compat_sys_call_table[161]: Symbol("__arm64_sys_sched_rr_get_interval_time32" at 0xffff8000080d3470, type=FUNC, size=0x7c)
[D] compat_sys_call_table[162]: Symbol("__arm64_sys_nanosleep_time32" at 0xffff80000813a214, type=FUNC, size=0xd8)
[D] compat_sys_call_table[163]: Symbol("__arm64_sys_mremap" at 0xffff800008297f50, type=FUNC, size=0x6d0)
[D] compat_sys_call_table[164]: Symbol("__arm64_sys_setresuid16" at 0xffff8000081545a0, type=FUNC, size=0x48)
[D] compat_sys_call_table[165]: Symbol("__arm64_sys_getresuid16" at 0xffff8000081545f0, type=FUNC, size=0x20c)
[D] compat_sys_call_table[166]: Symbol("__arm64_sys_ni_syscall" at 0xffff80000801ecf0, type=FUNC, size=0x1c)
[D] compat_sys_call_table[167]: Symbol("__arm64_sys_ni_syscall" at 0xffff80000801ecf0, type=FUNC, size=0x1c)
[D] compat_sys_call_table[168]: Symbol("__arm64_sys_poll" at 0xffff80000832a5e0, type=FUNC, size=0x13c)
[D] compat_sys_call_table[169]: Symbol("__arm64_sys_ni_syscall" at 0xffff80000801ecf0, type=FUNC, size=0x1c)
[D] compat_sys_call_table[170]: Symbol("__arm64_sys_setresgid16" at 0xffff800008154800, type=FUNC, size=0x48)
[D] compat_sys_call_table[171]: Symbol("__arm64_sys_getresgid16" at 0xffff800008154850, type=FUNC, size=0x20c)
[D] compat_sys_call_table[172]: Symbol("__arm64_sys_prctl" at 0xffff8000080afdb0, type=FUNC, size=0x7bc)
[D] compat_sys_call_table[173]: Symbol("__arm64_compat_sys_rt_sigreturn" at 0xffff80000802b140, type=FUNC, size=0xb8)
[D] compat_sys_call_table[174]: Symbol("__arm64_compat_sys_rt_sigaction" at 0xffff8000080aa950, type=FUNC, size=0x3f4)
[D] compat_sys_call_table[175]: Symbol("__arm64_compat_sys_rt_sigprocmask" at 0xffff8000080a5d70, type=FUNC, size=0x138)
[D] compat_sys_call_table[176]: Symbol("__arm64_compat_sys_rt_sigpending" at 0xffff8000080a5fa0, type=FUNC, size=0x104)
[D] compat_sys_call_table[177]: Symbol("__arm64_compat_sys_rt_sigtimedwait_time32" at 0xffff8000080a9390, type=FUNC, size=0xdc)
[D] compat_sys_call_table[178]: Symbol("__arm64_compat_sys_rt_sigqueueinfo" at 0xffff8000080a9a70, type=FUNC, size=0x84)
[D] compat_sys_call_table[179]: Symbol("__arm64_compat_sys_rt_sigsuspend" at 0xffff8000080ab320, type=FUNC, size=0x7c)
[D] compat_sys_call_table[180]: Symbol("__arm64_compat_sys_aarch32_pread64" at 0xffff800008029360, type=FUNC, size=0x38)
[D] compat_sys_call_table[181]: Symbol("__arm64_compat_sys_aarch32_pwrite64" at 0xffff8000080293a0, type=FUNC, size=0x38)
[D] compat_sys_call_table[182]: Symbol("__arm64_sys_chown16" at 0xffff8000081543d0, type=FUNC, size=0x54)
[D] compat_sys_call_table[183]: Symbol("__arm64_sys_getcwd" at 0xffff800008355c40, type=FUNC, size=0x1e0)
[D] compat_sys_call_table[184]: Symbol("__arm64_sys_capget" at 0xffff80000809f440, type=FUNC, size=0x220)
[D] compat_sys_call_table[185]: Symbol("__arm64_sys_capset" at 0xffff80000809f660, type=FUNC, size=0x2bc)
[D] compat_sys_call_table[186]: Symbol("__arm64_compat_sys_sigaltstack" at 0xffff8000080aa334, type=FUNC, size=0x24)
[D] compat_sys_call_table[187]: Symbol("__arm64_compat_sys_sendfile" at 0xffff80000830de50, type=FUNC, size=0x144)
[D] compat_sys_call_table[188]: Symbol("__arm64_sys_ni_syscall" at 0xffff80000801ecf0, type=FUNC, size=0x1c)
[D] compat_sys_call_table[189]: Symbol("__arm64_sys_ni_syscall" at 0xffff80000801ecf0, type=FUNC, size=0x1c)
[D] compat_sys_call_table[190]: Symbol("__arm64_sys_vfork" at 0xffff8000080909f0, type=FUNC, size=0x70)
[D] compat_sys_call_table[191]: Symbol("__arm64_compat_sys_getrlimit" at 0xffff8000080af2b4, type=FUNC, size=0x12c)
[D] compat_sys_call_table[192]: Symbol("__arm64_compat_sys_aarch32_mmap2" at 0xffff800008029330, type=FUNC, size=0x30)
[D] compat_sys_call_table[193]: Symbol("__arm64_compat_sys_aarch32_truncate64" at 0xffff8000080293e0, type=FUNC, size=0x34)
[D] compat_sys_call_table[194]: Symbol("__arm64_compat_sys_aarch32_ftruncate64" at 0xffff800008029414, type=FUNC, size=0x38)
[D] compat_sys_call_table[195]: Symbol("__arm64_sys_stat64" at 0xffff800008314d10, type=FUNC, size=0x20)
[D] compat_sys_call_table[196]: Symbol("__arm64_sys_lstat64" at 0xffff800008314d30, type=FUNC, size=0x20)
[D] compat_sys_call_table[197]: Symbol("__arm64_sys_fstat64" at 0xffff800008314d50, type=FUNC, size=0x20)
[D] compat_sys_call_table[198]: Symbol("__arm64_sys_lchown" at 0xffff800008309b70, type=FUNC, size=0x3c)
[D] compat_sys_call_table[199]: Symbol("__arm64_sys_getuid" at 0xffff8000080ae534, type=FUNC, size=0x30)
[D] compat_sys_call_table[200]: Symbol("__arm64_sys_getgid" at 0xffff8000080ae594, type=FUNC, size=0x30)
[D] compat_sys_call_table[201]: Symbol("__arm64_sys_geteuid" at 0xffff8000080ae564, type=FUNC, size=0x30)
[D] compat_sys_call_table[202]: Symbol("__arm64_sys_getegid" at 0xffff8000080ae5c4, type=FUNC, size=0x30)
[D] compat_sys_call_table[203]: Symbol("__arm64_sys_setreuid" at 0xffff8000080ad5f4, type=FUNC, size=0x2c)
[D] compat_sys_call_table[204]: Symbol("__arm64_sys_setregid" at 0xffff8000080ad1a0, type=FUNC, size=0x2c)
[D] compat_sys_call_table[205]: Symbol("__arm64_sys_getgroups" at 0xffff8000080c6eb0, type=FUNC, size=0x144)
[D] compat_sys_call_table[206]: Symbol("__arm64_sys_setgroups" at 0xffff8000080c7050, type=FUNC, size=0x244)
[D] compat_sys_call_table[207]: Symbol("__arm64_sys_fchown" at 0xffff800008309d50, type=FUNC, size=0x34)
[D] compat_sys_call_table[208]: Symbol("__arm64_sys_setresuid" at 0xffff8000080adb84, type=FUNC, size=0x30)
[D] compat_sys_call_table[209]: Symbol("__arm64_sys_getresuid" at 0xffff8000080adbb4, type=FUNC, size=0x1ac)
[D] compat_sys_call_table[210]: Symbol("__arm64_sys_setresgid" at 0xffff8000080ae0a0, type=FUNC, size=0x30)
