[D] Systrack v0.8
[D] Command line: systrack -vvvv --format json --arch riscv --kdir /mnt/m2data/linux-worktrees/v6.12 --remap /mnt/m2data/linux /mnt/m2data/kernels/vmlinux-riscv-v6.12
[D] Running command: readelf -Ws /mnt/m2data/kernels/vmlinux-riscv-v6.12
[D] Running command: readelf -WS /mnt/m2data/kernels/vmlinux-riscv-v6.12
Detected kernel version: 6.12.0 (from vmlinux)
[D] Arch: ArchRiscV(name='riscv', bits32=True, abi='rv32', compat=False, ...)
[D] Syscall table: Symbol("sys_call_table" at 0xc1400bb8, type=OBJECT, size=0x73c)
[D] sys_call_table[140]: Symbol("__riscv_sys_setpriority" at 0xc00257dc, type=FUNC, size=0x24)
[D] sys_call_table[141]: Symbol("__riscv_sys_getpriority" at 0xc00259e6, type=FUNC, size=0x24)
[D] sys_call_table[142]: Symbol("__riscv_sys_reboot" at 0xc00398da, type=FUNC, size=0x24)
[D] sys_call_table[143]: Symbol("__riscv_sys_setregid" at 0xc0025b44, type=FUNC, size=0x24)
[D] sys_call_table[144]: Symbol("__riscv_sys_setgid" at 0xc0025c44, type=FUNC, size=0x24)
[D] sys_call_table[145]: Symbol("__riscv_sys_setreuid" at 0xc0025e4e, type=FUNC, size=0x24)
[D] sys_call_table[146]: Symbol("__riscv_sys_setuid" at 0xc0025f50, type=FUNC, size=0x24)
[D] sys_call_table[147]: Symbol("__riscv_sys_setresuid" at 0xc0026262, type=FUNC, size=0x24)
[D] sys_call_table[148]: Symbol("__riscv_sys_getresuid" at 0xc0026370, type=FUNC, size=0x24)
[D] sys_call_table[149]: Symbol("__riscv_sys_setresgid" at 0xc0026650, type=FUNC, size=0x24)
[D] sys_call_table[150]: Symbol("__riscv_sys_getresgid" at 0xc002675e, type=FUNC, size=0x24)
[D] sys_call_table[151]: Symbol("__riscv_sys_setfsuid" at 0xc0026828, type=FUNC, size=0x24)
[D] sys_call_table[152]: Symbol("__riscv_sys_setfsgid" at 0xc00268f2, type=FUNC, size=0x24)
[D] sys_call_table[153]: Symbol("__riscv_sys_times" at 0xc0026ad6, type=FUNC, size=0x24)
[D] sys_call_table[154]: Symbol("__riscv_sys_setpgid" at 0xc0026c24, type=FUNC, size=0x24)
[D] sys_call_table[155]: Symbol("__riscv_sys_getpgid" at 0xc0026cb2, type=FUNC, size=0x24)
[D] sys_call_table[156]: Symbol("__riscv_sys_getsid" at 0xc0026d40, type=FUNC, size=0x24)
[D] sys_call_table[157]: Symbol("__riscv_sys_setsid" at 0xc0026e12, type=FUNC, size=0x12)
[D] sys_call_table[158]: Symbol("__riscv_sys_getgroups" at 0xc003b482, type=FUNC, size=0x24)
[D] sys_call_table[159]: Symbol("__riscv_sys_setgroups" at 0xc003b62e, type=FUNC, size=0x24)
[D] sys_call_table[160]: Symbol("__riscv_sys_newuname" at 0xc0026e38, type=FUNC, size=0x24)
[D] sys_call_table[161]: Symbol("__riscv_sys_sethostname" at 0xc0026f44, type=FUNC, size=0x24)
[D] sys_call_table[162]: Symbol("__riscv_sys_setdomainname" at 0xc0027050, type=FUNC, size=0x24)
[D] sys_call_table[163]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[164]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[165]: Symbol("__riscv_sys_getrusage" at 0xc00277fa, type=FUNC, size=0x24)
[D] sys_call_table[166]: Symbol("__riscv_sys_umask" at 0xc0027838, type=FUNC, size=0x24)
[D] sys_call_table[167]: Symbol("__riscv_sys_prctl" at 0xc0027e3c, type=FUNC, size=0x24)
[D] sys_call_table[168]: Symbol("__riscv_sys_getcpu" at 0xc0027f2c, type=FUNC, size=0x24)
[D] sys_call_table[169]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[170]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[171]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[172]: Symbol("__riscv_sys_getpid" at 0xc0026916, type=FUNC, size=0x1a)
[D] sys_call_table[173]: Symbol("__riscv_sys_getppid" at 0xc002694a, type=FUNC, size=0x30)
[D] sys_call_table[174]: Symbol("__riscv_sys_getuid" at 0xc002697a, type=FUNC, size=0x1c)
[D] sys_call_table[175]: Symbol("__riscv_sys_geteuid" at 0xc0026996, type=FUNC, size=0x1c)
[D] sys_call_table[176]: Symbol("__riscv_sys_getgid" at 0xc00269b2, type=FUNC, size=0x1c)
[D] sys_call_table[177]: Symbol("__riscv_sys_getegid" at 0xc00269ce, type=FUNC, size=0x1c)
[D] sys_call_table[178]: Symbol("__riscv_sys_gettid" at 0xc0026930, type=FUNC, size=0x1a)
[D] sys_call_table[179]: Symbol("__riscv_sys_sysinfo" at 0xc0028090, type=FUNC, size=0x24)
[D] sys_call_table[180]: Symbol("__riscv_sys_mq_open" at 0xc03f1b9e, type=FUNC, size=0x24)
[D] sys_call_table[181]: Symbol("__riscv_sys_mq_unlink" at 0xc03f1ce2, type=FUNC, size=0x24)
[D] sys_call_table[182]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[183]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[184]: Symbol("__riscv_sys_mq_notify" at 0xc03f21d4, type=FUNC, size=0x24)
[D] sys_call_table[185]: Symbol("__riscv_sys_mq_getsetattr" at 0xc03f2452, type=FUNC, size=0x24)
[D] sys_call_table[186]: Symbol("__riscv_sys_msgget" at 0xc03ea124, type=FUNC, size=0x24)
[D] sys_call_table[187]: Symbol("__riscv_sys_msgctl" at 0xc03ea15c, type=FUNC, size=0x24)
[D] sys_call_table[188]: Symbol("__riscv_sys_msgrcv" at 0xc03ea66c, type=FUNC, size=0x24)
[D] sys_call_table[189]: Symbol("__riscv_sys_msgsnd" at 0xc03ea620, type=FUNC, size=0x24)
[D] sys_call_table[190]: Symbol("__riscv_sys_semget" at 0xc03ec1d2, type=FUNC, size=0x24)
[D] sys_call_table[191]: Symbol("__riscv_sys_semctl" at 0xc03ec964, type=FUNC, size=0x24)
[D] sys_call_table[192]: Symbol("__riscv_sys_ni_syscall" at 0xc0004ffe, type=FUNC, size=0x10)
[D] sys_call_table[193]: Symbol("__riscv_sys_semop" at 0xc03edb36, type=FUNC, size=0x24)
[D] sys_call_table[194]: Symbol("__riscv_sys_shmget" at 0xc03ef62e, type=FUNC, size=0x24)
[D] sys_call_table[195]: Symbol("__riscv_sys_shmctl" at 0xc03ef666, type=FUNC, size=0x24)
[D] sys_call_table[196]: Symbol("__riscv_sys_shmat" at 0xc03efb08, type=FUNC, size=0x24)
[D] sys_call_table[197]: Symbol("__riscv_sys_shmdt" at 0xc03efd6c, type=FUNC, size=0x24)
[D] sys_call_table[198]: Symbol("__riscv_sys_socket" at 0xc06f86ba, type=FUNC, size=0x24)
[D] sys_call_table[199]: Symbol("__riscv_sys_socketpair" at 0xc06f8912, type=FUNC, size=0x24)
[D] sys_call_table[200]: Symbol("__riscv_sys_bind" at 0xc06f8a46, type=FUNC, size=0x24)
[D] sys_call_table[201]: Symbol("__riscv_sys_listen" at 0xc06f8bfa, type=FUNC, size=0x24)
[D] sys_call_table[202]: Symbol("__riscv_sys_accept" at 0xc06f8e86, type=FUNC, size=0x24)
[D] sys_call_table[203]: Symbol("__riscv_sys_connect" at 0xc06f8fc8, type=FUNC, size=0x24)
[D] sys_call_table[204]: Symbol("__riscv_sys_getsockname" at 0xc06f90be, type=FUNC, size=0x24)
[D] sys_call_table[205]: Symbol("__riscv_sys_getpeername" at 0xc06f91c6, type=FUNC, size=0x24)
[D] sys_call_table[206]: Symbol("__riscv_sys_sendto" at 0xc06f9322, type=FUNC, size=0x24)
[D] sys_call_table[207]: Symbol("__riscv_sys_recvfrom" at 0xc06f94b6, type=FUNC, size=0x24)
[D] sys_call_table[208]: Symbol("__riscv_sys_setsockopt" at 0xc06f95c0, type=FUNC, size=0x24)
[D] sys_call_table[209]: Symbol("__riscv_sys_getsockopt" at 0xc06f96a6, type=FUNC, size=0x24)
[D] sys_call_table[210]: Symbol("__riscv_sys_shutdown" at 0xc06f9792, type=FUNC, size=0x24)
[D] sys_call_table[211]: Symbol("__riscv_sys_sendmsg" at 0xc06f9e34, type=FUNC, size=0x24)
[D] sys_call_table[212]: Symbol("__riscv_sys_recvmsg" at 0xc06fa1ba, type=FUNC, size=0x24)
[D] sys_call_table[213]: Symbol("__riscv_sys_readahead" at 0xc01a6612, type=FUNC, size=0x24)
[D] sys_call_table[214]: Symbol("__riscv_sys_brk" at 0xc01e00be, type=FUNC, size=0x24)
[D] sys_call_table[215]: Symbol("__riscv_sys_munmap" at 0xc01df666, type=FUNC, size=0x24)
[D] sys_call_table[216]: Symbol("__riscv_sys_mremap" at 0xc01e4074, type=FUNC, size=0x24)
[D] sys_call_table[217]: Symbol("__riscv_sys_add_key" at 0xc03f68ee, type=FUNC, size=0x24)
[D] sys_call_table[218]: Symbol("__riscv_sys_request_key" at 0xc03f6a84, type=FUNC, size=0x24)
[D] sys_call_table[219]: Symbol("__riscv_sys_keyctl" at 0xc03f7f60, type=FUNC, size=0x24)
[D] sys_call_table[220]: Symbol("__riscv_sys_clone" at 0xc00117fe, type=FUNC, size=0x24)
[D] sys_call_table[221]: Symbol("__riscv_sys_execve" at 0xc023e252, type=FUNC, size=0x24)
[D] sys_call_table[222]: Symbol("__riscv_sys_mmap2" at 0xc0004f8e, type=FUNC, size=0x24)
[D] sys_call_table[223]: Symbol("__riscv_sys_fadvise64_64" at 0xc01a1224, type=FUNC, size=0x24)
[D] sys_call_table[224]: Symbol("__riscv_sys_swapon" at 0xc020df26, type=FUNC, size=0x26)
[D] sys_call_table[225]: Symbol("__riscv_sys_swapoff" at 0xc020cd98, type=FUNC, size=0x26)
[D] sys_call_table[226]: Symbol("__riscv_sys_mprotect" at 0xc01e2e3e, type=FUNC, size=0x24)
[D] sys_call_table[227]: Symbol("__riscv_sys_msync" at 0xc01e4332, type=FUNC, size=0x24)
[D] sys_call_table[228]: Symbol("__riscv_sys_mlock" at 0xc01ddc3e, type=FUNC, size=0x24)
[D] sys_call_table[229]: Symbol("__riscv_sys_munlock" at 0xc01ddd66, type=FUNC, size=0x24)
[D] sys_call_table[230]: Symbol("__riscv_sys_mlockall" at 0xc01ddeb2, type=FUNC, size=0x24)
[D] sys_call_table[231]: Symbol("__riscv_sys_munlockall" at 0xc01dded6, type=FUNC, size=0x98)
[D] sys_call_table[232]: Symbol("__riscv_sys_mincore" at 0xc01dc200, type=FUNC, size=0x24)
[D] sys_call_table[233]: Symbol("__riscv_sys_madvise" at 0xc0205d64, type=FUNC, size=0x24)
[D] sys_call_table[234]: Symbol("__riscv_sys_remap_file_pages" at 0xc01e160a, type=FUNC, size=0x24)
[D] sys_call_table[235]: Symbol("__riscv_sys_mbind" at 0xc021ba4c, type=FUNC, size=0x24)
[D] sys_call_table[236]: Symbol("__riscv_sys_get_mempolicy" at 0xc0219ba6, type=FUNC, size=0x24)
