[D] Systrack v0.8
[D] Command line: systrack -vvvv --format json --arch arm64-aarch32 --kdir /mnt/m2data/linux-worktrees/v6.13 --remap /mnt/m2data/linux /mnt/m2data/kernels/vmlinux-arm64-v6.13
[D] Running command: readelf -Ws /mnt/m2data/kernels/vmlinux-arm64-v6.13
[D] Running command: readelf -WS /mnt/m2data/kernels/vmlinux-arm64-v6.13
Detected kernel version: 6.13.0 (from vmlinux)
[D] Arch: ArchArm64(name='arm64', bits32=False, abi='aarch32', compat=True, ...)
[D] Syscall table: Symbol("compat_sys_call_table" at 0xffff8000810781d8, type=OBJECT, size=0xe98)
[D] compat_sys_call_table[16]: Symbol("__arm64_sys_lchown16" at 0xffff8000801aaa70, type=FUNC, size=0x50)
[D] compat_sys_call_table[17]: Symbol("__arm64_sys_ni_syscall" at 0xffff80008003a040, type=FUNC, size=0x1c)
[D] compat_sys_call_table[18]: Symbol("__arm64_sys_ni_syscall" at 0xffff80008003a040, type=FUNC, size=0x1c)
[D] compat_sys_call_table[19]: Symbol("__arm64_compat_sys_lseek" at 0xffff8000803aae60, type=FUNC, size=0xc4)
[D] compat_sys_call_table[20]: Symbol("__arm64_sys_getpid" at 0xffff8000800e1ac0, type=FUNC, size=0x2c)
[D] compat_sys_call_table[21]: Symbol("__arm64_sys_mount" at 0xffff8000803e0d44, type=FUNC, size=0x288)
[D] compat_sys_call_table[22]: Symbol("__arm64_sys_ni_syscall" at 0xffff80008003a040, type=FUNC, size=0x1c)
[D] compat_sys_call_table[23]: Symbol("__arm64_sys_setuid16" at 0xffff8000801aabac, type=FUNC, size=0x2c)
[D] compat_sys_call_table[24]: Symbol("__arm64_sys_getuid16" at 0xffff8000801ab380, type=FUNC, size=0x6c)
[D] compat_sys_call_table[25]: Symbol("__arm64_sys_ni_syscall" at 0xffff80008003a040, type=FUNC, size=0x1c)
[D] compat_sys_call_table[26]: Symbol("__arm64_compat_sys_ptrace" at 0xffff8000800d504c, type=FUNC, size=0x174)
[D] compat_sys_call_table[27]: Symbol("__arm64_sys_ni_syscall" at 0xffff80008003a040, type=FUNC, size=0x1c)
[D] compat_sys_call_table[28]: Symbol("__arm64_sys_ni_syscall" at 0xffff80008003a040, type=FUNC, size=0x1c)
[D] compat_sys_call_table[29]: Symbol("__arm64_sys_pause" at 0xffff8000800de8e4, type=FUNC, size=0x5c)
[D] compat_sys_call_table[30]: Symbol("__arm64_sys_ni_syscall" at 0xffff80008003a040, type=FUNC, size=0x1c)
[D] compat_sys_call_table[31]: Symbol("__arm64_sys_ni_syscall" at 0xffff80008003a040, type=FUNC, size=0x1c)
[D] compat_sys_call_table[32]: Symbol("__arm64_sys_ni_syscall" at 0xffff80008003a040, type=FUNC, size=0x1c)
[D] compat_sys_call_table[33]: Symbol("__arm64_sys_access" at 0xffff8000803a7370, type=FUNC, size=0x30)
[D] compat_sys_call_table[34]: Symbol("__arm64_sys_nice" at 0xffff800080123f4c, type=FUNC, size=0xc8)
[D] compat_sys_call_table[35]: Symbol("__arm64_sys_ni_syscall" at 0xffff80008003a040, type=FUNC, size=0x1c)
[D] compat_sys_call_table[36]: Symbol("__arm64_sys_sync" at 0xffff8000803f9960, type=FUNC, size=0x20)
[D] compat_sys_call_table[37]: Symbol("__arm64_sys_kill" at 0xffff8000800dcac0, type=FUNC, size=0x218)
[D] compat_sys_call_table[38]: Symbol("__arm64_sys_rename" at 0xffff8000803c3e24, type=FUNC, size=0xb4)
[D] compat_sys_call_table[39]: Symbol("__arm64_sys_mkdir" at 0xffff8000803c2a08, type=FUNC, size=0x8c)
[D] compat_sys_call_table[40]: Symbol("__arm64_sys_rmdir" at 0xffff8000803c2c44, type=FUNC, size=0x80)
[D] compat_sys_call_table[41]: Symbol("__arm64_sys_dup" at 0xffff8000803d87c8, type=FUNC, size=0x114)
[D] compat_sys_call_table[42]: Symbol("__arm64_sys_pipe" at 0xffff8000803b99e0, type=FUNC, size=0x28)
[D] compat_sys_call_table[43]: Symbol("__arm64_compat_sys_times" at 0xffff8000800e1d00, type=FUNC, size=0x170)
[D] compat_sys_call_table[44]: Symbol("__arm64_sys_ni_syscall" at 0xffff80008003a040, type=FUNC, size=0x1c)
[D] compat_sys_call_table[45]: Symbol("__arm64_sys_brk" at 0xffff800080311460, type=FUNC, size=0x33c)
[D] compat_sys_call_table[46]: Symbol("__arm64_sys_setgid16" at 0xffff8000801aab44, type=FUNC, size=0x2c)
[D] compat_sys_call_table[47]: Symbol("__arm64_sys_getgid16" at 0xffff8000801ab460, type=FUNC, size=0x6c)
[D] compat_sys_call_table[48]: Symbol("__arm64_sys_ni_syscall" at 0xffff80008003a040, type=FUNC, size=0x1c)
[D] compat_sys_call_table[49]: Symbol("__arm64_sys_geteuid16" at 0xffff8000801ab3ec, type=FUNC, size=0x6c)
[D] compat_sys_call_table[50]: Symbol("__arm64_sys_getegid16" at 0xffff8000801ab4cc, type=FUNC, size=0x6c)
[D] compat_sys_call_table[51]: Symbol("__arm64_sys_acct" at 0xffff8000801ad010, type=FUNC, size=0x2d0)
[D] compat_sys_call_table[52]: Symbol("__arm64_sys_umount" at 0xffff8000803de128, type=FUNC, size=0x9c)
[D] compat_sys_call_table[53]: Symbol("__arm64_sys_ni_syscall" at 0xffff80008003a040, type=FUNC, size=0x1c)
[D] compat_sys_call_table[54]: Symbol("__arm64_compat_sys_ioctl" at 0xffff8000803c71e0, type=FUNC, size=0x150)
[D] compat_sys_call_table[55]: Symbol("__arm64_compat_sys_fcntl" at 0xffff8000803c5420, type=FUNC, size=0x4c)
[D] compat_sys_call_table[56]: Symbol("__arm64_sys_ni_syscall" at 0xffff80008003a040, type=FUNC, size=0x1c)
[D] compat_sys_call_table[57]: Symbol("__arm64_sys_setpgid" at 0xffff8000800e1e70, type=FUNC, size=0x184)
[D] compat_sys_call_table[58]: Symbol("__arm64_sys_ni_syscall" at 0xffff80008003a040, type=FUNC, size=0x1c)
[D] compat_sys_call_table[59]: Symbol("__arm64_sys_ni_syscall" at 0xffff80008003a040, type=FUNC, size=0x1c)
[D] compat_sys_call_table[60]: Symbol("__arm64_sys_umask" at 0xffff8000800e32a8, type=FUNC, size=0x30)
[D] compat_sys_call_table[61]: Symbol("__arm64_sys_chroot" at 0xffff8000803a756c, type=FUNC, size=0x130)
[D] compat_sys_call_table[62]: Symbol("__arm64_compat_sys_ustat" at 0xffff8000803fcc20, type=FUNC, size=0x28)
[D] compat_sys_call_table[63]: Symbol("__arm64_sys_dup2" at 0xffff8000803d86d0, type=FUNC, size=0xf8)
[D] compat_sys_call_table[64]: Symbol("__arm64_sys_getppid" at 0xffff8000800e1b20, type=FUNC, size=0x44)
[D] compat_sys_call_table[65]: Symbol("__arm64_sys_getpgrp" at 0xffff8000800e2080, type=FUNC, size=0x40)
[D] compat_sys_call_table[66]: Symbol("__arm64_sys_setsid" at 0xffff8000800e2240, type=FUNC, size=0x20)
[D] compat_sys_call_table[67]: Symbol("__arm64_compat_sys_sigaction" at 0xffff8000800de520, type=FUNC, size=0x314)
[D] compat_sys_call_table[68]: Symbol("__arm64_sys_ni_syscall" at 0xffff80008003a040, type=FUNC, size=0x1c)
[D] compat_sys_call_table[69]: Symbol("__arm64_sys_ni_syscall" at 0xffff80008003a040, type=FUNC, size=0x1c)
[D] compat_sys_call_table[70]: Symbol("__arm64_sys_setreuid16" at 0xffff8000801aab70, type=FUNC, size=0x3c)
[D] compat_sys_call_table[71]: Symbol("__arm64_sys_setregid16" at 0xffff8000801aab08, type=FUNC, size=0x3c)
[D] compat_sys_call_table[72]: Symbol("__arm64_sys_sigsuspend" at 0xffff8000800dea88, type=FUNC, size=0x64)
[D] compat_sys_call_table[73]: Symbol("__arm64_compat_sys_sigpending" at 0xffff8000800dde20, type=FUNC, size=0xb4)
[D] compat_sys_call_table[74]: Symbol("__arm64_sys_sethostname" at 0xffff8000800e2280, type=FUNC, size=0x170)
[D] compat_sys_call_table[75]: Symbol("__arm64_compat_sys_setrlimit" at 0xffff8000800e27c8, type=FUNC, size=0xe4)
[D] compat_sys_call_table[76]: Symbol("__arm64_sys_ni_syscall" at 0xffff80008003a040, type=FUNC, size=0x1c)
[D] compat_sys_call_table[77]: Symbol("__arm64_compat_sys_getrusage" at 0xffff8000800e3280, type=FUNC, size=0x28)
[D] compat_sys_call_table[78]: Symbol("__arm64_compat_sys_gettimeofday" at 0xffff800080184668, type=FUNC, size=0x158)
[D] compat_sys_call_table[79]: Symbol("__arm64_compat_sys_settimeofday" at 0xffff8000801847c0, type=FUNC, size=0x17c)
[D] compat_sys_call_table[80]: Symbol("__arm64_sys_getgroups16" at 0xffff8000801ab080, type=FUNC, size=0x160)
[D] compat_sys_call_table[81]: Symbol("__arm64_sys_setgroups16" at 0xffff8000801ab1e0, type=FUNC, size=0x19c)
[D] compat_sys_call_table[82]: Symbol("__arm64_sys_ni_syscall" at 0xffff80008003a040, type=FUNC, size=0x1c)
[D] compat_sys_call_table[83]: Symbol("__arm64_sys_symlink" at 0xffff8000803c32f0, type=FUNC, size=0xac)
[D] compat_sys_call_table[84]: Symbol("__arm64_sys_ni_syscall" at 0xffff80008003a040, type=FUNC, size=0x1c)
[D] compat_sys_call_table[85]: Symbol("__arm64_sys_readlink" at 0xffff8000803b4340, type=FUNC, size=0x30)
[D] compat_sys_call_table[86]: Symbol("__arm64_sys_uselib" at 0xffff8000803b68d0, type=FUNC, size=0x154)
[D] compat_sys_call_table[87]: Symbol("__arm64_sys_swapon" at 0xffff8000803577e8, type=FUNC, size=0x10f4)
[D] compat_sys_call_table[88]: Symbol("__arm64_sys_reboot" at 0xffff8000800f980c, type=FUNC, size=0x30)
[D] compat_sys_call_table[89]: Symbol("__arm64_sys_ni_syscall" at 0xffff80008003a040, type=FUNC, size=0x1c)
[D] compat_sys_call_table[90]: Symbol("__arm64_sys_ni_syscall" at 0xffff80008003a040, type=FUNC, size=0x1c)
[D] compat_sys_call_table[91]: Symbol("__arm64_sys_munmap" at 0xffff8000803107a0, type=FUNC, size=0x30)
[D] compat_sys_call_table[92]: Symbol("__arm64_compat_sys_truncate" at 0xffff8000803a6f04, type=FUNC, size=0xdc)
[D] compat_sys_call_table[93]: Symbol("__arm64_compat_sys_ftruncate" at 0xffff8000803a718c, type=FUNC, size=0x2c)
[D] compat_sys_call_table[94]: Symbol("__arm64_sys_fchmod" at 0xffff8000803a7888, type=FUNC, size=0xc0)
[D] compat_sys_call_table[95]: Symbol("__arm64_sys_fchown16" at 0xffff8000801aaac0, type=FUNC, size=0x48)
[D] compat_sys_call_table[96]: Symbol("__arm64_sys_getpriority" at 0xffff8000800e022c, type=FUNC, size=0x29c)
[D] compat_sys_call_table[97]: Symbol("__arm64_sys_setpriority" at 0xffff8000800dff60, type=FUNC, size=0x2cc)
[D] compat_sys_call_table[98]: Symbol("__arm64_sys_ni_syscall" at 0xffff80008003a040, type=FUNC, size=0x1c)
[D] compat_sys_call_table[99]: Symbol("__arm64_compat_sys_statfs" at 0xffff8000803fca20, type=FUNC, size=0x20)
[D] compat_sys_call_table[100]: Symbol("__arm64_compat_sys_fstatfs" at 0xffff8000803fca40, type=FUNC, size=0x28)
[D] compat_sys_call_table[101]: Symbol("__arm64_sys_ni_syscall" at 0xffff80008003a040, type=FUNC, size=0x1c)
[D] compat_sys_call_table[102]: Symbol("__arm64_sys_ni_syscall" at 0xffff80008003a040, type=FUNC, size=0x1c)
[D] compat_sys_call_table[103]: Symbol("__arm64_sys_syslog" at 0xffff8000801405e0, type=FUNC, size=0x34)
[D] compat_sys_call_table[104]: Symbol("__arm64_compat_sys_setitimer" at 0xffff8000801991e0, type=FUNC, size=0x1b0)
[D] compat_sys_call_table[105]: Symbol("__arm64_compat_sys_getitimer" at 0xffff800080198e2c, type=FUNC, size=0x9c)
[D] compat_sys_call_table[106]: Symbol("__arm64_compat_sys_newstat" at 0xffff8000803b46a4, type=FUNC, size=0x20)
[D] compat_sys_call_table[107]: Symbol("__arm64_compat_sys_newlstat" at 0xffff8000803b46c4, type=FUNC, size=0x20)
[D] compat_sys_call_table[108]: Symbol("__arm64_compat_sys_newfstat" at 0xffff8000803b4710, type=FUNC, size=0x28)
[D] compat_sys_call_table[109]: Symbol("__arm64_sys_ni_syscall" at 0xffff80008003a040, type=FUNC, size=0x1c)
[D] compat_sys_call_table[110]: Symbol("__arm64_sys_ni_syscall" at 0xffff80008003a040, type=FUNC, size=0x1c)
[D] compat_sys_call_table[111]: Symbol("__arm64_sys_vhangup" at 0xffff8000803a8e0c, type=FUNC, size=0x34)
[D] compat_sys_call_table[112]: Symbol("__arm64_sys_ni_syscall" at 0xffff80008003a040, type=FUNC, size=0x1c)
[D] compat_sys_call_table[113]: Symbol("__arm64_sys_ni_syscall" at 0xffff80008003a040, type=FUNC, size=0x1c)
[D] compat_sys_call_table[114]: Symbol("__arm64_compat_sys_wait4" at 0xffff8000800cb690, type=FUNC, size=0x30)
[D] compat_sys_call_table[115]: Symbol("__arm64_sys_swapoff" at 0xffff800080356890, type=FUNC, size=0xf40)
[D] compat_sys_call_table[116]: Symbol("__arm64_compat_sys_sysinfo" at 0xffff8000800e3e00, type=FUNC, size=0x20)
[D] compat_sys_call_table[117]: Symbol("__arm64_sys_ni_syscall" at 0xffff80008003a040, type=FUNC, size=0x1c)
[D] compat_sys_call_table[118]: Symbol("__arm64_sys_fsync" at 0xffff8000803f9aac, type=FUNC, size=0x28)
[D] compat_sys_call_table[119]: Symbol("__arm64_compat_sys_sigreturn" at 0xffff800080045a68, type=FUNC, size=0xb0)
[D] compat_sys_call_table[120]: Symbol("__arm64_sys_clone" at 0xffff8000800c33e0, type=FUNC, size=0x2c)
[D] compat_sys_call_table[121]: Symbol("__arm64_sys_setdomainname" at 0xffff8000800e2544, type=FUNC, size=0x170)
[D] compat_sys_call_table[122]: Symbol("__arm64_sys_newuname" at 0xffff8000800e2260, type=FUNC, size=0x20)
[D] compat_sys_call_table[123]: Symbol("__arm64_sys_ni_syscall" at 0xffff80008003a040, type=FUNC, size=0x1c)
[D] compat_sys_call_table[124]: Symbol("__arm64_sys_adjtimex_time32" at 0xffff800080184c4c, type=FUNC, size=0x20)
[D] compat_sys_call_table[125]: Symbol("__arm64_sys_mprotect" at 0xffff800080314f08, type=FUNC, size=0x30)
[D] compat_sys_call_table[126]: Symbol("__arm64_compat_sys_sigprocmask" at 0xffff8000801b0a00, type=FUNC, size=0x150)
[D] compat_sys_call_table[127]: Symbol("__arm64_sys_ni_syscall" at 0xffff80008003a040, type=FUNC, size=0x1c)
[D] compat_sys_call_table[128]: Symbol("__arm64_sys_init_module" at 0xffff80008017f1c0, type=FUNC, size=0x28)
[D] compat_sys_call_table[129]: Symbol("__arm64_sys_delete_module" at 0xffff80008017f600, type=FUNC, size=0x290)
[D] compat_sys_call_table[130]: Symbol("__arm64_sys_ni_syscall" at 0xffff80008003a040, type=FUNC, size=0x1c)
[D] compat_sys_call_table[131]: Symbol("__arm64_sys_quotactl" at 0xffff8000804450e0, type=FUNC, size=0x4ec)
[D] compat_sys_call_table[132]: Symbol("__arm64_sys_getpgid" at 0xffff8000800e2000, type=FUNC, size=0x78)
[D] compat_sys_call_table[133]: Symbol("__arm64_sys_fchdir" at 0xffff8000803a74a0, type=FUNC, size=0xcc)
[D] compat_sys_call_table[134]: Symbol("__arm64_sys_ni_syscall" at 0xffff80008003a040, type=FUNC, size=0x1c)
[D] compat_sys_call_table[135]: Symbol("__arm64_sys_sysfs" at 0xffff8000803d8de0, type=FUNC, size=0x24c)
[D] compat_sys_call_table[136]: Symbol("__arm64_sys_personality" at 0xffff8000800c3aec, type=FUNC, size=0x20)
[D] compat_sys_call_table[137]: Symbol("__arm64_sys_ni_syscall" at 0xffff80008003a040, type=FUNC, size=0x1c)
[D] compat_sys_call_table[138]: Symbol("__arm64_sys_setfsuid16" at 0xffff8000801ab020, type=FUNC, size=0x2c)
[D] compat_sys_call_table[139]: Symbol("__arm64_sys_setfsgid16" at 0xffff8000801ab04c, type=FUNC, size=0x2c)
[D] compat_sys_call_table[140]: Symbol("__arm64_sys_llseek" at 0xffff8000803aaf24, type=FUNC, size=0x150)
[D] compat_sys_call_table[141]: Symbol("__arm64_compat_sys_getdents" at 0xffff8000803c81e8, type=FUNC, size=0x14c)
[D] compat_sys_call_table[142]: Symbol("__arm64_compat_sys_select" at 0xffff8000803ca4c4, type=FUNC, size=0x30)
[D] compat_sys_call_table[143]: Symbol("__arm64_sys_flock" at 0xffff800080428b0c, type=FUNC, size=0x28)
[D] compat_sys_call_table[144]: Symbol("__arm64_sys_msync" at 0xffff800080317560, type=FUNC, size=0x2f4)
[D] compat_sys_call_table[145]: Symbol("__arm64_sys_readv" at 0xffff8000803ac430, type=FUNC, size=0x2c)
[D] compat_sys_call_table[146]: Symbol("__arm64_sys_writev" at 0xffff8000803ac460, type=FUNC, size=0x2c)
[D] compat_sys_call_table[147]: Symbol("__arm64_sys_getsid" at 0xffff8000800e20c0, type=FUNC, size=0x7c)
[D] compat_sys_call_table[148]: Symbol("__arm64_sys_fdatasync" at 0xffff8000803f9ae0, type=FUNC, size=0x28)
[D] compat_sys_call_table[149]: Symbol("__arm64_sys_ni_syscall" at 0xffff80008003a040, type=FUNC, size=0x1c)
[D] compat_sys_call_table[150]: Symbol("__arm64_sys_mlock" at 0xffff80008030da20, type=FUNC, size=0x28)
[D] compat_sys_call_table[151]: Symbol("__arm64_sys_munlock" at 0xffff80008030daa0, type=FUNC, size=0xf4)
[D] compat_sys_call_table[152]: Symbol("__arm64_sys_mlockall" at 0xffff80008030dba0, type=FUNC, size=0x1c0)
[D] compat_sys_call_table[153]: Symbol("__arm64_sys_munlockall" at 0xffff80008030dd60, type=FUNC, size=0xc0)
[D] compat_sys_call_table[154]: Symbol("__arm64_sys_sched_setparam" at 0xffff800080125060, type=FUNC, size=0x30)
[D] compat_sys_call_table[155]: Symbol("__arm64_sys_sched_getparam" at 0xffff80008012554c, type=FUNC, size=0x134)
[D] compat_sys_call_table[156]: Symbol("__arm64_sys_sched_setscheduler" at 0xffff800080125020, type=FUNC, size=0x38)
[D] compat_sys_call_table[157]: Symbol("__arm64_sys_sched_getscheduler" at 0xffff8000801254cc, type=FUNC, size=0x80)
[D] compat_sys_call_table[158]: Symbol("__arm64_sys_sched_yield" at 0xffff8000801260f0, type=FUNC, size=0x20)
[D] compat_sys_call_table[159]: Symbol("__arm64_sys_sched_get_priority_max" at 0xffff800080126110, type=FUNC, size=0x44)
[D] compat_sys_call_table[160]: Symbol("__arm64_sys_sched_get_priority_min" at 0xffff800080126160, type=FUNC, size=0x40)
[D] compat_sys_call_table[161]: Symbol("__arm64_sys_sched_rr_get_interval_time32" at 0xffff800080126224, type=FUNC, size=0x84)
[D] compat_sys_call_table[162]: Symbol("__arm64_sys_nanosleep_time32" at 0xffff80008018b2e0, type=FUNC, size=0xe4)
[D] compat_sys_call_table[163]: Symbol("__arm64_sys_mremap" at 0xffff8000803174a8, type=FUNC, size=0x2c)
[D] compat_sys_call_table[164]: Symbol("__arm64_sys_setresuid16" at 0xffff8000801aabe0, type=FUNC, size=0x48)
[D] compat_sys_call_table[165]: Symbol("__arm64_sys_getresuid16" at 0xffff8000801aac28, type=FUNC, size=0x1d8)
[D] compat_sys_call_table[166]: Symbol("__arm64_sys_ni_syscall" at 0xffff80008003a040, type=FUNC, size=0x1c)
[D] compat_sys_call_table[167]: Symbol("__arm64_sys_ni_syscall" at 0xffff80008003a040, type=FUNC, size=0x1c)
[D] compat_sys_call_table[168]: Symbol("__arm64_sys_poll" at 0xffff8000803ca248, type=FUNC, size=0x144)
[D] compat_sys_call_table[169]: Symbol("__arm64_sys_ni_syscall" at 0xffff80008003a040, type=FUNC, size=0x1c)
[D] compat_sys_call_table[170]: Symbol("__arm64_sys_setresgid16" at 0xffff8000801aae00, type=FUNC, size=0x48)
[D] compat_sys_call_table[171]: Symbol("__arm64_sys_getresgid16" at 0xffff8000801aae48, type=FUNC, size=0x1d8)
[D] compat_sys_call_table[172]: Symbol("__arm64_sys_prctl" at 0xffff8000800e3310, type=FUNC, size=0x9e8)
[D] compat_sys_call_table[173]: Symbol("__arm64_compat_sys_rt_sigreturn" at 0xffff800080045b20, type=FUNC, size=0xb4)
[D] compat_sys_call_table[174]: Symbol("__arm64_compat_sys_rt_sigaction" at 0xffff8000800de1c0, type=FUNC, size=0x35c)
[D] compat_sys_call_table[175]: Symbol("__arm64_compat_sys_rt_sigprocmask" at 0xffff8000800d92f0, type=FUNC, size=0x168)
[D] compat_sys_call_table[176]: Symbol("__arm64_compat_sys_rt_sigpending" at 0xffff8000800d9530, type=FUNC, size=0xf0)
[D] compat_sys_call_table[177]: Symbol("__arm64_compat_sys_rt_sigtimedwait_time32" at 0xffff8000800dc9d0, type=FUNC, size=0xf0)
[D] compat_sys_call_table[178]: Symbol("__arm64_compat_sys_rt_sigqueueinfo" at 0xffff8000800dd200, type=FUNC, size=0xa0)
[D] compat_sys_call_table[179]: Symbol("__arm64_compat_sys_rt_sigsuspend" at 0xffff8000800dea00, type=FUNC, size=0x88)
[D] compat_sys_call_table[180]: Symbol("__arm64_compat_sys_aarch32_pread64" at 0xffff80008004414c, type=FUNC, size=0x34)
[D] compat_sys_call_table[181]: Symbol("__arm64_compat_sys_aarch32_pwrite64" at 0xffff800080044180, type=FUNC, size=0x34)
[D] compat_sys_call_table[182]: Symbol("__arm64_sys_chown16" at 0xffff8000801aaa20, type=FUNC, size=0x50)
[D] compat_sys_call_table[183]: Symbol("__arm64_sys_getcwd" at 0xffff8000803fb2c0, type=FUNC, size=0x1f4)
[D] compat_sys_call_table[184]: Symbol("__arm64_sys_capget" at 0xffff8000800d27b0, type=FUNC, size=0x20c)
[D] compat_sys_call_table[185]: Symbol("__arm64_sys_capset" at 0xffff8000800d29c0, type=FUNC, size=0x230)
[D] compat_sys_call_table[186]: Symbol("__arm64_compat_sys_sigaltstack" at 0xffff8000800ddc04, type=FUNC, size=0x24)
[D] compat_sys_call_table[187]: Symbol("__arm64_compat_sys_sendfile" at 0xffff8000803ac8f0, type=FUNC, size=0x10c)
[D] compat_sys_call_table[188]: Symbol("__arm64_sys_ni_syscall" at 0xffff80008003a040, type=FUNC, size=0x1c)
[D] compat_sys_call_table[189]: Symbol("__arm64_sys_ni_syscall" at 0xffff80008003a040, type=FUNC, size=0x1c)
[D] compat_sys_call_table[190]: Symbol("__arm64_sys_vfork" at 0xffff8000800c3360, type=FUNC, size=0x78)
[D] compat_sys_call_table[191]: Symbol("__arm64_compat_sys_getrlimit" at 0xffff8000800e28ac, type=FUNC, size=0xf0)
[D] compat_sys_call_table[192]: Symbol("__arm64_compat_sys_aarch32_mmap2" at 0xffff800080044120, type=FUNC, size=0x2c)
[D] compat_sys_call_table[193]: Symbol("__arm64_compat_sys_aarch32_truncate64" at 0xffff8000800441c0, type=FUNC, size=0x30)
[D] compat_sys_call_table[194]: Symbol("__arm64_compat_sys_aarch32_ftruncate64" at 0xffff8000800441f0, type=FUNC, size=0x34)
[D] compat_sys_call_table[195]: Symbol("__arm64_sys_stat64" at 0xffff8000803b4370, type=FUNC, size=0x20)
[D] compat_sys_call_table[196]: Symbol("__arm64_sys_lstat64" at 0xffff8000803b4390, type=FUNC, size=0x20)
[D] compat_sys_call_table[197]: Symbol("__arm64_sys_fstat64" at 0xffff8000803b43b0, type=FUNC, size=0x20)
[D] compat_sys_call_table[198]: Symbol("__arm64_sys_lchown" at 0xffff8000803a7fc0, type=FUNC, size=0x38)
[D] compat_sys_call_table[199]: Symbol("__arm64_sys_getuid" at 0xffff8000800e1b64, type=FUNC, size=0x30)
[D] compat_sys_call_table[200]: Symbol("__arm64_sys_getgid" at 0xffff8000800e1bd0, type=FUNC, size=0x30)
[D] compat_sys_call_table[201]: Symbol("__arm64_sys_geteuid" at 0xffff8000800e1ba0, type=FUNC, size=0x30)
[D] compat_sys_call_table[202]: Symbol("__arm64_sys_getegid" at 0xffff8000800e1c00, type=FUNC, size=0x30)
[D] compat_sys_call_table[203]: Symbol("__arm64_sys_setreuid" at 0xffff8000800e0ac0, type=FUNC, size=0x28)
[D] compat_sys_call_table[204]: Symbol("__arm64_sys_setregid" at 0xffff8000800e06a0, type=FUNC, size=0x28)
[D] compat_sys_call_table[205]: Symbol("__arm64_sys_getgroups" at 0xffff8000800fbf80, type=FUNC, size=0x118)
[D] compat_sys_call_table[206]: Symbol("__arm64_sys_setgroups" at 0xffff8000800fc104, type=FUNC, size=0x230)
[D] compat_sys_call_table[207]: Symbol("__arm64_sys_fchown" at 0xffff8000803a8140, type=FUNC, size=0x80)
[D] compat_sys_call_table[208]: Symbol("__arm64_sys_setresuid" at 0xffff8000800e1108, type=FUNC, size=0x2c)
[D] compat_sys_call_table[209]: Symbol("__arm64_sys_getresuid" at 0xffff8000800e1140, type=FUNC, size=0x158)
