[D] Systrack v0.8
[D] Command line: systrack -vvvv --format json --arch arm64-aarch32 --kdir /mnt/m2data/linux-worktrees/v5.4 --remap /mnt/m2data/linux /mnt/m2data/kernels/vmlinux-arm64-v5.4
[D] Running command: readelf -Ws /mnt/m2data/kernels/vmlinux-arm64-v5.4
[D] Running command: readelf -WS /mnt/m2data/kernels/vmlinux-arm64-v5.4
Detected kernel version: 5.4.0 (from vmlinux)
[D] Arch: ArchArm64(name='arm64', bits32=False, abi='aarch32', compat=True, ...)
[D] Syscall table: Symbol("compat_sys_call_table" at 0xffff800010bb4d68, type=OBJECT, size=0xda0)
[D] compat_sys_call_table[24]: Symbol("__arm64_sys_getuid16" at 0xffff80001018b380, type=FUNC, size=0x60)
[D] compat_sys_call_table[25]: Symbol("__arm64_sys_ni_syscall" at 0xffff80001008ec44, type=FUNC, size=0x14)
[D] compat_sys_call_table[26]: Symbol("__arm64_compat_sys_ptrace" at 0xffff8000100fb080, type=FUNC, size=0x138)
[D] compat_sys_call_table[27]: Symbol("__arm64_sys_ni_syscall" at 0xffff80001008ec44, type=FUNC, size=0x14)
[D] compat_sys_call_table[28]: Symbol("__arm64_sys_ni_syscall" at 0xffff80001008ec44, type=FUNC, size=0x14)
[D] compat_sys_call_table[29]: Symbol("__arm64_sys_pause" at 0xffff800010102ee0, type=FUNC, size=0x40)
[D] compat_sys_call_table[30]: Symbol("__arm64_sys_ni_syscall" at 0xffff80001008ec44, type=FUNC, size=0x14)
[D] compat_sys_call_table[31]: Symbol("__arm64_sys_ni_syscall" at 0xffff80001008ec44, type=FUNC, size=0x14)
[D] compat_sys_call_table[32]: Symbol("__arm64_sys_ni_syscall" at 0xffff80001008ec44, type=FUNC, size=0x14)
[D] compat_sys_call_table[33]: Symbol("__arm64_sys_access" at 0xffff8000102dfd54, type=FUNC, size=0x24)
[D] compat_sys_call_table[34]: Symbol("__arm64_sys_nice" at 0xffff800010122390, type=FUNC, size=0xe8)
[D] compat_sys_call_table[35]: Symbol("__arm64_sys_ni_syscall" at 0xffff80001008ec44, type=FUNC, size=0x14)
[D] compat_sys_call_table[36]: Symbol("__arm64_sys_sync" at 0xffff800010322e60, type=FUNC, size=0x18)
[D] compat_sys_call_table[37]: Symbol("__arm64_sys_kill" at 0xffff800010101470, type=FUNC, size=0x208)
[D] compat_sys_call_table[38]: Symbol("__arm64_sys_rename" at 0xffff8000102f8810, type=FUNC, size=0x2c)
[D] compat_sys_call_table[39]: Symbol("__arm64_sys_mkdir" at 0xffff8000102f7cf4, type=FUNC, size=0x24)
[D] compat_sys_call_table[40]: Symbol("__arm64_sys_rmdir" at 0xffff8000102f7ed0, type=FUNC, size=0x20)
[D] compat_sys_call_table[41]: Symbol("__arm64_sys_dup" at 0xffff800010309690, type=FUNC, size=0x1c)
[D] compat_sys_call_table[42]: Symbol("__arm64_sys_pipe" at 0xffff8000102ef7d0, type=FUNC, size=0x20)
[D] compat_sys_call_table[43]: Symbol("__arm64_compat_sys_times" at 0xffff8000101062c4, type=FUNC, size=0x174)
[D] compat_sys_call_table[44]: Symbol("__arm64_sys_ni_syscall" at 0xffff80001008ec44, type=FUNC, size=0x14)
[D] compat_sys_call_table[45]: Symbol("__arm64_sys_brk" at 0xffff80001027de80, type=FUNC, size=0x21c)
[D] compat_sys_call_table[46]: Symbol("__arm64_sys_setgid16" at 0xffff80001018aad4, type=FUNC, size=0x24)
[D] compat_sys_call_table[47]: Symbol("__arm64_sys_getgid16" at 0xffff80001018b440, type=FUNC, size=0x60)
[D] compat_sys_call_table[48]: Symbol("__arm64_sys_ni_syscall" at 0xffff80001008ec44, type=FUNC, size=0x14)
[D] compat_sys_call_table[49]: Symbol("__arm64_sys_geteuid16" at 0xffff80001018b3e0, type=FUNC, size=0x60)
[D] compat_sys_call_table[50]: Symbol("__arm64_sys_getegid16" at 0xffff80001018b4a0, type=FUNC, size=0x60)
[D] compat_sys_call_table[51]: Symbol("__arm64_sys_acct" at 0xffff8000101934c0, type=FUNC, size=0x2c4)
[D] compat_sys_call_table[52]: Symbol("__arm64_sys_umount" at 0xffff80001030d650, type=FUNC, size=0x24)
[D] compat_sys_call_table[53]: Symbol("__arm64_sys_ni_syscall" at 0xffff80001008ec44, type=FUNC, size=0x14)
[D] compat_sys_call_table[54]: Symbol("__arm64_compat_sys_ioctl" at 0xffff800010354b60, type=FUNC, size=0xd9c)
[D] compat_sys_call_table[55]: Symbol("__arm64_compat_sys_fcntl" at 0xffff8000102f9af4, type=FUNC, size=0x44)
[D] compat_sys_call_table[56]: Symbol("__arm64_sys_ni_syscall" at 0xffff80001008ec44, type=FUNC, size=0x14)
[D] compat_sys_call_table[57]: Symbol("__arm64_sys_setpgid" at 0xffff800010106440, type=FUNC, size=0x184)
[D] compat_sys_call_table[58]: Symbol("__arm64_sys_ni_syscall" at 0xffff80001008ec44, type=FUNC, size=0x14)
[D] compat_sys_call_table[59]: Symbol("__arm64_sys_ni_syscall" at 0xffff80001008ec44, type=FUNC, size=0x14)
[D] compat_sys_call_table[60]: Symbol("__arm64_sys_umask" at 0xffff800010107894, type=FUNC, size=0x30)
[D] compat_sys_call_table[61]: Symbol("__arm64_sys_chroot" at 0xffff8000102e0020, type=FUNC, size=0x1c)
[D] compat_sys_call_table[62]: Symbol("__arm64_compat_sys_ustat" at 0xffff800010325a10, type=FUNC, size=0x20)
[D] compat_sys_call_table[63]: Symbol("__arm64_sys_dup2" at 0xffff800010309560, type=FUNC, size=0x98)
[D] compat_sys_call_table[64]: Symbol("__arm64_sys_getppid" at 0xffff800010106100, type=FUNC, size=0x3c)
[D] compat_sys_call_table[65]: Symbol("__arm64_sys_getpgrp" at 0xffff800010106634, type=FUNC, size=0x38)
[D] compat_sys_call_table[66]: Symbol("__arm64_sys_setsid" at 0xffff8000101067d4, type=FUNC, size=0x18)
[D] compat_sys_call_table[67]: Symbol("__arm64_compat_sys_sigaction" at 0xffff800010102aa0, type=FUNC, size=0x3b8)
[D] compat_sys_call_table[68]: Symbol("__arm64_sys_ni_syscall" at 0xffff80001008ec44, type=FUNC, size=0x14)
[D] compat_sys_call_table[69]: Symbol("__arm64_sys_ni_syscall" at 0xffff80001008ec44, type=FUNC, size=0x14)
[D] compat_sys_call_table[70]: Symbol("__arm64_sys_setreuid16" at 0xffff80001018ab00, type=FUNC, size=0x34)
[D] compat_sys_call_table[71]: Symbol("__arm64_sys_setregid16" at 0xffff80001018aaa0, type=FUNC, size=0x34)
[D] compat_sys_call_table[72]: Symbol("__arm64_sys_sigsuspend" at 0xffff800010103050, type=FUNC, size=0x54)
[D] compat_sys_call_table[73]: Symbol("__arm64_compat_sys_sigpending" at 0xffff8000101023e0, type=FUNC, size=0xb8)
[D] compat_sys_call_table[74]: Symbol("__arm64_sys_sethostname" at 0xffff800010106810, type=FUNC, size=0x150)
[D] compat_sys_call_table[75]: Symbol("__arm64_compat_sys_setrlimit" at 0xffff800010106eb4, type=FUNC, size=0xec)
[D] compat_sys_call_table[76]: Symbol("__arm64_sys_ni_syscall" at 0xffff80001008ec44, type=FUNC, size=0x14)
[D] compat_sys_call_table[77]: Symbol("__arm64_compat_sys_getrusage" at 0xffff800010107874, type=FUNC, size=0x20)
[D] compat_sys_call_table[78]: Symbol("__arm64_compat_sys_gettimeofday" at 0xffff80001016e8e4, type=FUNC, size=0x194)
[D] compat_sys_call_table[79]: Symbol("__arm64_compat_sys_settimeofday" at 0xffff80001016ea80, type=FUNC, size=0xf0)
[D] compat_sys_call_table[80]: Symbol("__arm64_sys_getgroups16" at 0xffff80001018b010, type=FUNC, size=0x184)
[D] compat_sys_call_table[81]: Symbol("__arm64_sys_setgroups16" at 0xffff80001018b194, type=FUNC, size=0x1e8)
[D] compat_sys_call_table[82]: Symbol("__arm64_sys_ni_syscall" at 0xffff80001008ec44, type=FUNC, size=0x14)
[D] compat_sys_call_table[83]: Symbol("__arm64_sys_symlink" at 0xffff8000102f83c4, type=FUNC, size=0x1c)
[D] compat_sys_call_table[84]: Symbol("__arm64_sys_ni_syscall" at 0xffff80001008ec44, type=FUNC, size=0x14)
[D] compat_sys_call_table[85]: Symbol("__arm64_sys_readlink" at 0xffff8000102ead90, type=FUNC, size=0x28)
[D] compat_sys_call_table[86]: Symbol("__arm64_sys_uselib" at 0xffff8000102ed5b4, type=FUNC, size=0x1a0)
[D] compat_sys_call_table[87]: Symbol("__arm64_sys_swapon" at 0xffff80001029e390, type=FUNC, size=0xfc0)
[D] compat_sys_call_table[88]: Symbol("__arm64_sys_reboot" at 0xffff8000101185a0, type=FUNC, size=0x28)
[D] compat_sys_call_table[89]: Symbol("__arm64_sys_ni_syscall" at 0xffff80001008ec44, type=FUNC, size=0x14)
[D] compat_sys_call_table[90]: Symbol("__arm64_sys_ni_syscall" at 0xffff80001008ec44, type=FUNC, size=0x14)
[D] compat_sys_call_table[91]: Symbol("__arm64_sys_munmap" at 0xffff80001027cf80, type=FUNC, size=0x40)
[D] compat_sys_call_table[92]: Symbol("__arm64_compat_sys_truncate" at 0xffff8000102df7f4, type=FUNC, size=0x28)
[D] compat_sys_call_table[93]: Symbol("__arm64_compat_sys_ftruncate" at 0xffff8000102df9e4, type=FUNC, size=0x24)
[D] compat_sys_call_table[94]: Symbol("__arm64_sys_fchmod" at 0xffff8000102e00e4, type=FUNC, size=0x24)
[D] compat_sys_call_table[95]: Symbol("__arm64_sys_fchown16" at 0xffff80001018aa60, type=FUNC, size=0x3c)
[D] compat_sys_call_table[96]: Symbol("__arm64_sys_getpriority" at 0xffff800010104b10, type=FUNC, size=0x264)
[D] compat_sys_call_table[97]: Symbol("__arm64_sys_setpriority" at 0xffff800010104884, type=FUNC, size=0x284)
[D] compat_sys_call_table[98]: Symbol("__arm64_sys_ni_syscall" at 0xffff80001008ec44, type=FUNC, size=0x14)
[D] compat_sys_call_table[99]: Symbol("__arm64_compat_sys_statfs" at 0xffff800010325870, type=FUNC, size=0x18)
[D] compat_sys_call_table[100]: Symbol("__arm64_compat_sys_fstatfs" at 0xffff800010325890, type=FUNC, size=0x20)
[D] compat_sys_call_table[101]: Symbol("__arm64_sys_ni_syscall" at 0xffff80001008ec44, type=FUNC, size=0x14)
[D] compat_sys_call_table[102]: Symbol("__arm64_sys_ni_syscall" at 0xffff80001008ec44, type=FUNC, size=0x14)
[D] compat_sys_call_table[103]: Symbol("__arm64_sys_syslog" at 0xffff80001014f440, type=FUNC, size=0x54)
[D] compat_sys_call_table[104]: Symbol("__arm64_compat_sys_setitimer" at 0xffff80001017fde0, type=FUNC, size=0xb8)
[D] compat_sys_call_table[105]: Symbol("__arm64_compat_sys_getitimer" at 0xffff80001017f854, type=FUNC, size=0x7c)
[D] compat_sys_call_table[106]: Symbol("__arm64_compat_sys_newstat" at 0xffff8000102eae70, type=FUNC, size=0x18)
[D] compat_sys_call_table[107]: Symbol("__arm64_compat_sys_newlstat" at 0xffff8000102eae90, type=FUNC, size=0x18)
[D] compat_sys_call_table[108]: Symbol("__arm64_compat_sys_newfstat" at 0xffff8000102eaed4, type=FUNC, size=0x20)
[D] compat_sys_call_table[109]: Symbol("__arm64_sys_ni_syscall" at 0xffff80001008ec44, type=FUNC, size=0x14)
[D] compat_sys_call_table[110]: Symbol("__arm64_sys_ni_syscall" at 0xffff80001008ec44, type=FUNC, size=0x14)
[D] compat_sys_call_table[111]: Symbol("__arm64_sys_vhangup" at 0xffff8000102e09c0, type=FUNC, size=0x30)
[D] compat_sys_call_table[112]: Symbol("__arm64_sys_ni_syscall" at 0xffff80001008ec44, type=FUNC, size=0x14)
[D] compat_sys_call_table[113]: Symbol("__arm64_sys_ni_syscall" at 0xffff80001008ec44, type=FUNC, size=0x14)
[D] compat_sys_call_table[114]: Symbol("__arm64_compat_sys_wait4" at 0xffff8000100f1a70, type=FUNC, size=0x28)
[D] compat_sys_call_table[115]: Symbol("__arm64_sys_swapoff" at 0xffff80001029dd00, type=FUNC, size=0x670)
[D] compat_sys_call_table[116]: Symbol("__arm64_compat_sys_sysinfo" at 0xffff800010108010, type=FUNC, size=0x18)
[D] compat_sys_call_table[117]: Symbol("__arm64_sys_ni_syscall" at 0xffff80001008ec44, type=FUNC, size=0x14)
[D] compat_sys_call_table[118]: Symbol("__arm64_sys_fsync" at 0xffff800010322f60, type=FUNC, size=0x20)
[D] compat_sys_call_table[119]: Symbol("__arm64_compat_sys_sigreturn" at 0xffff8000100996b0, type=FUNC, size=0xa0)
[D] compat_sys_call_table[120]: Symbol("__arm64_sys_clone" at 0xffff8000100ea3c4, type=FUNC, size=0x90)
[D] compat_sys_call_table[121]: Symbol("__arm64_sys_setdomainname" at 0xffff800010106ab0, type=FUNC, size=0x150)
[D] compat_sys_call_table[122]: Symbol("__arm64_sys_newuname" at 0xffff8000101067f0, type=FUNC, size=0x18)
[D] compat_sys_call_table[123]: Symbol("__arm64_sys_ni_syscall" at 0xffff80001008ec44, type=FUNC, size=0x14)
[D] compat_sys_call_table[124]: Symbol("__arm64_sys_adjtimex_time32" at 0xffff80001016ee34, type=FUNC, size=0x18)
[D] compat_sys_call_table[125]: Symbol("__arm64_sys_mprotect" at 0xffff8000102805d4, type=FUNC, size=0x214)
[D] compat_sys_call_table[126]: Symbol("__arm64_compat_sys_sigprocmask" at 0xffff800010196ed0, type=FUNC, size=0x168)
[D] compat_sys_call_table[127]: Symbol("__arm64_sys_ni_syscall" at 0xffff80001008ec44, type=FUNC, size=0x14)
[D] compat_sys_call_table[128]: Symbol("__arm64_sys_init_module" at 0xffff8000101916c0, type=FUNC, size=0x20)
[D] compat_sys_call_table[129]: Symbol("__arm64_sys_delete_module" at 0xffff80001018e880, type=FUNC, size=0x228)
[D] compat_sys_call_table[130]: Symbol("__arm64_sys_ni_syscall" at 0xffff80001008ec44, type=FUNC, size=0x14)
[D] compat_sys_call_table[131]: Symbol("__arm64_sys_quotactl" at 0xffff80001036a8d0, type=FUNC, size=0x2c)
[D] compat_sys_call_table[132]: Symbol("__arm64_sys_getpgid" at 0xffff8000101065c4, type=FUNC, size=0x70)
[D] compat_sys_call_table[133]: Symbol("__arm64_sys_fchdir" at 0xffff8000102dfe70, type=FUNC, size=0xb4)
[D] compat_sys_call_table[134]: Symbol("__arm64_sys_bdflush" at 0xffff80001032ea30, type=FUNC, size=0x88)
[D] compat_sys_call_table[135]: Symbol("__arm64_sys_sysfs" at 0xffff800010309c00, type=FUNC, size=0x238)
[D] compat_sys_call_table[136]: Symbol("__arm64_sys_personality" at 0xffff8000100eae50, type=FUNC, size=0x20)
[D] compat_sys_call_table[137]: Symbol("__arm64_sys_ni_syscall" at 0xffff80001008ec44, type=FUNC, size=0x14)
[D] compat_sys_call_table[138]: Symbol("__arm64_sys_setfsuid16" at 0xffff80001018afc0, type=FUNC, size=0x24)
[D] compat_sys_call_table[139]: Symbol("__arm64_sys_setfsgid16" at 0xffff80001018afe4, type=FUNC, size=0x24)
[D] compat_sys_call_table[140]: Symbol("__arm64_sys_llseek" at 0xffff8000102e22f0, type=FUNC, size=0x174)
[D] compat_sys_call_table[141]: Symbol("__arm64_compat_sys_getdents" at 0xffff8000102fc3b0, type=FUNC, size=0x190)
[D] compat_sys_call_table[142]: Symbol("__arm64_compat_sys_select" at 0xffff8000102fe694, type=FUNC, size=0x28)
[D] compat_sys_call_table[143]: Symbol("__arm64_sys_flock" at 0xffff800010352e40, type=FUNC, size=0x1f0)
[D] compat_sys_call_table[144]: Symbol("__arm64_sys_msync" at 0xffff800010281910, type=FUNC, size=0x230)
[D] compat_sys_call_table[145]: Symbol("__arm64_compat_sys_readv" at 0xffff8000102e4780, type=FUNC, size=0x28)
[D] compat_sys_call_table[146]: Symbol("__arm64_compat_sys_writev" at 0xffff8000102e4834, type=FUNC, size=0x28)
[D] compat_sys_call_table[147]: Symbol("__arm64_sys_getsid" at 0xffff800010106670, type=FUNC, size=0x74)
[D] compat_sys_call_table[148]: Symbol("__arm64_sys_fdatasync" at 0xffff800010322f80, type=FUNC, size=0x20)
[D] compat_sys_call_table[149]: Symbol("__arm64_compat_sys_sysctl" at 0xffff8000100f8214, type=FUNC, size=0x1c8)
[D] compat_sys_call_table[150]: Symbol("__arm64_sys_mlock" at 0xffff8000102798e0, type=FUNC, size=0x20)
[D] compat_sys_call_table[151]: Symbol("__arm64_sys_munlock" at 0xffff800010279950, type=FUNC, size=0x80)
[D] compat_sys_call_table[152]: Symbol("__arm64_sys_mlockall" at 0xffff8000102799d0, type=FUNC, size=0x168)
[D] compat_sys_call_table[153]: Symbol("__arm64_sys_munlockall" at 0xffff800010279b40, type=FUNC, size=0x4c)
[D] compat_sys_call_table[154]: Symbol("__arm64_sys_sched_setparam" at 0xffff8000101225a0, type=FUNC, size=0x28)
[D] compat_sys_call_table[155]: Symbol("__arm64_sys_sched_getparam" at 0xffff800010122950, type=FUNC, size=0x134)
[D] compat_sys_call_table[156]: Symbol("__arm64_sys_sched_setscheduler" at 0xffff800010122570, type=FUNC, size=0x30)
[D] compat_sys_call_table[157]: Symbol("__arm64_sys_sched_getscheduler" at 0xffff8000101228d0, type=FUNC, size=0x7c)
[D] compat_sys_call_table[158]: Symbol("__arm64_sys_sched_yield" at 0xffff800010123100, type=FUNC, size=0x18)
[D] compat_sys_call_table[159]: Symbol("__arm64_sys_sched_get_priority_max" at 0xffff800010123180, type=FUNC, size=0x44)
[D] compat_sys_call_table[160]: Symbol("__arm64_sys_sched_get_priority_min" at 0xffff8000101231c4, type=FUNC, size=0x40)
[D] compat_sys_call_table[161]: Symbol("__arm64_sys_sched_rr_get_interval_time32" at 0xffff800010123274, type=FUNC, size=0x70)
[D] compat_sys_call_table[162]: Symbol("__arm64_sys_nanosleep_time32" at 0xffff800010173fc4, type=FUNC, size=0xa8)
[D] compat_sys_call_table[163]: Symbol("__arm64_sys_mremap" at 0xffff800010281310, type=FUNC, size=0x5fc)
[D] compat_sys_call_table[164]: Symbol("__arm64_sys_setresuid16" at 0xffff80001018ab60, type=FUNC, size=0x40)
[D] compat_sys_call_table[165]: Symbol("__arm64_sys_getresuid16" at 0xffff80001018aba0, type=FUNC, size=0x1ec)
[D] compat_sys_call_table[166]: Symbol("__arm64_sys_ni_syscall" at 0xffff80001008ec44, type=FUNC, size=0x14)
[D] compat_sys_call_table[167]: Symbol("__arm64_sys_ni_syscall" at 0xffff80001008ec44, type=FUNC, size=0x14)
[D] compat_sys_call_table[168]: Symbol("__arm64_sys_poll" at 0xffff8000102fe420, type=FUNC, size=0x158)
[D] compat_sys_call_table[169]: Symbol("__arm64_sys_ni_syscall" at 0xffff80001008ec44, type=FUNC, size=0x14)
[D] compat_sys_call_table[170]: Symbol("__arm64_sys_setresgid16" at 0xffff80001018ad90, type=FUNC, size=0x40)
[D] compat_sys_call_table[171]: Symbol("__arm64_sys_getresgid16" at 0xffff80001018add0, type=FUNC, size=0x1ec)
[D] compat_sys_call_table[172]: Symbol("__arm64_sys_prctl" at 0xffff8000101078e0, type=FUNC, size=0x600)
[D] compat_sys_call_table[173]: Symbol("__arm64_compat_sys_rt_sigreturn" at 0xffff800010099750, type=FUNC, size=0xa8)
[D] compat_sys_call_table[174]: Symbol("__arm64_compat_sys_rt_sigaction" at 0xffff8000101026f4, type=FUNC, size=0x3ac)
[D] compat_sys_call_table[175]: Symbol("__arm64_compat_sys_rt_sigprocmask" at 0xffff8000100fe414, type=FUNC, size=0x130)
[D] compat_sys_call_table[176]: Symbol("__arm64_compat_sys_rt_sigpending" at 0xffff8000100fe610, type=FUNC, size=0xec)
[D] compat_sys_call_table[177]: Symbol("__arm64_compat_sys_rt_sigtimedwait_time32" at 0xffff8000101013b0, type=FUNC, size=0xc0)
[D] compat_sys_call_table[178]: Symbol("__arm64_compat_sys_rt_sigqueueinfo" at 0xffff8000101019e4, type=FUNC, size=0x70)
[D] compat_sys_call_table[179]: Symbol("__arm64_compat_sys_rt_sigsuspend" at 0xffff800010102fe0, type=FUNC, size=0x70)
[D] compat_sys_call_table[180]: Symbol("__arm64_compat_sys_aarch32_pread64" at 0xffff800010097c64, type=FUNC, size=0x2c)
[D] compat_sys_call_table[181]: Symbol("__arm64_compat_sys_aarch32_pwrite64" at 0xffff800010097c90, type=FUNC, size=0x2c)
[D] compat_sys_call_table[182]: Symbol("__arm64_sys_chown16" at 0xffff80001018a9c0, type=FUNC, size=0x48)
[D] compat_sys_call_table[183]: Symbol("__arm64_sys_getcwd" at 0xffff800010324360, type=FUNC, size=0x1f4)
[D] compat_sys_call_table[184]: Symbol("__arm64_sys_capget" at 0xffff8000100f8890, type=FUNC, size=0x1fc)
[D] compat_sys_call_table[185]: Symbol("__arm64_sys_capset" at 0xffff8000100f8a90, type=FUNC, size=0x298)
[D] compat_sys_call_table[186]: Symbol("__arm64_compat_sys_sigaltstack" at 0xffff800010102184, type=FUNC, size=0x1c)
[D] compat_sys_call_table[187]: Symbol("__arm64_compat_sys_sendfile" at 0xffff8000102e4b64, type=FUNC, size=0x13c)
[D] compat_sys_call_table[188]: Symbol("__arm64_sys_ni_syscall" at 0xffff80001008ec44, type=FUNC, size=0x14)
[D] compat_sys_call_table[189]: Symbol("__arm64_sys_ni_syscall" at 0xffff80001008ec44, type=FUNC, size=0x14)
[D] compat_sys_call_table[190]: Symbol("__arm64_sys_vfork" at 0xffff8000100ea360, type=FUNC, size=0x64)
[D] compat_sys_call_table[191]: Symbol("__arm64_compat_sys_getrlimit" at 0xffff800010106fa0, type=FUNC, size=0xf4)
[D] compat_sys_call_table[192]: Symbol("__arm64_compat_sys_aarch32_mmap2" at 0xffff800010097c40, type=FUNC, size=0x24)
[D] compat_sys_call_table[193]: Symbol("__arm64_compat_sys_aarch32_truncate64" at 0xffff800010097cc0, type=FUNC, size=0x28)
[D] compat_sys_call_table[194]: Symbol("__arm64_compat_sys_aarch32_ftruncate64" at 0xffff800010097cf0, type=FUNC, size=0x2c)
[D] compat_sys_call_table[195]: Symbol("__arm64_sys_stat64" at 0xffff8000102eadc0, type=FUNC, size=0x18)
[D] compat_sys_call_table[196]: Symbol("__arm64_sys_lstat64" at 0xffff8000102eade0, type=FUNC, size=0x18)
[D] compat_sys_call_table[197]: Symbol("__arm64_sys_fstat64" at 0xffff8000102eae00, type=FUNC, size=0x18)
[D] compat_sys_call_table[198]: Symbol("__arm64_sys_lchown" at 0xffff8000102e0390, type=FUNC, size=0x30)
[D] compat_sys_call_table[199]: Symbol("__arm64_sys_getuid" at 0xffff800010106140, type=FUNC, size=0x28)
[D] compat_sys_call_table[200]: Symbol("__arm64_sys_getgid" at 0xffff8000101061a0, type=FUNC, size=0x28)
[D] compat_sys_call_table[201]: Symbol("__arm64_sys_geteuid" at 0xffff800010106170, type=FUNC, size=0x28)
[D] compat_sys_call_table[202]: Symbol("__arm64_sys_getegid" at 0xffff8000101061d0, type=FUNC, size=0x28)
[D] compat_sys_call_table[203]: Symbol("__arm64_sys_setreuid" at 0xffff8000101052c0, type=FUNC, size=0x20)
[D] compat_sys_call_table[204]: Symbol("__arm64_sys_setregid" at 0xffff800010104f10, type=FUNC, size=0x20)
[D] compat_sys_call_table[205]: Symbol("__arm64_sys_getgroups" at 0xffff80001011a860, type=FUNC, size=0x140)
[D] compat_sys_call_table[206]: Symbol("__arm64_sys_setgroups" at 0xffff80001011a9f0, type=FUNC, size=0x22c)
[D] compat_sys_call_table[207]: Symbol("__arm64_sys_fchown" at 0xffff8000102e04a0, type=FUNC, size=0x28)
[D] compat_sys_call_table[208]: Symbol("__arm64_sys_setresuid" at 0xffff800010105850, type=FUNC, size=0x24)
[D] compat_sys_call_table[209]: Symbol("__arm64_sys_getresuid" at 0xffff800010105874, type=FUNC, size=0x18c)
[D] compat_sys_call_table[210]: Symbol("__arm64_sys_setresgid" at 0xffff800010105d00, type=FUNC, size=0x24)
[D] compat_sys_call_table[211]: Symbol("__arm64_sys_getresgid" at 0xffff800010105d24, type=FUNC, size=0x184)
