[D] Systrack v0.8
[D] Command line: systrack -vvvv --format json --arch riscv --kdir /mnt/m2data/linux-worktrees/v6.7 --remap /mnt/m2data/linux /mnt/m2data/kernels/vmlinux-riscv-v6.7
[D] Running command: readelf -Ws /mnt/m2data/kernels/vmlinux-riscv-v6.7
[D] Running command: readelf -WS /mnt/m2data/kernels/vmlinux-riscv-v6.7
Detected kernel version: 6.7.0 (from vmlinux)
[D] Arch: ArchRiscV(name='riscv', bits32=True, abi='rv32', compat=False, ...)
[D] Syscall table: Symbol("sys_call_table" at 0xc14004f0, type=OBJECT, size=0x724)
[D] sys_call_table[34]: Symbol("__riscv_sys_mkdirat" at 0xc021ae60, type=FUNC, size=0x52)
[D] sys_call_table[35]: Symbol("__riscv_sys_unlinkat" at 0xc021b306, type=FUNC, size=0x4e)
[D] sys_call_table[36]: Symbol("__riscv_sys_symlinkat" at 0xc021b4a8, type=FUNC, size=0x46)
[D] sys_call_table[37]: Symbol("__riscv_sys_linkat" at 0xc021b774, type=FUNC, size=0x5e)
[D] sys_call_table[38]: Symbol("__riscv_sys_ni_syscall" at 0xc0005830, type=FUNC, size=0x10)
[D] sys_call_table[39]: Symbol("__riscv_sys_umount" at 0xc022d150, type=FUNC, size=0x70)
[D] sys_call_table[40]: Symbol("__riscv_sys_mount" at 0xc022f0da, type=FUNC, size=0x19a)
[D] sys_call_table[41]: Symbol("__riscv_sys_pivot_root" at 0xc022f866, type=FUNC, size=0x448)
[D] sys_call_table[42]: Symbol("__riscv_sys_ni_syscall" at 0xc0005830, type=FUNC, size=0x10)
[D] sys_call_table[43]: Symbol("__riscv_sys_statfs64" at 0xc0240aaa, type=FUNC, size=0x80)
[D] sys_call_table[44]: Symbol("__riscv_sys_fstatfs64" at 0xc0240b92, type=FUNC, size=0x80)
[D] sys_call_table[45]: Symbol("__riscv_sys_truncate64" at 0xc020718c, type=FUNC, size=0x9c)
[D] sys_call_table[46]: Symbol("__riscv_sys_ftruncate64" at 0xc0207228, type=FUNC, size=0x1c)
[D] sys_call_table[47]: Symbol("__riscv_sys_fallocate" at 0xc02072ae, type=FUNC, size=0x6a)
[D] sys_call_table[48]: Symbol("__riscv_sys_faccessat" at 0xc0207318, type=FUNC, size=0x1e)
[D] sys_call_table[49]: Symbol("__riscv_sys_chdir" at 0xc0207374, type=FUNC, size=0xb2)
[D] sys_call_table[50]: Symbol("__riscv_sys_fchdir" at 0xc0207426, type=FUNC, size=0x90)
[D] sys_call_table[51]: Symbol("__riscv_sys_chroot" at 0xc02074b6, type=FUNC, size=0xe0)
[D] sys_call_table[52]: Symbol("__riscv_sys_fchmod" at 0xc0207712, type=FUNC, size=0x82)
[D] sys_call_table[53]: Symbol("__riscv_sys_fchmodat" at 0xc0207852, type=FUNC, size=0x98)
[D] sys_call_table[54]: Symbol("__riscv_sys_fchownat" at 0xc0207c24, type=FUNC, size=0x1e)
[D] sys_call_table[55]: Symbol("__riscv_sys_fchown" at 0xc0207d5e, type=FUNC, size=0x1a)
[D] sys_call_table[56]: Symbol("__riscv_sys_openat" at 0xc020831c, type=FUNC, size=0xb0)
[D] sys_call_table[57]: Symbol("__riscv_sys_close" at 0xc020852a, type=FUNC, size=0x60)
[D] sys_call_table[58]: Symbol("__riscv_sys_vhangup" at 0xc02085a6, type=FUNC, size=0x2a)
[D] sys_call_table[59]: Symbol("__riscv_sys_pipe2" at 0xc0214556, type=FUNC, size=0x18)
[D] sys_call_table[60]: Symbol("__riscv_sys_quotactl" at 0xc0278300, type=FUNC, size=0x368)
[D] sys_call_table[61]: Symbol("__riscv_sys_getdents64" at 0xc021e458, type=FUNC, size=0x120)
[D] sys_call_table[62]: Symbol("__riscv_sys_llseek" at 0xc02098f8, type=FUNC, size=0x102)
[D] sys_call_table[63]: Symbol("__riscv_sys_read" at 0xc020a6a4, type=FUNC, size=0x1a)
[D] sys_call_table[64]: Symbol("__riscv_sys_write" at 0xc020a796, type=FUNC, size=0x1a)
[D] sys_call_table[65]: Symbol("__riscv_sys_readv" at 0xc020a9d4, type=FUNC, size=0x1e)
[D] sys_call_table[66]: Symbol("__riscv_sys_writev" at 0xc020a9f2, type=FUNC, size=0x1e)
[D] sys_call_table[67]: Symbol("__riscv_sys_pread64" at 0xc020a828, type=FUNC, size=0x9c)
[D] sys_call_table[68]: Symbol("__riscv_sys_pwrite64" at 0xc020a93a, type=FUNC, size=0x9a)
[D] sys_call_table[69]: Symbol("__riscv_sys_preadv" at 0xc020aa10, type=FUNC, size=0xfc)
[D] sys_call_table[70]: Symbol("__riscv_sys_pwritev" at 0xc020ac28, type=FUNC, size=0xa4)
[D] sys_call_table[71]: Symbol("__riscv_sys_sendfile64" at 0xc020ae88, type=FUNC, size=0xe4)
[D] sys_call_table[72]: Symbol("__riscv_sys_ni_syscall" at 0xc0005830, type=FUNC, size=0x10)
[D] sys_call_table[73]: Symbol("__riscv_sys_ni_syscall" at 0xc0005830, type=FUNC, size=0x10)
[D] sys_call_table[74]: Symbol("__riscv_sys_signalfd4" at 0xc0256286, type=FUNC, size=0x74)
[D] sys_call_table[75]: Symbol("__riscv_sys_vmsplice" at 0xc023e4e0, type=FUNC, size=0x1e)
[D] sys_call_table[76]: Symbol("__riscv_sys_splice" at 0xc023e4fe, type=FUNC, size=0x1e0)
[D] sys_call_table[77]: Symbol("__riscv_sys_tee" at 0xc023e9b2, type=FUNC, size=0xa0)
[D] sys_call_table[78]: Symbol("__riscv_sys_readlinkat" at 0xc0210182, type=FUNC, size=0x1c)
[D] sys_call_table[79]: Symbol("__riscv_sys_ni_syscall" at 0xc0005830, type=FUNC, size=0x10)
[D] sys_call_table[80]: Symbol("__riscv_sys_ni_syscall" at 0xc0005830, type=FUNC, size=0x10)
[D] sys_call_table[81]: Symbol("__riscv_sys_sync" at 0xc023ed7e, type=FUNC, size=0x14)
[D] sys_call_table[82]: Symbol("__riscv_sys_fsync" at 0xc023ee72, type=FUNC, size=0x18)
[D] sys_call_table[83]: Symbol("__riscv_sys_fdatasync" at 0xc023ee8a, type=FUNC, size=0x18)
[D] sys_call_table[84]: Symbol("__riscv_sys_sync_file_range" at 0xc023f002, type=FUNC, size=0x68)
[D] sys_call_table[85]: Symbol("__riscv_sys_timerfd_create" at 0xc0257190, type=FUNC, size=0x1a0)
[D] sys_call_table[86]: Symbol("__riscv_sys_ni_syscall" at 0xc0005830, type=FUNC, size=0x10)
[D] sys_call_table[87]: Symbol("__riscv_sys_ni_syscall" at 0xc0005830, type=FUNC, size=0x10)
[D] sys_call_table[88]: Symbol("__riscv_sys_ni_syscall" at 0xc0005830, type=FUNC, size=0x10)
[D] sys_call_table[89]: Symbol("__riscv_sys_acct" at 0xc00af81c, type=FUNC, size=0x274)
[D] sys_call_table[90]: Symbol("__riscv_sys_capget" at 0xc001b040, type=FUNC, size=0x1a6)
[D] sys_call_table[91]: Symbol("__riscv_sys_capset" at 0xc001b1e6, type=FUNC, size=0x190)
[D] sys_call_table[92]: Symbol("__riscv_sys_personality" at 0xc00102d6, type=FUNC, size=0x1e)
[D] sys_call_table[93]: Symbol("__riscv_sys_exit" at 0xc0015968, type=FUNC, size=0x18)
[D] sys_call_table[94]: Symbol("__riscv_sys_exit_group" at 0xc00159f0, type=FUNC, size=0x16)
[D] sys_call_table[95]: Symbol("__riscv_sys_waitid" at 0xc0015ea0, type=FUNC, size=0x136)
[D] sys_call_table[96]: Symbol("__riscv_sys_set_tid_address" at 0xc000de4c, type=FUNC, size=0x22)
[D] sys_call_table[97]: Symbol("__riscv_sys_unshare" at 0xc001014c, type=FUNC, size=0x16)
[D] sys_call_table[98]: Symbol("__riscv_sys_ni_syscall" at 0xc0005830, type=FUNC, size=0x10)
[D] sys_call_table[99]: Symbol("__riscv_sys_set_robust_list" at 0xc00a9726, type=FUNC, size=0x26)
[D] sys_call_table[100]: Symbol("__riscv_sys_get_robust_list" at 0xc00a974c, type=FUNC, size=0xd6)
[D] sys_call_table[101]: Symbol("__riscv_sys_ni_syscall" at 0xc0005830, type=FUNC, size=0x10)
[D] sys_call_table[102]: Symbol("__riscv_sys_getitimer" at 0xc00a3ab6, type=FUNC, size=0x16e)
[D] sys_call_table[103]: Symbol("__riscv_sys_setitimer" at 0xc00a3d06, type=FUNC, size=0x18a)
[D] sys_call_table[104]: Symbol("__riscv_sys_kexec_load" at 0xc00b19de, type=FUNC, size=0x274)
[D] sys_call_table[105]: Symbol("__riscv_sys_init_module" at 0xc008c0c2, type=FUNC, size=0x148)
[D] sys_call_table[106]: Symbol("__riscv_sys_delete_module" at 0xc008c560, type=FUNC, size=0x20a)
[D] sys_call_table[107]: Symbol("__riscv_sys_timer_create" at 0xc00a02fe, type=FUNC, size=0x8c)
[D] sys_call_table[108]: Symbol("__riscv_sys_ni_syscall" at 0xc0005830, type=FUNC, size=0x10)
[D] sys_call_table[109]: Symbol("__riscv_sys_timer_getoverrun" at 0xc00a0476, type=FUNC, size=0x74)
[D] sys_call_table[110]: Symbol("__riscv_sys_ni_syscall" at 0xc0005830, type=FUNC, size=0x10)
[D] sys_call_table[111]: Symbol("__riscv_sys_timer_delete" at 0xc00a0696, type=FUNC, size=0xc4)
[D] sys_call_table[112]: Symbol("__riscv_sys_ni_syscall" at 0xc0005830, type=FUNC, size=0x10)
[D] sys_call_table[113]: Symbol("__riscv_sys_ni_syscall" at 0xc0005830, type=FUNC, size=0x10)
[D] sys_call_table[114]: Symbol("__riscv_sys_ni_syscall" at 0xc0005830, type=FUNC, size=0x10)
[D] sys_call_table[115]: Symbol("__riscv_sys_ni_syscall" at 0xc0005830, type=FUNC, size=0x10)
[D] sys_call_table[116]: Symbol("__riscv_sys_syslog" at 0xc006a080, type=FUNC, size=0x1c)
[D] sys_call_table[117]: Symbol("__riscv_sys_ptrace" at 0xc001bd78, type=FUNC, size=0x416)
[D] sys_call_table[118]: Symbol("__riscv_sys_sched_setparam" at 0xc0040882, type=FUNC, size=0x1c)
[D] sys_call_table[119]: Symbol("__riscv_sys_sched_setscheduler" at 0xc004085c, type=FUNC, size=0x26)
[D] sys_call_table[120]: Symbol("__riscv_sys_sched_getscheduler" at 0xc0040b00, type=FUNC, size=0x62)
[D] sys_call_table[121]: Symbol("__riscv_sys_sched_getparam" at 0xc0040b62, type=FUNC, size=0xba)
[D] sys_call_table[122]: Symbol("__riscv_sys_sched_setaffinity" at 0xc0042b02, type=FUNC, size=0x70)
[D] sys_call_table[123]: Symbol("__riscv_sys_sched_getaffinity" at 0xc0040eae, type=FUNC, size=0x94)
[D] sys_call_table[124]: Symbol("__riscv_sys_sched_yield" at 0xc0040f42, type=FUNC, size=0x16)
[D] sys_call_table[125]: Symbol("__riscv_sys_sched_get_priority_max" at 0xc0040fae, type=FUNC, size=0x40)
[D] sys_call_table[126]: Symbol("__riscv_sys_sched_get_priority_min" at 0xc0040fee, type=FUNC, size=0x38)
[D] sys_call_table[127]: Symbol("__riscv_sys_ni_syscall" at 0xc0005830, type=FUNC, size=0x10)
[D] sys_call_table[128]: Symbol("__riscv_sys_restart_syscall" at 0xc001f3d0, type=FUNC, size=0x1a)
[D] sys_call_table[129]: Symbol("__riscv_sys_kill" at 0xc0021934, type=FUNC, size=0x176)
[D] sys_call_table[130]: Symbol("__riscv_sys_tkill" at 0xc0021c6e, type=FUNC, size=0x22)
[D] sys_call_table[131]: Symbol("__riscv_sys_tgkill" at 0xc0021c46, type=FUNC, size=0x28)
[D] sys_call_table[132]: Symbol("__riscv_sys_sigaltstack" at 0xc0022056, type=FUNC, size=0xb8)
[D] sys_call_table[133]: Symbol("__riscv_sys_rt_sigsuspend" at 0xc00222de, type=FUNC, size=0xd0)
[D] sys_call_table[134]: Symbol("__riscv_sys_rt_sigaction" at 0xc00221c0, type=FUNC, size=0xb6)
[D] sys_call_table[135]: Symbol("__riscv_sys_rt_sigprocmask" at 0xc001f5ac, type=FUNC, size=0xae)
[D] sys_call_table[136]: Symbol("__riscv_sys_rt_sigpending" at 0xc001f65a, type=FUNC, size=0xb8)
[D] sys_call_table[137]: Symbol("__riscv_sys_ni_syscall" at 0xc0005830, type=FUNC, size=0x10)
[D] sys_call_table[138]: Symbol("__riscv_sys_rt_sigqueueinfo" at 0xc0021c90, type=FUNC, size=0xd8)
[D] sys_call_table[139]: Symbol("__riscv_sys_rt_sigreturn" at 0xc0004a98, type=FUNC, size=0x30c)
[D] sys_call_table[140]: Symbol("__riscv_sys_setpriority" at 0xc0023094, type=FUNC, size=0x216)
[D] sys_call_table[141]: Symbol("__riscv_sys_getpriority" at 0xc00232aa, type=FUNC, size=0x1ec)
[D] sys_call_table[142]: Symbol("__riscv_sys_reboot" at 0xc003563e, type=FUNC, size=0x1c)
[D] sys_call_table[143]: Symbol("__riscv_sys_setregid" at 0xc00235be, type=FUNC, size=0x18)
[D] sys_call_table[144]: Symbol("__riscv_sys_setgid" at 0xc00236a0, type=FUNC, size=0x16)
[D] sys_call_table[145]: Symbol("__riscv_sys_setreuid" at 0xc002388a, type=FUNC, size=0x18)
[D] sys_call_table[146]: Symbol("__riscv_sys_setuid" at 0xc002396e, type=FUNC, size=0x16)
[D] sys_call_table[147]: Symbol("__riscv_sys_setresuid" at 0xc0023c60, type=FUNC, size=0x1a)
[D] sys_call_table[148]: Symbol("__riscv_sys_getresuid" at 0xc0023c7a, type=FUNC, size=0xf2)
[D] sys_call_table[149]: Symbol("__riscv_sys_setresgid" at 0xc0024016, type=FUNC, size=0x1a)
[D] sys_call_table[150]: Symbol("__riscv_sys_getresgid" at 0xc0024030, type=FUNC, size=0xf2)
[D] sys_call_table[151]: Symbol("__riscv_sys_setfsuid" at 0xc00241b6, type=FUNC, size=0x16)
[D] sys_call_table[152]: Symbol("__riscv_sys_setfsgid" at 0xc0024260, type=FUNC, size=0x16)
[D] sys_call_table[153]: Symbol("__riscv_sys_times" at 0xc002434a, type=FUNC, size=0xee)
[D] sys_call_table[154]: Symbol("__riscv_sys_setpgid" at 0xc0024438, type=FUNC, size=0x130)
[D] sys_call_table[155]: Symbol("__riscv_sys_getpgid" at 0xc0024568, type=FUNC, size=0x6e)
[D] sys_call_table[156]: Symbol("__riscv_sys_getsid" at 0xc00245d6, type=FUNC, size=0x6e)
[D] sys_call_table[157]: Symbol("__riscv_sys_setsid" at 0xc00246f2, type=FUNC, size=0x12)
[D] sys_call_table[158]: Symbol("__riscv_sys_getgroups" at 0xc0036ff8, type=FUNC, size=0xb8)
[D] sys_call_table[159]: Symbol("__riscv_sys_setgroups" at 0xc00370e4, type=FUNC, size=0x15a)
[D] sys_call_table[160]: Symbol("__riscv_sys_newuname" at 0xc0024704, type=FUNC, size=0x18)
[D] sys_call_table[161]: Symbol("__riscv_sys_sethostname" at 0xc002471c, type=FUNC, size=0xec)
[D] sys_call_table[162]: Symbol("__riscv_sys_setdomainname" at 0xc0024808, type=FUNC, size=0xec)
[D] sys_call_table[163]: Symbol("__riscv_sys_ni_syscall" at 0xc0005830, type=FUNC, size=0x10)
[D] sys_call_table[164]: Symbol("__riscv_sys_ni_syscall" at 0xc0005830, type=FUNC, size=0x10)
[D] sys_call_table[165]: Symbol("__riscv_sys_getrusage" at 0xc0024f94, type=FUNC, size=0x86)
[D] sys_call_table[166]: Symbol("__riscv_sys_umask" at 0xc002501a, type=FUNC, size=0x1e)
[D] sys_call_table[167]: Symbol("__riscv_sys_prctl" at 0xc0025054, type=FUNC, size=0x5c6)
[D] sys_call_table[168]: Symbol("__riscv_sys_getcpu" at 0xc002561a, type=FUNC, size=0xda)
[D] sys_call_table[169]: Symbol("__riscv_sys_ni_syscall" at 0xc0005830, type=FUNC, size=0x10)
[D] sys_call_table[170]: Symbol("__riscv_sys_ni_syscall" at 0xc0005830, type=FUNC, size=0x10)
[D] sys_call_table[171]: Symbol("__riscv_sys_ni_syscall" at 0xc0005830, type=FUNC, size=0x10)
[D] sys_call_table[172]: Symbol("__riscv_sys_getpid" at 0xc0024276, type=FUNC, size=0x1a)
[D] sys_call_table[173]: Symbol("__riscv_sys_getppid" at 0xc00242aa, type=FUNC, size=0x30)
[D] sys_call_table[174]: Symbol("__riscv_sys_getuid" at 0xc00242da, type=FUNC, size=0x1c)
[D] sys_call_table[175]: Symbol("__riscv_sys_geteuid" at 0xc00242f6, type=FUNC, size=0x1c)
[D] sys_call_table[176]: Symbol("__riscv_sys_getgid" at 0xc0024312, type=FUNC, size=0x1c)
[D] sys_call_table[177]: Symbol("__riscv_sys_getegid" at 0xc002432e, type=FUNC, size=0x1c)
[D] sys_call_table[178]: Symbol("__riscv_sys_gettid" at 0xc0024290, type=FUNC, size=0x1a)
[D] sys_call_table[179]: Symbol("__riscv_sys_sysinfo" at 0xc00256f4, type=FUNC, size=0x144)
[D] sys_call_table[180]: Symbol("__riscv_sys_mq_open" at 0xc03b28d6, type=FUNC, size=0x2b4)
[D] sys_call_table[181]: Symbol("__riscv_sys_mq_unlink" at 0xc03b2b8a, type=FUNC, size=0x124)
[D] sys_call_table[182]: Symbol("__riscv_sys_ni_syscall" at 0xc0005830, type=FUNC, size=0x10)
[D] sys_call_table[183]: Symbol("__riscv_sys_ni_syscall" at 0xc0005830, type=FUNC, size=0x10)
[D] sys_call_table[184]: Symbol("__riscv_sys_mq_notify" at 0xc03b2df6, type=FUNC, size=0x380)
[D] sys_call_table[185]: Symbol("__riscv_sys_mq_getsetattr" at 0xc03b3176, type=FUNC, size=0x262)
[D] sys_call_table[186]: Symbol("__riscv_sys_msgget" at 0xc03ab2b8, type=FUNC, size=0x66)
[D] sys_call_table[187]: Symbol("__riscv_sys_msgctl" at 0xc03ab31e, type=FUNC, size=0x1c)
[D] sys_call_table[188]: Symbol("__riscv_sys_msgrcv" at 0xc03ab7f8, type=FUNC, size=0x20)
[D] sys_call_table[189]: Symbol("__riscv_sys_msgsnd" at 0xc03ab7c8, type=FUNC, size=0x1c)
[D] sys_call_table[190]: Symbol("__riscv_sys_semget" at 0xc03ad2e4, type=FUNC, size=0x7a)
[D] sys_call_table[191]: Symbol("__riscv_sys_semctl" at 0xc03ad35e, type=FUNC, size=0x77a)
[D] sys_call_table[192]: Symbol("__riscv_sys_ni_syscall" at 0xc0005830, type=FUNC, size=0x10)
[D] sys_call_table[193]: Symbol("__riscv_sys_semop" at 0xc03aec46, type=FUNC, size=0x1c)
[D] sys_call_table[194]: Symbol("__riscv_sys_shmget" at 0xc03b0724, type=FUNC, size=0x6c)
[D] sys_call_table[195]: Symbol("__riscv_sys_shmctl" at 0xc03b0790, type=FUNC, size=0x1c)
[D] sys_call_table[196]: Symbol("__riscv_sys_shmat" at 0xc03b0bda, type=FUNC, size=0x4a)
[D] sys_call_table[197]: Symbol("__riscv_sys_shmdt" at 0xc03b0e4e, type=FUNC, size=0x16)
[D] sys_call_table[198]: Symbol("__riscv_sys_socket" at 0xc068731e, type=FUNC, size=0x1a)
[D] sys_call_table[199]: Symbol("__riscv_sys_socketpair" at 0xc068755a, type=FUNC, size=0x1c)
[D] sys_call_table[200]: Symbol("__riscv_sys_bind" at 0xc068763c, type=FUNC, size=0x1a)
[D] sys_call_table[201]: Symbol("__riscv_sys_listen" at 0xc06876fe, type=FUNC, size=0x18)
[D] sys_call_table[202]: Symbol("__riscv_sys_accept" at 0xc068791a, type=FUNC, size=0x1c)
[D] sys_call_table[203]: Symbol("__riscv_sys_connect" at 0xc0687a44, type=FUNC, size=0x1a)
[D] sys_call_table[204]: Symbol("__riscv_sys_getsockname" at 0xc0687b1e, type=FUNC, size=0x1a)
[D] sys_call_table[205]: Symbol("__riscv_sys_getpeername" at 0xc0687c0a, type=FUNC, size=0x1a)
[D] sys_call_table[206]: Symbol("__riscv_sys_sendto" at 0xc0687d56, type=FUNC, size=0x20)
[D] sys_call_table[207]: Symbol("__riscv_sys_recvfrom" at 0xc0687ec6, type=FUNC, size=0x20)
[D] sys_call_table[208]: Symbol("__riscv_sys_setsockopt" at 0xc0687fa0, type=FUNC, size=0x1e)
[D] sys_call_table[209]: Symbol("__riscv_sys_getsockopt" at 0xc068806e, type=FUNC, size=0x1e)
[D] sys_call_table[210]: Symbol("__riscv_sys_shutdown" at 0xc0688142, type=FUNC, size=0x18)
[D] sys_call_table[211]: Symbol("__riscv_sys_sendmsg" at 0xc0688762, type=FUNC, size=0x1c)
[D] sys_call_table[212]: Symbol("__riscv_sys_recvmsg" at 0xc0688a54, type=FUNC, size=0x1c)
[D] sys_call_table[213]: Symbol("__riscv_sys_readahead" at 0xc01857aa, type=FUNC, size=0x1c)
[D] sys_call_table[214]: Symbol("__riscv_sys_brk" at 0xc01bdcbe, type=FUNC, size=0x2ca)
[D] sys_call_table[215]: Symbol("__riscv_sys_munmap" at 0xc01bd024, type=FUNC, size=0x1a)
[D] sys_call_table[216]: Symbol("__riscv_sys_mremap" at 0xc01c11fe, type=FUNC, size=0x50a)
[D] sys_call_table[217]: Symbol("__riscv_sys_add_key" at 0xc03b7500, type=FUNC, size=0x19e)
[D] sys_call_table[218]: Symbol("__riscv_sys_request_key" at 0xc03b769e, type=FUNC, size=0x178)
[D] sys_call_table[219]: Symbol("__riscv_sys_keyctl" at 0xc03b8b7c, type=FUNC, size=0x156)
[D] sys_call_table[220]: Symbol("__riscv_sys_clone" at 0xc000fcca, type=FUNC, size=0x9a)
[D] sys_call_table[221]: Symbol("__riscv_sys_execve" at 0xc0212b40, type=FUNC, size=0x38)
[D] sys_call_table[222]: Symbol("__riscv_sys_mmap2" at 0xc0005612, type=FUNC, size=0x26)
[D] sys_call_table[223]: Symbol("__riscv_sys_fadvise64_64" at 0xc0180f9c, type=FUNC, size=0x7a)
[D] sys_call_table[224]: Symbol("__riscv_sys_swapon" at 0xc01db09c, type=FUNC, size=0x1104)
[D] sys_call_table[225]: Symbol("__riscv_sys_swapoff" at 0xc01d9fac, type=FUNC, size=0x10d0)
[D] sys_call_table[226]: Symbol("__riscv_sys_mprotect" at 0xc01c055c, type=FUNC, size=0x1a)
[D] sys_call_table[227]: Symbol("__riscv_sys_msync" at 0xc01c170c, type=FUNC, size=0x232)
[D] sys_call_table[228]: Symbol("__riscv_sys_mlock" at 0xc01b9862, type=FUNC, size=0x1c)
[D] sys_call_table[229]: Symbol("__riscv_sys_munlock" at 0xc01b98ae, type=FUNC, size=0xbe)
[D] sys_call_table[230]: Symbol("__riscv_sys_mlockall" at 0xc01b996c, type=FUNC, size=0x12e)
[D] sys_call_table[231]: Symbol("__riscv_sys_munlockall" at 0xc01b9a9a, type=FUNC, size=0x9a)
[D] sys_call_table[232]: Symbol("__riscv_sys_mincore" at 0xc01b7d6c, type=FUNC, size=0x1e0)
[D] sys_call_table[233]: Symbol("__riscv_sys_madvise" at 0xc01d4c7a, type=FUNC, size=0x20)
[D] sys_call_table[234]: Symbol("__riscv_sys_remap_file_pages" at 0xc01bee86, type=FUNC, size=0x244)
[D] sys_call_table[235]: Symbol("__riscv_sys_mbind" at 0xc01e89a8, type=FUNC, size=0x488)
[D] sys_call_table[236]: Symbol("__riscv_sys_get_mempolicy" at 0xc01e6e8c, type=FUNC, size=0x48e)
