[D] Systrack v0.8
[D] Command line: systrack -vvvv --format json --arch riscv64-32 --kdir /mnt/m2data/linux-worktrees/v6.16 --remap /mnt/m2data/linux /mnt/m2data/kernels/vmlinux-riscv64-v6.16
[D] Running command: readelf -Ws /mnt/m2data/kernels/vmlinux-riscv64-v6.16
[D] Running command: readelf -WS /mnt/m2data/kernels/vmlinux-riscv64-v6.16
Detected kernel version: 6.16.0 (from vmlinux)
[D] Arch: ArchRiscV(name='riscv', bits32=False, abi='rv32', compat=True, ...)
[D] Syscall table: Symbol("compat_sys_call_table" at 0xffffffff81003198, type=OBJECT, size=0xea0)
[D] compat_sys_call_table[58]: Symbol("__riscv_sys_vhangup" at 0xffffffff8027c3b0, type=FUNC, size=0x2a)
[D] compat_sys_call_table[59]: Symbol("__riscv_sys_pipe2" at 0xffffffff8028ad50, type=FUNC, size=0x1a)
[D] compat_sys_call_table[60]: Symbol("__riscv_sys_quotactl" at 0xffffffff80308250, type=FUNC, size=0x348)
[D] compat_sys_call_table[61]: Symbol("__riscv_sys_getdents64" at 0xffffffff80296da4, type=FUNC, size=0x17a)
[D] compat_sys_call_table[62]: Symbol("__riscv_sys_llseek" at 0xffffffff8027dc64, type=FUNC, size=0xdc)
[D] compat_sys_call_table[63]: Symbol("__riscv_sys_read" at 0xffffffff8027eb0c, type=FUNC, size=0x1c)
[D] compat_sys_call_table[64]: Symbol("__riscv_sys_write" at 0xffffffff8027ebe8, type=FUNC, size=0x1c)
[D] compat_sys_call_table[65]: Symbol("__riscv_sys_readv" at 0xffffffff8027ef9c, type=FUNC, size=0x1e)
[D] compat_sys_call_table[66]: Symbol("__riscv_sys_writev" at 0xffffffff8027efbc, type=FUNC, size=0x1e)
[D] compat_sys_call_table[67]: Symbol("__riscv_compat_sys_pread64" at 0xffffffff8027ed24, type=FUNC, size=0xaa)
[D] compat_sys_call_table[68]: Symbol("__riscv_compat_sys_pwrite64" at 0xffffffff8027eef0, type=FUNC, size=0xaa)
[D] compat_sys_call_table[69]: Symbol("__riscv_compat_sys_preadv" at 0xffffffff8027f19c, type=FUNC, size=0xb4)
[D] compat_sys_call_table[70]: Symbol("__riscv_compat_sys_pwritev" at 0xffffffff8027f290, type=FUNC, size=0xb4)
[D] compat_sys_call_table[71]: Symbol("__riscv_sys_sendfile64" at 0xffffffff8027f580, type=FUNC, size=0x14c)
[D] compat_sys_call_table[72]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80013654, type=FUNC, size=0x14)
[D] compat_sys_call_table[73]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80013654, type=FUNC, size=0x14)
[D] compat_sys_call_table[74]: Symbol("__riscv_compat_sys_signalfd4" at 0xffffffff802dfb98, type=FUNC, size=0x70)
[D] compat_sys_call_table[75]: Symbol("__riscv_sys_vmsplice" at 0xffffffff802c3700, type=FUNC, size=0x1e)
[D] compat_sys_call_table[76]: Symbol("__riscv_sys_splice" at 0xffffffff802c3720, type=FUNC, size=0x200)
[D] compat_sys_call_table[77]: Symbol("__riscv_sys_tee" at 0xffffffff802c3c3c, type=FUNC, size=0xaa)
[D] compat_sys_call_table[78]: Symbol("__riscv_sys_readlinkat" at 0xffffffff802861ac, type=FUNC, size=0x1e)
[D] compat_sys_call_table[79]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80013654, type=FUNC, size=0x14)
[D] compat_sys_call_table[80]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80013654, type=FUNC, size=0x14)
[D] compat_sys_call_table[81]: Symbol("__riscv_sys_sync" at 0xffffffff802c3ff0, type=FUNC, size=0x16)
[D] compat_sys_call_table[82]: Symbol("__riscv_sys_fsync" at 0xffffffff802c410c, type=FUNC, size=0x1a)
[D] compat_sys_call_table[83]: Symbol("__riscv_sys_fdatasync" at 0xffffffff802c4128, type=FUNC, size=0x1a)
[D] compat_sys_call_table[84]: Symbol("__riscv_compat_sys_sync_file_range" at 0xffffffff802c4324, type=FUNC, size=0x92)
[D] compat_sys_call_table[85]: Symbol("__riscv_sys_timerfd_create" at 0xffffffff802e0ad4, type=FUNC, size=0x1bc)
[D] compat_sys_call_table[86]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80013654, type=FUNC, size=0x14)
[D] compat_sys_call_table[87]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80013654, type=FUNC, size=0x14)
[D] compat_sys_call_table[88]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80013654, type=FUNC, size=0x14)
[D] compat_sys_call_table[89]: Symbol("__riscv_sys_acct" at 0xffffffff800e3940, type=FUNC, size=0x2d6)
[D] compat_sys_call_table[90]: Symbol("__riscv_sys_capget" at 0xffffffff8003211c, type=FUNC, size=0x1fe)
[D] compat_sys_call_table[91]: Symbol("__riscv_sys_capset" at 0xffffffff8003231c, type=FUNC, size=0x1fc)
[D] compat_sys_call_table[92]: Symbol("__riscv_sys_personality" at 0xffffffff8002606c, type=FUNC, size=0x26)
[D] compat_sys_call_table[93]: Symbol("__riscv_sys_exit" at 0xffffffff8002bd74, type=FUNC, size=0x18)
[D] compat_sys_call_table[94]: Symbol("__riscv_sys_exit_group" at 0xffffffff8002bdfc, type=FUNC, size=0x18)
[D] compat_sys_call_table[95]: Symbol("__riscv_compat_sys_waitid" at 0xffffffff8002cba4, type=FUNC, size=0x20)
[D] compat_sys_call_table[96]: Symbol("__riscv_sys_set_tid_address" at 0xffffffff80023d00, type=FUNC, size=0x22)
[D] compat_sys_call_table[97]: Symbol("__riscv_sys_unshare" at 0xffffffff80025ea0, type=FUNC, size=0x18)
[D] compat_sys_call_table[98]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80013654, type=FUNC, size=0x14)
[D] compat_sys_call_table[99]: Symbol("__riscv_compat_sys_set_robust_list" at 0xffffffff800dcd64, type=FUNC, size=0x30)
[D] compat_sys_call_table[100]: Symbol("__riscv_compat_sys_get_robust_list" at 0xffffffff800dcd94, type=FUNC, size=0x1e2)
[D] compat_sys_call_table[101]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80013654, type=FUNC, size=0x14)
[D] compat_sys_call_table[102]: Symbol("__riscv_compat_sys_getitimer" at 0xffffffff800d1b98, type=FUNC, size=0xc4)
[D] compat_sys_call_table[103]: Symbol("__riscv_compat_sys_setitimer" at 0xffffffff800d1f04, type=FUNC, size=0x186)
[D] compat_sys_call_table[104]: Symbol("__riscv_compat_sys_kexec_load" at 0xffffffff800e62e0, type=FUNC, size=0x170)
[D] compat_sys_call_table[105]: Symbol("__riscv_sys_init_module" at 0xffffffff800bbc44, type=FUNC, size=0x1c)
[D] compat_sys_call_table[106]: Symbol("__riscv_sys_delete_module" at 0xffffffff800bc0dc, type=FUNC, size=0x1e0)
[D] compat_sys_call_table[107]: Symbol("__riscv_compat_sys_timer_create" at 0xffffffff800ce724, type=FUNC, size=0x94)
[D] compat_sys_call_table[108]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80013654, type=FUNC, size=0x14)
[D] compat_sys_call_table[109]: Symbol("__riscv_sys_timer_getoverrun" at 0xffffffff800ce8a0, type=FUNC, size=0x8e)
[D] compat_sys_call_table[110]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80013654, type=FUNC, size=0x14)
[D] compat_sys_call_table[111]: Symbol("__riscv_sys_timer_delete" at 0xffffffff800ceb50, type=FUNC, size=0x8c)
[D] compat_sys_call_table[112]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80013654, type=FUNC, size=0x14)
[D] compat_sys_call_table[113]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80013654, type=FUNC, size=0x14)
[D] compat_sys_call_table[114]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80013654, type=FUNC, size=0x14)
[D] compat_sys_call_table[115]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80013654, type=FUNC, size=0x14)
[D] compat_sys_call_table[116]: Symbol("__riscv_sys_syslog" at 0xffffffff80089320, type=FUNC, size=0x1e)
[D] compat_sys_call_table[117]: Symbol("__riscv_compat_sys_ptrace" at 0xffffffff800349c4, type=FUNC, size=0x120)
[D] compat_sys_call_table[118]: Symbol("__riscv_sys_sched_setparam" at 0xffffffff80077d68, type=FUNC, size=0x1c)
[D] compat_sys_call_table[119]: Symbol("__riscv_sys_sched_setscheduler" at 0xffffffff80077d40, type=FUNC, size=0x26)
[D] compat_sys_call_table[120]: Symbol("__riscv_sys_sched_getscheduler" at 0xffffffff8007818c, type=FUNC, size=0x4e)
[D] compat_sys_call_table[121]: Symbol("__riscv_sys_sched_getparam" at 0xffffffff800781dc, type=FUNC, size=0xa6)
[D] compat_sys_call_table[122]: Symbol("__riscv_compat_sys_sched_setaffinity" at 0xffffffff800e8300, type=FUNC, size=0x74)
[D] compat_sys_call_table[123]: Symbol("__riscv_compat_sys_sched_getaffinity" at 0xffffffff800e84e0, type=FUNC, size=0x9e)
[D] compat_sys_call_table[124]: Symbol("__riscv_sys_sched_yield" at 0xffffffff800788b4, type=FUNC, size=0x16)
[D] compat_sys_call_table[125]: Symbol("__riscv_sys_sched_get_priority_max" at 0xffffffff800788cc, type=FUNC, size=0x46)
[D] compat_sys_call_table[126]: Symbol("__riscv_sys_sched_get_priority_min" at 0xffffffff80078914, type=FUNC, size=0x44)
[D] compat_sys_call_table[127]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80013654, type=FUNC, size=0x14)
[D] compat_sys_call_table[128]: Symbol("__riscv_sys_restart_syscall" at 0xffffffff80037b14, type=FUNC, size=0x1a)
[D] compat_sys_call_table[129]: Symbol("__riscv_sys_kill" at 0xffffffff8003afc0, type=FUNC, size=0x1ba)
[D] compat_sys_call_table[130]: Symbol("__riscv_sys_tkill" at 0xffffffff8003b358, type=FUNC, size=0xa8)
[D] compat_sys_call_table[131]: Symbol("__riscv_sys_tgkill" at 0xffffffff8003b2a4, type=FUNC, size=0xb2)
[D] compat_sys_call_table[132]: Symbol("__riscv_compat_sys_sigaltstack" at 0xffffffff8003bc4c, type=FUNC, size=0x1a)
[D] compat_sys_call_table[133]: Symbol("__riscv_compat_sys_rt_sigsuspend" at 0xffffffff8003c390, type=FUNC, size=0x5e)
[D] compat_sys_call_table[134]: Symbol("__riscv_compat_sys_rt_sigaction" at 0xffffffff8003bea0, type=FUNC, size=0x3a6)
[D] compat_sys_call_table[135]: Symbol("__riscv_compat_sys_rt_sigprocmask" at 0xffffffff80037ff0, type=FUNC, size=0xd6)
[D] compat_sys_call_table[136]: Symbol("__riscv_compat_sys_rt_sigpending" at 0xffffffff80038134, type=FUNC, size=0x96)
[D] compat_sys_call_table[137]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80013654, type=FUNC, size=0x14)
[D] compat_sys_call_table[138]: Symbol("__riscv_compat_sys_rt_sigqueueinfo" at 0xffffffff8003b49c, type=FUNC, size=0x7c)
[D] compat_sys_call_table[139]: Symbol("__riscv_compat_sys_rt_sigreturn" at 0xffffffff8001d568, type=FUNC, size=0x170)
[D] compat_sys_call_table[140]: Symbol("__riscv_sys_setpriority" at 0xffffffff8003d98c, type=FUNC, size=0x23c)
[D] compat_sys_call_table[141]: Symbol("__riscv_sys_getpriority" at 0xffffffff8003dbc8, type=FUNC, size=0x1e2)
[D] compat_sys_call_table[142]: Symbol("__riscv_sys_reboot" at 0xffffffff80054634, type=FUNC, size=0x1e)
[D] compat_sys_call_table[143]: Symbol("__riscv_sys_setregid" at 0xffffffff8003dee8, type=FUNC, size=0x1a)
[D] compat_sys_call_table[144]: Symbol("__riscv_sys_setgid" at 0xffffffff8003dfdc, type=FUNC, size=0x18)
[D] compat_sys_call_table[145]: Symbol("__riscv_sys_setreuid" at 0xffffffff8003e1e0, type=FUNC, size=0x1a)
[D] compat_sys_call_table[146]: Symbol("__riscv_sys_setuid" at 0xffffffff8003e2e8, type=FUNC, size=0x18)
[D] compat_sys_call_table[147]: Symbol("__riscv_sys_setresuid" at 0xffffffff8003e654, type=FUNC, size=0x1c)
[D] compat_sys_call_table[148]: Symbol("__riscv_sys_getresuid" at 0xffffffff8003e670, type=FUNC, size=0x298)
[D] compat_sys_call_table[149]: Symbol("__riscv_sys_setresgid" at 0xffffffff8003ec24, type=FUNC, size=0x1c)
[D] compat_sys_call_table[150]: Symbol("__riscv_sys_getresgid" at 0xffffffff8003ec40, type=FUNC, size=0x27e)
[D] compat_sys_call_table[151]: Symbol("__riscv_sys_setfsuid" at 0xffffffff8003ef78, type=FUNC, size=0x18)
[D] compat_sys_call_table[152]: Symbol("__riscv_sys_setfsgid" at 0xffffffff8003f048, type=FUNC, size=0x18)
[D] compat_sys_call_table[153]: Symbol("__riscv_compat_sys_times" at 0xffffffff8003f1b4, type=FUNC, size=0x120)
[D] compat_sys_call_table[154]: Symbol("__riscv_sys_setpgid" at 0xffffffff8003f2d4, type=FUNC, size=0x17c)
[D] compat_sys_call_table[155]: Symbol("__riscv_sys_getpgid" at 0xffffffff8003f450, type=FUNC, size=0x50)
[D] compat_sys_call_table[156]: Symbol("__riscv_sys_getsid" at 0xffffffff8003f4a0, type=FUNC, size=0x4e)
[D] compat_sys_call_table[157]: Symbol("__riscv_sys_setsid" at 0xffffffff8003f5e8, type=FUNC, size=0x14)
[D] compat_sys_call_table[158]: Symbol("__riscv_sys_getgroups" at 0xffffffff80056328, type=FUNC, size=0x16c)
[D] compat_sys_call_table[159]: Symbol("__riscv_sys_setgroups" at 0xffffffff800564c8, type=FUNC, size=0x232)
[D] compat_sys_call_table[160]: Symbol("__riscv_sys_newuname" at 0xffffffff8003f5fc, type=FUNC, size=0x18)
[D] compat_sys_call_table[161]: Symbol("__riscv_sys_sethostname" at 0xffffffff8003f614, type=FUNC, size=0x102)
[D] compat_sys_call_table[162]: Symbol("__riscv_sys_setdomainname" at 0xffffffff8003f718, type=FUNC, size=0x102)
[D] compat_sys_call_table[163]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80013654, type=FUNC, size=0x14)
[D] compat_sys_call_table[164]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80013654, type=FUNC, size=0x14)
[D] compat_sys_call_table[165]: Symbol("__riscv_compat_sys_getrusage" at 0xffffffff80040054, type=FUNC, size=0x1a)
[D] compat_sys_call_table[166]: Symbol("__riscv_sys_umask" at 0xffffffff80040070, type=FUNC, size=0x24)
[D] compat_sys_call_table[167]: Symbol("__riscv_sys_prctl" at 0xffffffff800400f8, type=FUNC, size=0x85c)
[D] compat_sys_call_table[168]: Symbol("__riscv_sys_getcpu" at 0xffffffff80040954, type=FUNC, size=0x1ea)
[D] compat_sys_call_table[169]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80013654, type=FUNC, size=0x14)
[D] compat_sys_call_table[170]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80013654, type=FUNC, size=0x14)
[D] compat_sys_call_table[171]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80013654, type=FUNC, size=0x14)
[D] compat_sys_call_table[172]: Symbol("__riscv_sys_getpid" at 0xffffffff8003f060, type=FUNC, size=0x1a)
[D] compat_sys_call_table[173]: Symbol("__riscv_sys_getppid" at 0xffffffff8003f098, type=FUNC, size=0x1c)
[D] compat_sys_call_table[174]: Symbol("__riscv_sys_getuid" at 0xffffffff8003f0b4, type=FUNC, size=0x20)
[D] compat_sys_call_table[175]: Symbol("__riscv_sys_geteuid" at 0xffffffff8003f0d4, type=FUNC, size=0x20)
[D] compat_sys_call_table[176]: Symbol("__riscv_sys_getgid" at 0xffffffff8003f0f4, type=FUNC, size=0x20)
[D] compat_sys_call_table[177]: Symbol("__riscv_sys_getegid" at 0xffffffff8003f114, type=FUNC, size=0x20)
[D] compat_sys_call_table[178]: Symbol("__riscv_sys_gettid" at 0xffffffff8003f07c, type=FUNC, size=0x1a)
[D] compat_sys_call_table[179]: Symbol("__riscv_compat_sys_sysinfo" at 0xffffffff80040b58, type=FUNC, size=0x18)
[D] compat_sys_call_table[180]: Symbol("__riscv_compat_sys_mq_open" at 0xffffffff8045e704, type=FUNC, size=0xe4)
[D] compat_sys_call_table[181]: Symbol("__riscv_sys_mq_unlink" at 0xffffffff8045e3b8, type=FUNC, size=0x15c)
[D] compat_sys_call_table[182]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80013654, type=FUNC, size=0x14)
[D] compat_sys_call_table[183]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80013654, type=FUNC, size=0x14)
[D] compat_sys_call_table[184]: Symbol("__riscv_compat_sys_mq_notify" at 0xffffffff8045e7e8, type=FUNC, size=0x94)
[D] compat_sys_call_table[185]: Symbol("__riscv_compat_sys_mq_getsetattr" at 0xffffffff8045e87c, type=FUNC, size=0x1c)
[D] compat_sys_call_table[186]: Symbol("__riscv_sys_msgget" at 0xffffffff804544dc, type=FUNC, size=0x5e)
[D] compat_sys_call_table[187]: Symbol("__riscv_compat_sys_msgctl" at 0xffffffff80454558, type=FUNC, size=0x1c)
[D] compat_sys_call_table[188]: Symbol("__riscv_compat_sys_msgrcv" at 0xffffffff80454898, type=FUNC, size=0x2a)
[D] compat_sys_call_table[189]: Symbol("__riscv_compat_sys_msgsnd" at 0xffffffff80454814, type=FUNC, size=0x1e)
[D] compat_sys_call_table[190]: Symbol("__riscv_sys_semget" at 0xffffffff80457124, type=FUNC, size=0x76)
[D] compat_sys_call_table[191]: Symbol("__riscv_compat_sys_semctl" at 0xffffffff804572c0, type=FUNC, size=0x156)
[D] compat_sys_call_table[192]: Symbol("__riscv_sys_ni_syscall" at 0xffffffff80013654, type=FUNC, size=0x14)
[D] compat_sys_call_table[193]: Symbol("__riscv_sys_semop" at 0xffffffff80458950, type=FUNC, size=0x1e)
[D] compat_sys_call_table[194]: Symbol("__riscv_sys_shmget" at 0xffffffff8045ae2c, type=FUNC, size=0x62)
[D] compat_sys_call_table[195]: Symbol("__riscv_compat_sys_shmctl" at 0xffffffff8045aeac, type=FUNC, size=0x1c)
[D] compat_sys_call_table[196]: Symbol("__riscv_compat_sys_shmat" at 0xffffffff8045b46c, type=FUNC, size=0x4e)
[D] compat_sys_call_table[197]: Symbol("__riscv_sys_shmdt" at 0xffffffff8045b6c8, type=FUNC, size=0x18)
[D] compat_sys_call_table[198]: Symbol("__riscv_sys_socket" at 0xffffffff8080f1d8, type=FUNC, size=0x1c)
[D] compat_sys_call_table[199]: Symbol("__riscv_sys_socketpair" at 0xffffffff8080f528, type=FUNC, size=0x1e)
[D] compat_sys_call_table[200]: Symbol("__riscv_sys_bind" at 0xffffffff8080f67c, type=FUNC, size=0x1c)
[D] compat_sys_call_table[201]: Symbol("__riscv_sys_listen" at 0xffffffff8080f7c0, type=FUNC, size=0x1a)
[D] compat_sys_call_table[202]: Symbol("__riscv_sys_accept" at 0xffffffff8080fa2c, type=FUNC, size=0x1e)
[D] compat_sys_call_table[203]: Symbol("__riscv_sys_connect" at 0xffffffff8080fb6c, type=FUNC, size=0x1c)
[D] compat_sys_call_table[204]: Symbol("__riscv_sys_getsockname" at 0xffffffff8080fc78, type=FUNC, size=0x1c)
[D] compat_sys_call_table[205]: Symbol("__riscv_sys_getpeername" at 0xffffffff8080fd84, type=FUNC, size=0x1c)
[D] compat_sys_call_table[206]: Symbol("__riscv_sys_sendto" at 0xffffffff8080ff1c, type=FUNC, size=0x22)
[D] compat_sys_call_table[207]: Symbol("__riscv_compat_sys_recvfrom" at 0xffffffff8088b8fc, type=FUNC, size=0x2e)
[D] compat_sys_call_table[208]: Symbol("__riscv_sys_setsockopt" at 0xffffffff80810198, type=FUNC, size=0x20)
