[D] Systrack v0.8
[D] Command line: systrack -vvvv --format json --arch riscv --kdir /mnt/m2data/linux-worktrees/v6.6 --remap /mnt/m2data/linux /mnt/m2data/kernels/vmlinux-riscv-v6.6
[D] Running command: readelf -Ws /mnt/m2data/kernels/vmlinux-riscv-v6.6
[D] Running command: readelf -WS /mnt/m2data/kernels/vmlinux-riscv-v6.6
Detected kernel version: 6.6.0 (from vmlinux)
[D] Arch: ArchRiscV(name='riscv', bits32=True, abi='rv32', compat=False, ...)
[D] Syscall table: Symbol("sys_call_table" at 0xc10004d8, type=OBJECT, size=0x714)
[D] sys_call_table[44]: Symbol("__riscv_sys_fstatfs64" at 0xc0239256, type=FUNC, size=0x80)
[D] sys_call_table[45]: Symbol("__riscv_sys_truncate64" at 0xc01ffc7a, type=FUNC, size=0x1a)
[D] sys_call_table[46]: Symbol("__riscv_sys_ftruncate64" at 0xc01ffc94, type=FUNC, size=0x1c)
[D] sys_call_table[47]: Symbol("__riscv_sys_fallocate" at 0xc01ffd1a, type=FUNC, size=0x6a)
[D] sys_call_table[48]: Symbol("__riscv_sys_faccessat" at 0xc01ffd84, type=FUNC, size=0x1e)
[D] sys_call_table[49]: Symbol("__riscv_sys_chdir" at 0xc01ffde0, type=FUNC, size=0xb0)
[D] sys_call_table[50]: Symbol("__riscv_sys_fchdir" at 0xc01ffe90, type=FUNC, size=0x90)
[D] sys_call_table[51]: Symbol("__riscv_sys_chroot" at 0xc01fff20, type=FUNC, size=0xde)
[D] sys_call_table[52]: Symbol("__riscv_sys_fchmod" at 0xc020017a, type=FUNC, size=0x82)
[D] sys_call_table[53]: Symbol("__riscv_sys_fchmodat" at 0xc02002be, type=FUNC, size=0x9c)
[D] sys_call_table[54]: Symbol("__riscv_sys_fchownat" at 0xc020069a, type=FUNC, size=0x1e)
[D] sys_call_table[55]: Symbol("__riscv_sys_fchown" at 0xc02007d4, type=FUNC, size=0x1a)
[D] sys_call_table[56]: Symbol("__riscv_sys_openat" at 0xc0200d92, type=FUNC, size=0xb0)
[D] sys_call_table[57]: Symbol("__riscv_sys_close" at 0xc0200fa0, type=FUNC, size=0x60)
[D] sys_call_table[58]: Symbol("__riscv_sys_vhangup" at 0xc020101c, type=FUNC, size=0x2a)
[D] sys_call_table[59]: Symbol("__riscv_sys_pipe2" at 0xc020d0ba, type=FUNC, size=0x18)
[D] sys_call_table[60]: Symbol("__riscv_sys_quotactl" at 0xc0270c24, type=FUNC, size=0x368)
[D] sys_call_table[61]: Symbol("__riscv_sys_getdents64" at 0xc0216f2c, type=FUNC, size=0x120)
[D] sys_call_table[62]: Symbol("__riscv_sys_llseek" at 0xc02023fa, type=FUNC, size=0x102)
[D] sys_call_table[63]: Symbol("__riscv_sys_read" at 0xc0203246, type=FUNC, size=0x1a)
[D] sys_call_table[64]: Symbol("__riscv_sys_write" at 0xc0203338, type=FUNC, size=0x1a)
[D] sys_call_table[65]: Symbol("__riscv_sys_readv" at 0xc0203576, type=FUNC, size=0x1e)
[D] sys_call_table[66]: Symbol("__riscv_sys_writev" at 0xc0203594, type=FUNC, size=0x1e)
[D] sys_call_table[67]: Symbol("__riscv_sys_pread64" at 0xc02033ca, type=FUNC, size=0x9c)
[D] sys_call_table[68]: Symbol("__riscv_sys_pwrite64" at 0xc02034dc, type=FUNC, size=0x9a)
[D] sys_call_table[69]: Symbol("__riscv_sys_preadv" at 0xc02035b2, type=FUNC, size=0x104)
[D] sys_call_table[70]: Symbol("__riscv_sys_pwritev" at 0xc02037da, type=FUNC, size=0xa4)
[D] sys_call_table[71]: Symbol("__riscv_sys_sendfile64" at 0xc0203a3a, type=FUNC, size=0xe4)
[D] sys_call_table[72]: Symbol("__riscv_sys_ni_syscall" at 0xc00055ea, type=FUNC, size=0x10)
[D] sys_call_table[73]: Symbol("__riscv_sys_ni_syscall" at 0xc00055ea, type=FUNC, size=0x10)
[D] sys_call_table[74]: Symbol("__riscv_sys_signalfd4" at 0xc024e9fc, type=FUNC, size=0x74)
[D] sys_call_table[75]: Symbol("__riscv_sys_vmsplice" at 0xc0236b6c, type=FUNC, size=0x1e)
[D] sys_call_table[76]: Symbol("__riscv_sys_splice" at 0xc0236b8a, type=FUNC, size=0x1e2)
[D] sys_call_table[77]: Symbol("__riscv_sys_tee" at 0xc0237062, type=FUNC, size=0xa0)
[D] sys_call_table[78]: Symbol("__riscv_sys_readlinkat" at 0xc0208ca2, type=FUNC, size=0x1c)
[D] sys_call_table[79]: Symbol("__riscv_sys_ni_syscall" at 0xc00055ea, type=FUNC, size=0x10)
[D] sys_call_table[80]: Symbol("__riscv_sys_ni_syscall" at 0xc00055ea, type=FUNC, size=0x10)
[D] sys_call_table[81]: Symbol("__riscv_sys_sync" at 0xc023742e, type=FUNC, size=0x14)
[D] sys_call_table[82]: Symbol("__riscv_sys_fsync" at 0xc0237522, type=FUNC, size=0x18)
[D] sys_call_table[83]: Symbol("__riscv_sys_fdatasync" at 0xc023753a, type=FUNC, size=0x18)
[D] sys_call_table[84]: Symbol("__riscv_sys_sync_file_range" at 0xc02376b2, type=FUNC, size=0x68)
[D] sys_call_table[85]: Symbol("__riscv_sys_timerfd_create" at 0xc024f906, type=FUNC, size=0x1a0)
[D] sys_call_table[86]: Symbol("__riscv_sys_ni_syscall" at 0xc00055ea, type=FUNC, size=0x10)
[D] sys_call_table[87]: Symbol("__riscv_sys_ni_syscall" at 0xc00055ea, type=FUNC, size=0x10)
[D] sys_call_table[88]: Symbol("__riscv_sys_ni_syscall" at 0xc00055ea, type=FUNC, size=0x10)
[D] sys_call_table[89]: Symbol("__riscv_sys_acct" at 0xc00accc8, type=FUNC, size=0x274)
[D] sys_call_table[90]: Symbol("__riscv_sys_capget" at 0xc0019c48, type=FUNC, size=0x1a6)
[D] sys_call_table[91]: Symbol("__riscv_sys_capset" at 0xc0019dee, type=FUNC, size=0x190)
[D] sys_call_table[92]: Symbol("__riscv_sys_personality" at 0xc000ef46, type=FUNC, size=0x1e)
[D] sys_call_table[93]: Symbol("__riscv_sys_exit" at 0xc00149b6, type=FUNC, size=0x18)
[D] sys_call_table[94]: Symbol("__riscv_sys_exit_group" at 0xc0014a3e, type=FUNC, size=0x16)
[D] sys_call_table[95]: Symbol("__riscv_sys_waitid" at 0xc0014a74, type=FUNC, size=0x13a)
[D] sys_call_table[96]: Symbol("__riscv_sys_set_tid_address" at 0xc000cb0c, type=FUNC, size=0x22)
[D] sys_call_table[97]: Symbol("__riscv_sys_unshare" at 0xc000edbc, type=FUNC, size=0x16)
[D] sys_call_table[98]: Symbol("__riscv_sys_ni_syscall" at 0xc00055ea, type=FUNC, size=0x10)
[D] sys_call_table[99]: Symbol("__riscv_sys_set_robust_list" at 0xc00a6ee2, type=FUNC, size=0x26)
[D] sys_call_table[100]: Symbol("__riscv_sys_get_robust_list" at 0xc00a6f08, type=FUNC, size=0xd6)
[D] sys_call_table[101]: Symbol("__riscv_sys_ni_syscall" at 0xc00055ea, type=FUNC, size=0x10)
[D] sys_call_table[102]: Symbol("__riscv_sys_getitimer" at 0xc00a130a, type=FUNC, size=0x16e)
[D] sys_call_table[103]: Symbol("__riscv_sys_setitimer" at 0xc00a155a, type=FUNC, size=0x18a)
[D] sys_call_table[104]: Symbol("__riscv_sys_kexec_load" at 0xc00aee8c, type=FUNC, size=0x274)
[D] sys_call_table[105]: Symbol("__riscv_sys_init_module" at 0xc0089b14, type=FUNC, size=0x148)
[D] sys_call_table[106]: Symbol("__riscv_sys_delete_module" at 0xc0089fb2, type=FUNC, size=0x20a)
[D] sys_call_table[107]: Symbol("__riscv_sys_timer_create" at 0xc009db9c, type=FUNC, size=0x8c)
[D] sys_call_table[108]: Symbol("__riscv_sys_ni_syscall" at 0xc00055ea, type=FUNC, size=0x10)
[D] sys_call_table[109]: Symbol("__riscv_sys_timer_getoverrun" at 0xc009dd14, type=FUNC, size=0x74)
[D] sys_call_table[110]: Symbol("__riscv_sys_ni_syscall" at 0xc00055ea, type=FUNC, size=0x10)
[D] sys_call_table[111]: Symbol("__riscv_sys_timer_delete" at 0xc009df34, type=FUNC, size=0xc4)
[D] sys_call_table[112]: Symbol("__riscv_sys_ni_syscall" at 0xc00055ea, type=FUNC, size=0x10)
[D] sys_call_table[113]: Symbol("__riscv_sys_ni_syscall" at 0xc00055ea, type=FUNC, size=0x10)
[D] sys_call_table[114]: Symbol("__riscv_sys_ni_syscall" at 0xc00055ea, type=FUNC, size=0x10)
[D] sys_call_table[115]: Symbol("__riscv_sys_ni_syscall" at 0xc00055ea, type=FUNC, size=0x10)
[D] sys_call_table[116]: Symbol("__riscv_sys_syslog" at 0xc00692a0, type=FUNC, size=0x1c)
[D] sys_call_table[117]: Symbol("__riscv_sys_ptrace" at 0xc001a97e, type=FUNC, size=0x416)
[D] sys_call_table[118]: Symbol("__riscv_sys_sched_setparam" at 0xc003f06e, type=FUNC, size=0x1c)
[D] sys_call_table[119]: Symbol("__riscv_sys_sched_setscheduler" at 0xc003f048, type=FUNC, size=0x26)
[D] sys_call_table[120]: Symbol("__riscv_sys_sched_getscheduler" at 0xc003f34c, type=FUNC, size=0x62)
[D] sys_call_table[121]: Symbol("__riscv_sys_sched_getparam" at 0xc003f3ae, type=FUNC, size=0xba)
[D] sys_call_table[122]: Symbol("__riscv_sys_sched_setaffinity" at 0xc0041362, type=FUNC, size=0x70)
[D] sys_call_table[123]: Symbol("__riscv_sys_sched_getaffinity" at 0xc003f6f6, type=FUNC, size=0x94)
[D] sys_call_table[124]: Symbol("__riscv_sys_sched_yield" at 0xc003f78a, type=FUNC, size=0x16)
[D] sys_call_table[125]: Symbol("__riscv_sys_sched_get_priority_max" at 0xc003f7f6, type=FUNC, size=0x40)
[D] sys_call_table[126]: Symbol("__riscv_sys_sched_get_priority_min" at 0xc003f836, type=FUNC, size=0x38)
[D] sys_call_table[127]: Symbol("__riscv_sys_ni_syscall" at 0xc00055ea, type=FUNC, size=0x10)
[D] sys_call_table[128]: Symbol("__riscv_sys_restart_syscall" at 0xc001df6a, type=FUNC, size=0x1a)
[D] sys_call_table[129]: Symbol("__riscv_sys_kill" at 0xc00204d4, type=FUNC, size=0x176)
[D] sys_call_table[130]: Symbol("__riscv_sys_tkill" at 0xc002080e, type=FUNC, size=0x22)
[D] sys_call_table[131]: Symbol("__riscv_sys_tgkill" at 0xc00207e6, type=FUNC, size=0x28)
[D] sys_call_table[132]: Symbol("__riscv_sys_sigaltstack" at 0xc0020bf6, type=FUNC, size=0xb8)
[D] sys_call_table[133]: Symbol("__riscv_sys_rt_sigsuspend" at 0xc0020e7e, type=FUNC, size=0xd0)
[D] sys_call_table[134]: Symbol("__riscv_sys_rt_sigaction" at 0xc0020d60, type=FUNC, size=0xb6)
[D] sys_call_table[135]: Symbol("__riscv_sys_rt_sigprocmask" at 0xc001e146, type=FUNC, size=0xae)
[D] sys_call_table[136]: Symbol("__riscv_sys_rt_sigpending" at 0xc001e1f4, type=FUNC, size=0xb8)
[D] sys_call_table[137]: Symbol("__riscv_sys_ni_syscall" at 0xc00055ea, type=FUNC, size=0x10)
[D] sys_call_table[138]: Symbol("__riscv_sys_rt_sigqueueinfo" at 0xc0020830, type=FUNC, size=0xd8)
[D] sys_call_table[139]: Symbol("__riscv_sys_rt_sigreturn" at 0xc0004928, type=FUNC, size=0x30c)
[D] sys_call_table[140]: Symbol("__riscv_sys_setpriority" at 0xc0021c28, type=FUNC, size=0x216)
[D] sys_call_table[141]: Symbol("__riscv_sys_getpriority" at 0xc0021e3e, type=FUNC, size=0x1ec)
[D] sys_call_table[142]: Symbol("__riscv_sys_reboot" at 0xc003406e, type=FUNC, size=0x1c)
[D] sys_call_table[143]: Symbol("__riscv_sys_setregid" at 0xc0022152, type=FUNC, size=0x18)
[D] sys_call_table[144]: Symbol("__riscv_sys_setgid" at 0xc0022234, type=FUNC, size=0x16)
[D] sys_call_table[145]: Symbol("__riscv_sys_setreuid" at 0xc002241e, type=FUNC, size=0x18)
[D] sys_call_table[146]: Symbol("__riscv_sys_setuid" at 0xc0022502, type=FUNC, size=0x16)
[D] sys_call_table[147]: Symbol("__riscv_sys_setresuid" at 0xc00227f4, type=FUNC, size=0x1a)
[D] sys_call_table[148]: Symbol("__riscv_sys_getresuid" at 0xc002280e, type=FUNC, size=0xf2)
[D] sys_call_table[149]: Symbol("__riscv_sys_setresgid" at 0xc0022baa, type=FUNC, size=0x1a)
[D] sys_call_table[150]: Symbol("__riscv_sys_getresgid" at 0xc0022bc4, type=FUNC, size=0xf2)
[D] sys_call_table[151]: Symbol("__riscv_sys_setfsuid" at 0xc0022d4a, type=FUNC, size=0x16)
[D] sys_call_table[152]: Symbol("__riscv_sys_setfsgid" at 0xc0022df4, type=FUNC, size=0x16)
[D] sys_call_table[153]: Symbol("__riscv_sys_times" at 0xc0022ede, type=FUNC, size=0xee)
[D] sys_call_table[154]: Symbol("__riscv_sys_setpgid" at 0xc0022fcc, type=FUNC, size=0x130)
[D] sys_call_table[155]: Symbol("__riscv_sys_getpgid" at 0xc00230fc, type=FUNC, size=0x6e)
[D] sys_call_table[156]: Symbol("__riscv_sys_getsid" at 0xc002316a, type=FUNC, size=0x6e)
[D] sys_call_table[157]: Symbol("__riscv_sys_setsid" at 0xc0023286, type=FUNC, size=0x12)
[D] sys_call_table[158]: Symbol("__riscv_sys_getgroups" at 0xc0035a3a, type=FUNC, size=0xb8)
[D] sys_call_table[159]: Symbol("__riscv_sys_setgroups" at 0xc0035b26, type=FUNC, size=0x132)
[D] sys_call_table[160]: Symbol("__riscv_sys_newuname" at 0xc0023298, type=FUNC, size=0x18)
[D] sys_call_table[161]: Symbol("__riscv_sys_sethostname" at 0xc00232b0, type=FUNC, size=0xec)
[D] sys_call_table[162]: Symbol("__riscv_sys_setdomainname" at 0xc002339c, type=FUNC, size=0xec)
[D] sys_call_table[163]: Symbol("__riscv_sys_ni_syscall" at 0xc00055ea, type=FUNC, size=0x10)
[D] sys_call_table[164]: Symbol("__riscv_sys_ni_syscall" at 0xc00055ea, type=FUNC, size=0x10)
[D] sys_call_table[165]: Symbol("__riscv_sys_getrusage" at 0xc0023b40, type=FUNC, size=0x86)
[D] sys_call_table[166]: Symbol("__riscv_sys_umask" at 0xc0023bc6, type=FUNC, size=0x1e)
[D] sys_call_table[167]: Symbol("__riscv_sys_prctl" at 0xc0023c00, type=FUNC, size=0x556)
[D] sys_call_table[168]: Symbol("__riscv_sys_getcpu" at 0xc0024156, type=FUNC, size=0xda)
[D] sys_call_table[169]: Symbol("__riscv_sys_ni_syscall" at 0xc00055ea, type=FUNC, size=0x10)
[D] sys_call_table[170]: Symbol("__riscv_sys_ni_syscall" at 0xc00055ea, type=FUNC, size=0x10)
[D] sys_call_table[171]: Symbol("__riscv_sys_ni_syscall" at 0xc00055ea, type=FUNC, size=0x10)
[D] sys_call_table[172]: Symbol("__riscv_sys_getpid" at 0xc0022e0a, type=FUNC, size=0x1a)
[D] sys_call_table[173]: Symbol("__riscv_sys_getppid" at 0xc0022e3e, type=FUNC, size=0x30)
[D] sys_call_table[174]: Symbol("__riscv_sys_getuid" at 0xc0022e6e, type=FUNC, size=0x1c)
[D] sys_call_table[175]: Symbol("__riscv_sys_geteuid" at 0xc0022e8a, type=FUNC, size=0x1c)
[D] sys_call_table[176]: Symbol("__riscv_sys_getgid" at 0xc0022ea6, type=FUNC, size=0x1c)
[D] sys_call_table[177]: Symbol("__riscv_sys_getegid" at 0xc0022ec2, type=FUNC, size=0x1c)
[D] sys_call_table[178]: Symbol("__riscv_sys_gettid" at 0xc0022e24, type=FUNC, size=0x1a)
[D] sys_call_table[179]: Symbol("__riscv_sys_sysinfo" at 0xc0024230, type=FUNC, size=0x144)
[D] sys_call_table[180]: Symbol("__riscv_sys_mq_open" at 0xc03a9914, type=FUNC, size=0x2b4)
[D] sys_call_table[181]: Symbol("__riscv_sys_mq_unlink" at 0xc03a9bc8, type=FUNC, size=0x124)
[D] sys_call_table[182]: Symbol("__riscv_sys_ni_syscall" at 0xc00055ea, type=FUNC, size=0x10)
[D] sys_call_table[183]: Symbol("__riscv_sys_ni_syscall" at 0xc00055ea, type=FUNC, size=0x10)
[D] sys_call_table[184]: Symbol("__riscv_sys_mq_notify" at 0xc03a9e34, type=FUNC, size=0x390)
[D] sys_call_table[185]: Symbol("__riscv_sys_mq_getsetattr" at 0xc03aa1c4, type=FUNC, size=0x276)
[D] sys_call_table[186]: Symbol("__riscv_sys_msgget" at 0xc03a223e, type=FUNC, size=0x66)
[D] sys_call_table[187]: Symbol("__riscv_sys_msgctl" at 0xc03a22a4, type=FUNC, size=0x1c)
[D] sys_call_table[188]: Symbol("__riscv_sys_msgrcv" at 0xc03a277e, type=FUNC, size=0x20)
[D] sys_call_table[189]: Symbol("__riscv_sys_msgsnd" at 0xc03a274e, type=FUNC, size=0x1c)
[D] sys_call_table[190]: Symbol("__riscv_sys_semget" at 0xc03a426a, type=FUNC, size=0x7a)
[D] sys_call_table[191]: Symbol("__riscv_sys_semctl" at 0xc03a42e4, type=FUNC, size=0x77a)
[D] sys_call_table[192]: Symbol("__riscv_sys_ni_syscall" at 0xc00055ea, type=FUNC, size=0x10)
[D] sys_call_table[193]: Symbol("__riscv_sys_semop" at 0xc03a5bcc, type=FUNC, size=0x1c)
[D] sys_call_table[194]: Symbol("__riscv_sys_shmget" at 0xc03a76aa, type=FUNC, size=0x6c)
[D] sys_call_table[195]: Symbol("__riscv_sys_shmctl" at 0xc03a7716, type=FUNC, size=0x1c)
[D] sys_call_table[196]: Symbol("__riscv_sys_shmat" at 0xc03a7b5e, type=FUNC, size=0x4a)
[D] sys_call_table[197]: Symbol("__riscv_sys_shmdt" at 0xc03a7dd2, type=FUNC, size=0x16)
[D] sys_call_table[198]: Symbol("__riscv_sys_socket" at 0xc061c1f6, type=FUNC, size=0x1a)
[D] sys_call_table[199]: Symbol("__riscv_sys_socketpair" at 0xc061c432, type=FUNC, size=0x1c)
[D] sys_call_table[200]: Symbol("__riscv_sys_bind" at 0xc061c514, type=FUNC, size=0x1a)
[D] sys_call_table[201]: Symbol("__riscv_sys_listen" at 0xc061c5d6, type=FUNC, size=0x18)
[D] sys_call_table[202]: Symbol("__riscv_sys_accept" at 0xc061c7f2, type=FUNC, size=0x1c)
[D] sys_call_table[203]: Symbol("__riscv_sys_connect" at 0xc061c91c, type=FUNC, size=0x1a)
[D] sys_call_table[204]: Symbol("__riscv_sys_getsockname" at 0xc061c9f6, type=FUNC, size=0x1a)
[D] sys_call_table[205]: Symbol("__riscv_sys_getpeername" at 0xc061cae2, type=FUNC, size=0x1a)
[D] sys_call_table[206]: Symbol("__riscv_sys_sendto" at 0xc061cc3e, type=FUNC, size=0x20)
[D] sys_call_table[207]: Symbol("__riscv_sys_recvfrom" at 0xc061cdbe, type=FUNC, size=0x20)
[D] sys_call_table[208]: Symbol("__riscv_sys_setsockopt" at 0xc061cf76, type=FUNC, size=0x1e)
[D] sys_call_table[209]: Symbol("__riscv_sys_getsockopt" at 0xc061d0e8, type=FUNC, size=0x1e)
[D] sys_call_table[210]: Symbol("__riscv_sys_shutdown" at 0xc061d1bc, type=FUNC, size=0x18)
[D] sys_call_table[211]: Symbol("__riscv_sys_sendmsg" at 0xc061d7dc, type=FUNC, size=0x1c)
[D] sys_call_table[212]: Symbol("__riscv_sys_recvmsg" at 0xc061dace, type=FUNC, size=0x1c)
[D] sys_call_table[213]: Symbol("__riscv_sys_readahead" at 0xc017f206, type=FUNC, size=0x1c)
[D] sys_call_table[214]: Symbol("__riscv_sys_brk" at 0xc01b72e2, type=FUNC, size=0x2c6)
[D] sys_call_table[215]: Symbol("__riscv_sys_munmap" at 0xc01b6640, type=FUNC, size=0x1a)
[D] sys_call_table[216]: Symbol("__riscv_sys_mremap" at 0xc01ba7d8, type=FUNC, size=0x538)
[D] sys_call_table[217]: Symbol("__riscv_sys_add_key" at 0xc03ae4da, type=FUNC, size=0x19e)
[D] sys_call_table[218]: Symbol("__riscv_sys_request_key" at 0xc03ae678, type=FUNC, size=0x178)
[D] sys_call_table[219]: Symbol("__riscv_sys_keyctl" at 0xc03afba0, type=FUNC, size=0x156)
[D] sys_call_table[220]: Symbol("__riscv_sys_clone" at 0xc000e956, type=FUNC, size=0x9a)
[D] sys_call_table[221]: Symbol("__riscv_sys_execve" at 0xc020b640, type=FUNC, size=0x38)
[D] sys_call_table[222]: Symbol("__riscv_sys_mmap2" at 0xc00053cc, type=FUNC, size=0x26)
[D] sys_call_table[223]: Symbol("__riscv_sys_fadvise64_64" at 0xc017aa9e, type=FUNC, size=0x7a)
[D] sys_call_table[224]: Symbol("__riscv_sys_swapon" at 0xc01d4246, type=FUNC, size=0x10d8)
[D] sys_call_table[225]: Symbol("__riscv_sys_swapoff" at 0xc01d30b2, type=FUNC, size=0x1174)
[D] sys_call_table[226]: Symbol("__riscv_sys_mprotect" at 0xc01b9bf4, type=FUNC, size=0x1a)
[D] sys_call_table[227]: Symbol("__riscv_sys_msync" at 0xc01bad14, type=FUNC, size=0x232)
[D] sys_call_table[228]: Symbol("__riscv_sys_mlock" at 0xc01b2f86, type=FUNC, size=0x1c)
[D] sys_call_table[229]: Symbol("__riscv_sys_munlock" at 0xc01b2fd2, type=FUNC, size=0xbe)
[D] sys_call_table[230]: Symbol("__riscv_sys_mlockall" at 0xc01b3090, type=FUNC, size=0x12e)
[D] sys_call_table[231]: Symbol("__riscv_sys_munlockall" at 0xc01b31be, type=FUNC, size=0x9a)
[D] sys_call_table[232]: Symbol("__riscv_sys_mincore" at 0xc01b1580, type=FUNC, size=0x1e0)
[D] sys_call_table[233]: Symbol("__riscv_sys_madvise" at 0xc01cdf8e, type=FUNC, size=0x20)
[D] sys_call_table[234]: Symbol("__riscv_sys_remap_file_pages" at 0xc01b850e, type=FUNC, size=0x244)
[D] sys_call_table[235]: Symbol("__riscv_sys_mbind" at 0xc01e1428, type=FUNC, size=0x376)
