[D] Systrack v0.8
[D] Command line: systrack -vvvv --format json --arch arm64 --kdir /mnt/m2data/linux-worktrees/v6.9 --remap /mnt/m2data/linux /mnt/m2data/kernels/vmlinux-arm64-v6.9
[D] Running command: readelf -Ws /mnt/m2data/kernels/vmlinux-arm64-v6.9
[D] Running command: readelf -WS /mnt/m2data/kernels/vmlinux-arm64-v6.9
Detected kernel version: 6.9.0 (from vmlinux)
[D] Arch: ArchArm64(name='arm64', bits32=False, abi='aarch64', compat=False, ...)
[D] Syscall table: Symbol("sys_call_table" at 0xffff800080fc09e8, type=OBJECT, size=0xe70)
[D] sys_call_table[49]: Symbol("__arm64_sys_chdir" at 0xffff80008036f764, type=FUNC, size=0xf8)
[D] sys_call_table[50]: Symbol("__arm64_sys_fchdir" at 0xffff80008036f85c, type=FUNC, size=0xd0)
[D] sys_call_table[51]: Symbol("__arm64_sys_chroot" at 0xffff80008036f92c, type=FUNC, size=0x12c)
[D] sys_call_table[52]: Symbol("__arm64_sys_fchmod" at 0xffff80008036fc30, type=FUNC, size=0xb0)
[D] sys_call_table[53]: Symbol("__arm64_sys_fchmodat" at 0xffff80008036fde0, type=FUNC, size=0xd4)
[D] sys_call_table[54]: Symbol("__arm64_sys_fchownat" at 0xffff8000803702c0, type=FUNC, size=0x38)
[D] sys_call_table[55]: Symbol("__arm64_sys_fchown" at 0xffff800080370508, type=FUNC, size=0x30)
[D] sys_call_table[56]: Symbol("__arm64_sys_openat" at 0xffff800080370aec, type=FUNC, size=0xa4)
[D] sys_call_table[57]: Symbol("__arm64_sys_close" at 0xffff800080370e88, type=FUNC, size=0x7c)
[D] sys_call_table[58]: Symbol("__arm64_sys_vhangup" at 0xffff800080370f34, type=FUNC, size=0x38)
[D] sys_call_table[59]: Symbol("__arm64_sys_pipe2" at 0xffff800080380f2c, type=FUNC, size=0x2c)
[D] sys_call_table[60]: Symbol("__arm64_sys_quotactl" at 0xffff800080405588, type=FUNC, size=0x4ec)
[D] sys_call_table[61]: Symbol("__arm64_sys_getdents64" at 0xffff80008038ebfc, type=FUNC, size=0x14c)
[D] sys_call_table[62]: Symbol("__arm64_sys_lseek" at 0xffff8000803729e4, type=FUNC, size=0xd8)
[D] sys_call_table[63]: Symbol("__arm64_sys_read" at 0xffff800080373b80, type=FUNC, size=0x28)
[D] sys_call_table[64]: Symbol("__arm64_sys_write" at 0xffff800080373cac, type=FUNC, size=0x28)
[D] sys_call_table[65]: Symbol("__arm64_sys_readv" at 0xffff800080373eac, type=FUNC, size=0x2c)
[D] sys_call_table[66]: Symbol("__arm64_sys_writev" at 0xffff800080373ed8, type=FUNC, size=0x2c)
[D] sys_call_table[67]: Symbol("__arm64_sys_pread64" at 0xffff800080373d94, type=FUNC, size=0x2c)
[D] sys_call_table[68]: Symbol("__arm64_sys_pwrite64" at 0xffff800080373e80, type=FUNC, size=0x2c)
[D] sys_call_table[69]: Symbol("__arm64_sys_preadv" at 0xffff800080373f04, type=FUNC, size=0x2c)
[D] sys_call_table[70]: Symbol("__arm64_sys_pwritev" at 0xffff800080373f7c, type=FUNC, size=0x2c)
[D] sys_call_table[71]: Symbol("__arm64_sys_sendfile64" at 0xffff80008037422c, type=FUNC, size=0x140)
[D] sys_call_table[72]: Symbol("__arm64_sys_pselect6" at 0xffff800080390c50, type=FUNC, size=0x224)
[D] sys_call_table[73]: Symbol("__arm64_sys_ppoll" at 0xffff800080390fb0, type=FUNC, size=0x130)
[D] sys_call_table[74]: Symbol("__arm64_sys_signalfd4" at 0xffff8000803da504, type=FUNC, size=0xcc)
[D] sys_call_table[75]: Symbol("__arm64_sys_vmsplice" at 0xffff8000803bbf30, type=FUNC, size=0x2c)
[D] sys_call_table[76]: Symbol("__arm64_sys_splice" at 0xffff8000803bbf5c, type=FUNC, size=0x330)
[D] sys_call_table[77]: Symbol("__arm64_sys_tee" at 0xffff8000803bc634, type=FUNC, size=0x10c)
[D] sys_call_table[78]: Symbol("__arm64_sys_readlinkat" at 0xffff80008037b940, type=FUNC, size=0x30)
[D] sys_call_table[79]: Symbol("__arm64_sys_newfstatat" at 0xffff80008037b8ec, type=FUNC, size=0x2c)
[D] sys_call_table[80]: Symbol("__arm64_sys_newfstat" at 0xffff80008037b918, type=FUNC, size=0x28)
[D] sys_call_table[81]: Symbol("__arm64_sys_sync" at 0xffff8000803bcbc8, type=FUNC, size=0x20)
[D] sys_call_table[82]: Symbol("__arm64_sys_fsync" at 0xffff8000803bccec, type=FUNC, size=0x28)
[D] sys_call_table[83]: Symbol("__arm64_sys_fdatasync" at 0xffff8000803bcd14, type=FUNC, size=0x28)
[D] sys_call_table[84]: Symbol("__arm64_sys_sync_file_range" at 0xffff8000803bcef8, type=FUNC, size=0x30)
[D] sys_call_table[85]: Symbol("__arm64_sys_timerfd_create" at 0xffff8000803db5f4, type=FUNC, size=0x184)
[D] sys_call_table[86]: Symbol("__arm64_sys_timerfd_settime" at 0xffff8000803db778, type=FUNC, size=0xbc)
[D] sys_call_table[87]: Symbol("__arm64_sys_timerfd_gettime" at 0xffff8000803db834, type=FUNC, size=0x8c)
[D] sys_call_table[88]: Symbol("__arm64_sys_utimensat" at 0xffff8000803bd4dc, type=FUNC, size=0xd0)
[D] sys_call_table[89]: Symbol("__arm64_sys_acct" at 0xffff80008017e3a4, type=FUNC, size=0x2d4)
[D] sys_call_table[90]: Symbol("__arm64_sys_capget" at 0xffff8000800ae014, type=FUNC, size=0x200)
[D] sys_call_table[91]: Symbol("__arm64_sys_capset" at 0xffff8000800ae214, type=FUNC, size=0x21c)
[D] sys_call_table[92]: Symbol("__arm64_sys_arm64_personality" at 0xffff800080020330, type=FUNC, size=0x80)
[D] sys_call_table[93]: Symbol("__arm64_sys_exit" at 0xffff8000800a5ebc, type=FUNC, size=0x18)
[D] sys_call_table[94]: Symbol("__arm64_sys_exit_group" at 0xffff8000800a5f64, type=FUNC, size=0x18)
[D] sys_call_table[95]: Symbol("__arm64_sys_waitid" at 0xffff8000800a6bb8, type=FUNC, size=0x34)
[D] sys_call_table[96]: Symbol("__arm64_sys_set_tid_address" at 0xffff80008009c898, type=FUNC, size=0x38)
[D] sys_call_table[97]: Symbol("__arm64_sys_unshare" at 0xffff80008009ec7c, type=FUNC, size=0x24)
[D] sys_call_table[98]: Symbol("__arm64_sys_futex" at 0xffff800080175ed4, type=FUNC, size=0x190)
[D] sys_call_table[99]: Symbol("__arm64_sys_set_robust_list" at 0xffff800080175be8, type=FUNC, size=0x24)
[D] sys_call_table[100]: Symbol("__arm64_sys_get_robust_list" at 0xffff800080175c0c, type=FUNC, size=0x128)
[D] sys_call_table[101]: Symbol("__arm64_sys_nanosleep" at 0xffff80008015db30, type=FUNC, size=0xe0)
[D] sys_call_table[102]: Symbol("__arm64_sys_getitimer" at 0xffff80008016a7a0, type=FUNC, size=0x8c)
[D] sys_call_table[103]: Symbol("__arm64_sys_setitimer" at 0xffff80008016a968, type=FUNC, size=0x18c)
[D] sys_call_table[104]: Symbol("__arm64_sys_kexec_load" at 0xffff800080180e8c, type=FUNC, size=0xe8)
[D] sys_call_table[105]: Symbol("__arm64_sys_init_module" at 0xffff800080151690, type=FUNC, size=0x28)
[D] sys_call_table[106]: Symbol("__arm64_sys_delete_module" at 0xffff800080151a84, type=FUNC, size=0x280)
[D] sys_call_table[107]: Symbol("__arm64_sys_timer_create" at 0xffff800080166a10, type=FUNC, size=0xec)
[D] sys_call_table[108]: Symbol("__arm64_sys_timer_gettime" at 0xffff800080166bb4, type=FUNC, size=0x8c)
[D] sys_call_table[109]: Symbol("__arm64_sys_timer_getoverrun" at 0xffff800080166ccc, type=FUNC, size=0x8c)
[D] sys_call_table[110]: Symbol("__arm64_sys_timer_settime" at 0xffff800080166d58, type=FUNC, size=0xd4)
[D] sys_call_table[111]: Symbol("__arm64_sys_timer_delete" at 0xffff800080166f0c, type=FUNC, size=0x104)
[D] sys_call_table[112]: Symbol("__arm64_sys_clock_settime" at 0xffff800080167180, type=FUNC, size=0xe0)
[D] sys_call_table[113]: Symbol("__arm64_sys_clock_gettime" at 0xffff800080167260, type=FUNC, size=0xe4)
[D] sys_call_table[114]: Symbol("__arm64_sys_clock_getres" at 0xffff8000801673f4, type=FUNC, size=0xec)
[D] sys_call_table[115]: Symbol("__arm64_sys_clock_nanosleep" at 0xffff8000801677b8, type=FUNC, size=0x144)
[D] sys_call_table[116]: Symbol("__arm64_sys_syslog" at 0xffff80008011a1f0, type=FUNC, size=0x34)
[D] sys_call_table[117]: Symbol("__arm64_sys_ptrace" at 0xffff8000800afadc, type=FUNC, size=0x16c)
[D] sys_call_table[118]: Symbol("__arm64_sys_sched_setparam" at 0xffff8000800e10a8, type=FUNC, size=0x30)
[D] sys_call_table[119]: Symbol("__arm64_sys_sched_setscheduler" at 0xffff8000800e1070, type=FUNC, size=0x38)
[D] sys_call_table[120]: Symbol("__arm64_sys_sched_getscheduler" at 0xffff8000800e14b0, type=FUNC, size=0x80)
[D] sys_call_table[121]: Symbol("__arm64_sys_sched_getparam" at 0xffff8000800e1530, type=FUNC, size=0x120)
[D] sys_call_table[122]: Symbol("__arm64_sys_sched_setaffinity" at 0xffff8000800e4970, type=FUNC, size=0x160)
[D] sys_call_table[123]: Symbol("__arm64_sys_sched_getaffinity" at 0xffff8000800e19d0, type=FUNC, size=0x148)
[D] sys_call_table[124]: Symbol("__arm64_sys_sched_yield" at 0xffff8000800e1b18, type=FUNC, size=0x20)
[D] sys_call_table[125]: Symbol("__arm64_sys_sched_get_priority_max" at 0xffff8000800e1b98, type=FUNC, size=0x44)
[D] sys_call_table[126]: Symbol("__arm64_sys_sched_get_priority_min" at 0xffff8000800e1bdc, type=FUNC, size=0x40)
[D] sys_call_table[127]: Symbol("__arm64_sys_sched_rr_get_interval" at 0xffff8000800e1c1c, type=FUNC, size=0x8c)
[D] sys_call_table[128]: Symbol("__arm64_sys_restart_syscall" at 0xffff8000800b4188, type=FUNC, size=0x28)
[D] sys_call_table[129]: Symbol("__arm64_sys_kill" at 0xffff8000800b7bd0, type=FUNC, size=0x1f8)
[D] sys_call_table[130]: Symbol("__arm64_sys_tkill" at 0xffff8000800b813c, type=FUNC, size=0x90)
[D] sys_call_table[131]: Symbol("__arm64_sys_tgkill" at 0xffff8000800b809c, type=FUNC, size=0xa0)
[D] sys_call_table[132]: Symbol("__arm64_sys_sigaltstack" at 0xffff8000800b8794, type=FUNC, size=0x168)
[D] sys_call_table[133]: Symbol("__arm64_sys_rt_sigsuspend" at 0xffff8000800b9804, type=FUNC, size=0xb8)
[D] sys_call_table[134]: Symbol("__arm64_sys_rt_sigaction" at 0xffff8000800b8ee0, type=FUNC, size=0x14c)
[D] sys_call_table[135]: Symbol("__arm64_sys_rt_sigprocmask" at 0xffff8000800b44a0, type=FUNC, size=0x144)
[D] sys_call_table[136]: Symbol("__arm64_sys_rt_sigpending" at 0xffff8000800b4708, type=FUNC, size=0xc8)
[D] sys_call_table[137]: Symbol("__arm64_sys_rt_sigtimedwait" at 0xffff8000800b77d0, type=FUNC, size=0x124)
[D] sys_call_table[138]: Symbol("__arm64_sys_rt_sigqueueinfo" at 0xffff8000800b81cc, type=FUNC, size=0xe8)
[D] sys_call_table[139]: Symbol("__arm64_sys_rt_sigreturn" at 0xffff80008001eebc, type=FUNC, size=0xb8)
[D] sys_call_table[140]: Symbol("__arm64_sys_setpriority" at 0xffff8000800badd0, type=FUNC, size=0x2ac)
[D] sys_call_table[141]: Symbol("__arm64_sys_getpriority" at 0xffff8000800bb07c, type=FUNC, size=0x290)
[D] sys_call_table[142]: Symbol("__arm64_sys_reboot" at 0xffff8000800d4208, type=FUNC, size=0x30)
[D] sys_call_table[143]: Symbol("__arm64_sys_setregid" at 0xffff8000800bb4e0, type=FUNC, size=0x28)
[D] sys_call_table[144]: Symbol("__arm64_sys_setgid" at 0xffff8000800bb624, type=FUNC, size=0x20)
[D] sys_call_table[145]: Symbol("__arm64_sys_setreuid" at 0xffff8000800bb92c, type=FUNC, size=0x28)
[D] sys_call_table[146]: Symbol("__arm64_sys_setuid" at 0xffff8000800bba8c, type=FUNC, size=0x20)
[D] sys_call_table[147]: Symbol("__arm64_sys_setresuid" at 0xffff8000800bbf3c, type=FUNC, size=0x2c)
[D] sys_call_table[148]: Symbol("__arm64_sys_getresuid" at 0xffff8000800bbf68, type=FUNC, size=0x154)
[D] sys_call_table[149]: Symbol("__arm64_sys_setresgid" at 0xffff8000800bc518, type=FUNC, size=0x2c)
[D] sys_call_table[150]: Symbol("__arm64_sys_getresgid" at 0xffff8000800bc544, type=FUNC, size=0x154)
[D] sys_call_table[151]: Symbol("__arm64_sys_setfsuid" at 0xffff8000800bc784, type=FUNC, size=0x20)
[D] sys_call_table[152]: Symbol("__arm64_sys_setfsgid" at 0xffff8000800bc894, type=FUNC, size=0x20)
[D] sys_call_table[153]: Symbol("__arm64_sys_times" at 0xffff8000800bca10, type=FUNC, size=0xc0)
[D] sys_call_table[154]: Symbol("__arm64_sys_setpgid" at 0xffff8000800bcc3c, type=FUNC, size=0x188)
[D] sys_call_table[155]: Symbol("__arm64_sys_getpgid" at 0xffff8000800bcdc4, type=FUNC, size=0x78)
[D] sys_call_table[156]: Symbol("__arm64_sys_getsid" at 0xffff8000800bce7c, type=FUNC, size=0x7c)
[D] sys_call_table[157]: Symbol("__arm64_sys_setsid" at 0xffff8000800bcff0, type=FUNC, size=0x20)
[D] sys_call_table[158]: Symbol("__arm64_sys_getgroups" at 0xffff8000800d67ec, type=FUNC, size=0x144)
[D] sys_call_table[159]: Symbol("__arm64_sys_setgroups" at 0xffff8000800d698c, type=FUNC, size=0x254)
[D] sys_call_table[160]: Symbol("__arm64_sys_newuname" at 0xffff8000800bd010, type=FUNC, size=0x20)
[D] sys_call_table[161]: Symbol("__arm64_sys_sethostname" at 0xffff8000800bd030, type=FUNC, size=0x164)
[D] sys_call_table[162]: Symbol("__arm64_sys_setdomainname" at 0xffff8000800bd2e4, type=FUNC, size=0x164)
[D] sys_call_table[163]: Symbol("__arm64_sys_getrlimit" at 0xffff8000800bd448, type=FUNC, size=0x104)
[D] sys_call_table[164]: Symbol("__arm64_sys_setrlimit" at 0xffff8000800bda3c, type=FUNC, size=0xbc)
[D] sys_call_table[165]: Symbol("__arm64_sys_getrusage" at 0xffff8000800bdfc8, type=FUNC, size=0x28)
[D] sys_call_table[166]: Symbol("__arm64_sys_umask" at 0xffff8000800be018, type=FUNC, size=0x30)
[D] sys_call_table[167]: Symbol("__arm64_sys_prctl" at 0xffff8000800be058, type=FUNC, size=0x964)
[D] sys_call_table[168]: Symbol("__arm64_sys_getcpu" at 0xffff8000800be9bc, type=FUNC, size=0xf8)
[D] sys_call_table[169]: Symbol("__arm64_sys_gettimeofday" at 0xffff800080156c84, type=FUNC, size=0x17c)
[D] sys_call_table[170]: Symbol("__arm64_sys_settimeofday" at 0xffff800080156edc, type=FUNC, size=0x1a4)
[D] sys_call_table[171]: Symbol("__arm64_sys_adjtimex" at 0xffff80008015738c, type=FUNC, size=0x20)
[D] sys_call_table[172]: Symbol("__arm64_sys_getpid" at 0xffff8000800bc8b4, type=FUNC, size=0x2c)
[D] sys_call_table[173]: Symbol("__arm64_sys_getppid" at 0xffff8000800bc90c, type=FUNC, size=0x44)
[D] sys_call_table[174]: Symbol("__arm64_sys_getuid" at 0xffff8000800bc950, type=FUNC, size=0x30)
[D] sys_call_table[175]: Symbol("__arm64_sys_geteuid" at 0xffff8000800bc980, type=FUNC, size=0x30)
[D] sys_call_table[176]: Symbol("__arm64_sys_getgid" at 0xffff8000800bc9b0, type=FUNC, size=0x30)
[D] sys_call_table[177]: Symbol("__arm64_sys_getegid" at 0xffff8000800bc9e0, type=FUNC, size=0x30)
[D] sys_call_table[178]: Symbol("__arm64_sys_gettid" at 0xffff8000800bc8e0, type=FUNC, size=0x2c)
[D] sys_call_table[179]: Symbol("__arm64_sys_sysinfo" at 0xffff8000800beab4, type=FUNC, size=0x20)
[D] sys_call_table[180]: Symbol("__arm64_sys_mq_open" at 0xffff80008058bb00, type=FUNC, size=0xe8)
[D] sys_call_table[181]: Symbol("__arm64_sys_mq_unlink" at 0xffff80008058bbe8, type=FUNC, size=0x15c)
[D] sys_call_table[182]: Symbol("__arm64_sys_mq_timedsend" at 0xffff80008058bd44, type=FUNC, size=0xc0)
[D] sys_call_table[183]: Symbol("__arm64_sys_mq_timedreceive" at 0xffff80008058be04, type=FUNC, size=0xc0)
[D] sys_call_table[184]: Symbol("__arm64_sys_mq_notify" at 0xffff80008058bec4, type=FUNC, size=0xd0)
[D] sys_call_table[185]: Symbol("__arm64_sys_mq_getsetattr" at 0xffff80008058bf94, type=FUNC, size=0x28)
[D] sys_call_table[186]: Symbol("__arm64_sys_msgget" at 0xffff800080581850, type=FUNC, size=0x7c)
[D] sys_call_table[187]: Symbol("__arm64_sys_msgctl" at 0xffff8000805818cc, type=FUNC, size=0x2c)
[D] sys_call_table[188]: Symbol("__arm64_sys_msgrcv" at 0xffff800080581ae0, type=FUNC, size=0x38)
[D] sys_call_table[189]: Symbol("__arm64_sys_msgsnd" at 0xffff800080581a04, type=FUNC, size=0x2c)
[D] sys_call_table[190]: Symbol("__arm64_sys_semget" at 0xffff8000805849cc, type=FUNC, size=0x94)
[D] sys_call_table[191]: Symbol("__arm64_sys_semctl" at 0xffff800080584a60, type=FUNC, size=0x1a4)
[D] sys_call_table[192]: Symbol("__arm64_sys_semtimedop" at 0xffff800080585c74, type=FUNC, size=0xa8)
[D] sys_call_table[193]: Symbol("__arm64_sys_semop" at 0xffff800080585e74, type=FUNC, size=0x30)
[D] sys_call_table[194]: Symbol("__arm64_sys_shmget" at 0xffff800080588504, type=FUNC, size=0x84)
[D] sys_call_table[195]: Symbol("__arm64_sys_shmctl" at 0xffff800080588588, type=FUNC, size=0x2c)
[D] sys_call_table[196]: Symbol("__arm64_sys_shmat" at 0xffff800080588b30, type=FUNC, size=0x70)
[D] sys_call_table[197]: Symbol("__arm64_sys_shmdt" at 0xffff800080588e44, type=FUNC, size=0x20)
[D] sys_call_table[198]: Symbol("__arm64_sys_socket" at 0xffff800080da6d2c, type=FUNC, size=0x30)
[D] sys_call_table[199]: Symbol("__arm64_sys_socketpair" at 0xffff800080da7060, type=FUNC, size=0x34)
[D] sys_call_table[200]: Symbol("__arm64_sys_bind" at 0xffff800080da7194, type=FUNC, size=0x30)
[D] sys_call_table[201]: Symbol("__arm64_sys_listen" at 0xffff800080da7298, type=FUNC, size=0x2c)
[D] sys_call_table[202]: Symbol("__arm64_sys_accept" at 0xffff800080da7580, type=FUNC, size=0x30)
[D] sys_call_table[203]: Symbol("__arm64_sys_connect" at 0xffff800080da7734, type=FUNC, size=0x30)
[D] sys_call_table[204]: Symbol("__arm64_sys_getsockname" at 0xffff800080da7858, type=FUNC, size=0x2c)
[D] sys_call_table[205]: Symbol("__arm64_sys_getpeername" at 0xffff800080da7990, type=FUNC, size=0x2c)
[D] sys_call_table[206]: Symbol("__arm64_sys_sendto" at 0xffff800080da7b18, type=FUNC, size=0x38)
[D] sys_call_table[207]: Symbol("__arm64_sys_recvfrom" at 0xffff800080da7cdc, type=FUNC, size=0x34)
[D] sys_call_table[208]: Symbol("__arm64_sys_setsockopt" at 0xffff800080da7e14, type=FUNC, size=0x38)
[D] sys_call_table[209]: Symbol("__arm64_sys_getsockopt" at 0xffff800080da7f1c, type=FUNC, size=0x34)
[D] sys_call_table[210]: Symbol("__arm64_sys_shutdown" at 0xffff800080da804c, type=FUNC, size=0x2c)
[D] sys_call_table[211]: Symbol("__arm64_sys_sendmsg" at 0xffff800080da8850, type=FUNC, size=0x30)
[D] sys_call_table[212]: Symbol("__arm64_sys_recvmsg" at 0xffff800080da8c18, type=FUNC, size=0x30)
[D] sys_call_table[213]: Symbol("__arm64_sys_readahead" at 0xffff800080299334, type=FUNC, size=0x28)
[D] sys_call_table[214]: Symbol("__arm64_sys_brk" at 0xffff8000802e5b0c, type=FUNC, size=0x308)
[D] sys_call_table[215]: Symbol("__arm64_sys_munmap" at 0xffff8000802e4aac, type=FUNC, size=0x30)
[D] sys_call_table[216]: Symbol("__arm64_sys_mremap" at 0xffff8000802ebf90, type=FUNC, size=0x2c)
[D] sys_call_table[217]: Symbol("__arm64_sys_add_key" at 0xffff800080591500, type=FUNC, size=0x250)
[D] sys_call_table[218]: Symbol("__arm64_sys_request_key" at 0xffff800080591750, type=FUNC, size=0x1c4)
[D] sys_call_table[219]: Symbol("__arm64_sys_keyctl" at 0xffff800080593730, type=FUNC, size=0x268)
[D] sys_call_table[220]: Symbol("__arm64_sys_clone" at 0xffff80008009e754, type=FUNC, size=0x2c)
[D] sys_call_table[221]: Symbol("__arm64_sys_execve" at 0xffff80008037ed9c, type=FUNC, size=0x54)
[D] sys_call_table[222]: Symbol("__arm64_sys_mmap" at 0xffff8000800202ec, type=FUNC, size=0x44)
[D] sys_call_table[223]: Symbol("__arm64_sys_fadvise64_64" at 0xffff8000802933f0, type=FUNC, size=0x30)
