[D] Systrack v0.8
[D] Command line: systrack -vvvv --format json --arch riscv64 --kdir /mnt/m2data/linux-worktrees/v6.6 --remap /mnt/m2data/linux /mnt/m2data/kernels/vmlinux-riscv64-v6.6
[D] Running command: readelf -Ws /mnt/m2data/kernels/vmlinux-riscv64-v6.6
[D] Running command: readelf -WS /mnt/m2data/kernels/vmlinux-riscv64-v6.6
Detected kernel version: 6.6.0 (from vmlinux)
[D] Arch: ArchRiscV(name='riscv', bits32=False, abi='rv64', compat=False, ...)
[D] Syscall table: Symbol("sys_call_table" at 0xffffffff80e008b8, type=OBJECT, size=0xe28)
[D] sys_call_table[49]: Symbol("__riscv_sys_chdir" at 0xffffffff80225840, type=FUNC, size=0xb2)
[D] sys_call_table[50]: Symbol("__riscv_sys_fchdir" at 0xffffffff802258f2, type=FUNC, size=0x8c)
[D] sys_call_table[51]: Symbol("__riscv_sys_chroot" at 0xffffffff8022597e, type=FUNC, size=0xdc)
[D] sys_call_table[52]: Symbol("__riscv_sys_fchmod" at 0xffffffff80225bfc, type=FUNC, size=0x98)
[D] sys_call_table[53]: Symbol("__riscv_sys_fchmodat" at 0xffffffff80225d72, type=FUNC, size=0xa2)
[D] sys_call_table[54]: Symbol("__riscv_sys_fchownat" at 0xffffffff8022619a, type=FUNC, size=0x20)
[D] sys_call_table[55]: Symbol("__riscv_sys_fchown" at 0xffffffff802262c4, type=FUNC, size=0x70)
[D] sys_call_table[56]: Symbol("__riscv_sys_openat" at 0xffffffff80226868, type=FUNC, size=0x88)
[D] sys_call_table[57]: Symbol("__riscv_sys_close" at 0xffffffff80226b24, type=FUNC, size=0x60)
[D] sys_call_table[58]: Symbol("__riscv_sys_vhangup" at 0xffffffff80226ba0, type=FUNC, size=0x2a)
[D] sys_call_table[59]: Symbol("__riscv_sys_pipe2" at 0xffffffff80233c46, type=FUNC, size=0x1a)
[D] sys_call_table[60]: Symbol("__riscv_sys_quotactl" at 0xffffffff8029c56e, type=FUNC, size=0x37a)
[D] sys_call_table[61]: Symbol("__riscv_sys_getdents64" at 0xffffffff8023eb2c, type=FUNC, size=0x156)
[D] sys_call_table[62]: Symbol("__riscv_sys_lseek" at 0xffffffff80227ea0, type=FUNC, size=0xa2)
[D] sys_call_table[63]: Symbol("__riscv_sys_read" at 0xffffffff80228db2, type=FUNC, size=0x1c)
[D] sys_call_table[64]: Symbol("__riscv_sys_write" at 0xffffffff80228e9e, type=FUNC, size=0x1c)
[D] sys_call_table[65]: Symbol("__riscv_sys_readv" at 0xffffffff8022929a, type=FUNC, size=0x1e)
[D] sys_call_table[66]: Symbol("__riscv_sys_writev" at 0xffffffff802292b8, type=FUNC, size=0x1e)
[D] sys_call_table[67]: Symbol("__riscv_sys_pread64" at 0xffffffff80228f4a, type=FUNC, size=0xac)
[D] sys_call_table[68]: Symbol("__riscv_sys_pwrite64" at 0xffffffff8022913a, type=FUNC, size=0xac)
[D] sys_call_table[69]: Symbol("__riscv_sys_preadv" at 0xffffffff802292d6, type=FUNC, size=0xb2)
[D] sys_call_table[70]: Symbol("__riscv_sys_pwritev" at 0xffffffff802293be, type=FUNC, size=0xb2)
[D] sys_call_table[71]: Symbol("__riscv_sys_sendfile64" at 0xffffffff802296b6, type=FUNC, size=0xf0)
[D] sys_call_table[72]: Symbol("__riscv_sys_pselect6" at 0xffffffff80240928, type=FUNC, size=0x1b8)
[D] sys_call_table[73]: Symbol("__riscv_sys_ppoll" at 0xffffffff80240bd8, type=FUNC, size=0x118)
[D] sys_call_table[74]: Symbol("__riscv_sys_signalfd4" at 0xffffffff80278e9c, type=FUNC, size=0x70)
[D] sys_call_table[75]: Symbol("__riscv_sys_vmsplice" at 0xffffffff80260608, type=FUNC, size=0x1e)
[D] sys_call_table[76]: Symbol("__riscv_sys_splice" at 0xffffffff80260626, type=FUNC, size=0x206)
[D] sys_call_table[77]: Symbol("__riscv_sys_tee" at 0xffffffff80260b1e, type=FUNC, size=0xcc)
[D] sys_call_table[78]: Symbol("__riscv_sys_readlinkat" at 0xffffffff8022ef70, type=FUNC, size=0x1e)
[D] sys_call_table[79]: Symbol("__riscv_sys_newfstatat" at 0xffffffff8022ef38, type=FUNC, size=0x1e)
[D] sys_call_table[80]: Symbol("__riscv_sys_newfstat" at 0xffffffff8022ef56, type=FUNC, size=0x1a)
[D] sys_call_table[81]: Symbol("__riscv_sys_sync" at 0xffffffff80260e86, type=FUNC, size=0x16)
[D] sys_call_table[82]: Symbol("__riscv_sys_fsync" at 0xffffffff80260f84, type=FUNC, size=0x5e)
[D] sys_call_table[83]: Symbol("__riscv_sys_fdatasync" at 0xffffffff80260fe2, type=FUNC, size=0x70)
[D] sys_call_table[84]: Symbol("__riscv_sys_sync_file_range" at 0xffffffff80261192, type=FUNC, size=0x68)
[D] sys_call_table[85]: Symbol("__riscv_sys_timerfd_create" at 0xffffffff80279c2c, type=FUNC, size=0x19c)
[D] sys_call_table[86]: Symbol("__riscv_sys_timerfd_settime" at 0xffffffff80279dc8, type=FUNC, size=0xae)
[D] sys_call_table[87]: Symbol("__riscv_sys_timerfd_gettime" at 0xffffffff80279e76, type=FUNC, size=0x74)
[D] sys_call_table[88]: Symbol("__riscv_sys_utimensat" at 0xffffffff802615fe, type=FUNC, size=0xb8)
[D] sys_call_table[89]: Symbol("__riscv_sys_acct" at 0xffffffff800b7dd2, type=FUNC, size=0x296)
[D] sys_call_table[90]: Symbol("__riscv_sys_capget" at 0xffffffff8001e862, type=FUNC, size=0x1ba)
[D] sys_call_table[91]: Symbol("__riscv_sys_capset" at 0xffffffff8001ea1c, type=FUNC, size=0x1a2)
[D] sys_call_table[92]: Symbol("__riscv_sys_personality" at 0xffffffff80012ece, type=FUNC, size=0x26)
[D] sys_call_table[93]: Symbol("__riscv_sys_exit" at 0xffffffff8001913a, type=FUNC, size=0x18)
[D] sys_call_table[94]: Symbol("__riscv_sys_exit_group" at 0xffffffff800191c2, type=FUNC, size=0x18)
[D] sys_call_table[95]: Symbol("__riscv_sys_waitid" at 0xffffffff800191fa, type=FUNC, size=0x20)
[D] sys_call_table[96]: Symbol("__riscv_sys_set_tid_address" at 0xffffffff80010e88, type=FUNC, size=0x22)
[D] sys_call_table[97]: Symbol("__riscv_sys_unshare" at 0xffffffff80012d36, type=FUNC, size=0x18)
[D] sys_call_table[98]: Symbol("__riscv_sys_futex" at 0xffffffff800b2010, type=FUNC, size=0x14e)
[D] sys_call_table[99]: Symbol("__riscv_sys_set_robust_list" at 0xffffffff800b1d9e, type=FUNC, size=0x30)
[D] sys_call_table[100]: Symbol("__riscv_sys_get_robust_list" at 0xffffffff800b1dce, type=FUNC, size=0x146)
[D] sys_call_table[101]: Symbol("__riscv_sys_nanosleep" at 0xffffffff8009fc7c, type=FUNC, size=0xae)
[D] sys_call_table[102]: Symbol("__riscv_sys_getitimer" at 0xffffffff800ab0c8, type=FUNC, size=0xc6)
[D] sys_call_table[103]: Symbol("__riscv_sys_setitimer" at 0xffffffff800ab326, type=FUNC, size=0x198)
[D] sys_call_table[104]: Symbol("__riscv_sys_kexec_load" at 0xffffffff800ba330, type=FUNC, size=0xa6)
[D] sys_call_table[105]: Symbol("__riscv_sys_init_module" at 0xffffffff80096372, type=FUNC, size=0x1c)
[D] sys_call_table[106]: Symbol("__riscv_sys_delete_module" at 0xffffffff80096716, type=FUNC, size=0x1e8)
[D] sys_call_table[107]: Symbol("__riscv_sys_timer_create" at 0xffffffff800a805c, type=FUNC, size=0x9c)
[D] sys_call_table[108]: Symbol("__riscv_sys_timer_gettime" at 0xffffffff800a818c, type=FUNC, size=0x72)
[D] sys_call_table[109]: Symbol("__riscv_sys_timer_getoverrun" at 0xffffffff800a8270, type=FUNC, size=0x74)
[D] sys_call_table[110]: Symbol("__riscv_sys_timer_settime" at 0xffffffff800a82e4, type=FUNC, size=0xb4)
[D] sys_call_table[111]: Symbol("__riscv_sys_timer_delete" at 0xffffffff800a845a, type=FUNC, size=0xd0)
[D] sys_call_table[112]: Symbol("__riscv_sys_clock_settime" at 0xffffffff800a865c, type=FUNC, size=0xbe)
[D] sys_call_table[113]: Symbol("__riscv_sys_clock_gettime" at 0xffffffff800a871a, type=FUNC, size=0xb8)
[D] sys_call_table[114]: Symbol("__riscv_sys_clock_getres" at 0xffffffff800a8852, type=FUNC, size=0xbc)
[D] sys_call_table[115]: Symbol("__riscv_sys_clock_nanosleep" at 0xffffffff800a8b68, type=FUNC, size=0x114)
[D] sys_call_table[116]: Symbol("__riscv_sys_syslog" at 0xffffffff800724bc, type=FUNC, size=0x1e)
[D] sys_call_table[117]: Symbol("__riscv_sys_ptrace" at 0xffffffff8001fcee, type=FUNC, size=0x106)
[D] sys_call_table[118]: Symbol("__riscv_sys_sched_setparam" at 0xffffffff80047480, type=FUNC, size=0x1c)
[D] sys_call_table[119]: Symbol("__riscv_sys_sched_setscheduler" at 0xffffffff8004745a, type=FUNC, size=0x26)
[D] sys_call_table[120]: Symbol("__riscv_sys_sched_getscheduler" at 0xffffffff800477de, type=FUNC, size=0x64)
[D] sys_call_table[121]: Symbol("__riscv_sys_sched_getparam" at 0xffffffff80047842, type=FUNC, size=0xc0)
[D] sys_call_table[122]: Symbol("__riscv_sys_sched_setaffinity" at 0xffffffff800498aa, type=FUNC, size=0x72)
[D] sys_call_table[123]: Symbol("__riscv_sys_sched_getaffinity" at 0xffffffff80047bbe, type=FUNC, size=0x92)
[D] sys_call_table[124]: Symbol("__riscv_sys_sched_yield" at 0xffffffff80047c50, type=FUNC, size=0x16)
[D] sys_call_table[125]: Symbol("__riscv_sys_sched_get_priority_max" at 0xffffffff80047cc2, type=FUNC, size=0x48)
[D] sys_call_table[126]: Symbol("__riscv_sys_sched_get_priority_min" at 0xffffffff80047d0a, type=FUNC, size=0x46)
[D] sys_call_table[127]: Symbol("__riscv_sys_sched_rr_get_interval" at 0xffffffff80047d50, type=FUNC, size=0x60)
[D] sys_call_table[128]: Symbol("__riscv_sys_restart_syscall" at 0xffffffff800234e4, type=FUNC, size=0x1a)
[D] sys_call_table[129]: Symbol("__riscv_sys_kill" at 0xffffffff800265a2, type=FUNC, size=0x1a4)
[D] sys_call_table[130]: Symbol("__riscv_sys_tkill" at 0xffffffff80026948, type=FUNC, size=0x24)
[D] sys_call_table[131]: Symbol("__riscv_sys_tgkill" at 0xffffffff8002691e, type=FUNC, size=0x2a)
[D] sys_call_table[132]: Symbol("__riscv_sys_sigaltstack" at 0xffffffff80026e28, type=FUNC, size=0xba)
[D] sys_call_table[133]: Symbol("__riscv_sys_rt_sigsuspend" at 0xffffffff80027400, type=FUNC, size=0x62)
[D] sys_call_table[134]: Symbol("__riscv_sys_rt_sigaction" at 0xffffffff80027024, type=FUNC, size=0xbc)
[D] sys_call_table[135]: Symbol("__riscv_sys_rt_sigprocmask" at 0xffffffff800236fa, type=FUNC, size=0xfc)
[D] sys_call_table[136]: Symbol("__riscv_sys_rt_sigpending" at 0xffffffff80023908, type=FUNC, size=0x98)
[D] sys_call_table[137]: Symbol("__riscv_sys_rt_sigtimedwait" at 0xffffffff8002627a, type=FUNC, size=0xce)
[D] sys_call_table[138]: Symbol("__riscv_sys_rt_sigqueueinfo" at 0xffffffff8002696c, type=FUNC, size=0xd6)
[D] sys_call_table[139]: Symbol("__riscv_sys_rt_sigreturn" at 0xffffffff80004eca, type=FUNC, size=0x374)
[D] sys_call_table[140]: Symbol("__riscv_sys_setpriority" at 0xffffffff80028906, type=FUNC, size=0x23a)
[D] sys_call_table[141]: Symbol("__riscv_sys_getpriority" at 0xffffffff80028b40, type=FUNC, size=0x208)
[D] sys_call_table[142]: Symbol("__riscv_sys_reboot" at 0xffffffff8003c074, type=FUNC, size=0x1e)
[D] sys_call_table[143]: Symbol("__riscv_sys_setregid" at 0xffffffff80028e82, type=FUNC, size=0x1a)
[D] sys_call_table[144]: Symbol("__riscv_sys_setgid" at 0xffffffff80028f72, type=FUNC, size=0x18)
[D] sys_call_table[145]: Symbol("__riscv_sys_setreuid" at 0xffffffff80029176, type=FUNC, size=0x1a)
[D] sys_call_table[146]: Symbol("__riscv_sys_setuid" at 0xffffffff8002927a, type=FUNC, size=0x18)
[D] sys_call_table[147]: Symbol("__riscv_sys_setresuid" at 0xffffffff800295e4, type=FUNC, size=0x1c)
[D] sys_call_table[148]: Symbol("__riscv_sys_getresuid" at 0xffffffff80029600, type=FUNC, size=0x182)
[D] sys_call_table[149]: Symbol("__riscv_sys_setresgid" at 0xffffffff80029a9c, type=FUNC, size=0x1c)
[D] sys_call_table[150]: Symbol("__riscv_sys_getresgid" at 0xffffffff80029ab8, type=FUNC, size=0x184)
[D] sys_call_table[151]: Symbol("__riscv_sys_setfsuid" at 0xffffffff80029cf4, type=FUNC, size=0x18)
[D] sys_call_table[152]: Symbol("__riscv_sys_setfsgid" at 0xffffffff80029dc4, type=FUNC, size=0x18)
[D] sys_call_table[153]: Symbol("__riscv_sys_times" at 0xffffffff80029ec0, type=FUNC, size=0x80)
[D] sys_call_table[154]: Symbol("__riscv_sys_setpgid" at 0xffffffff8002a060, type=FUNC, size=0x130)
[D] sys_call_table[155]: Symbol("__riscv_sys_getpgid" at 0xffffffff8002a190, type=FUNC, size=0x6e)
[D] sys_call_table[156]: Symbol("__riscv_sys_getsid" at 0xffffffff8002a1fe, type=FUNC, size=0x64)
[D] sys_call_table[157]: Symbol("__riscv_sys_setsid" at 0xffffffff8002a310, type=FUNC, size=0x14)
[D] sys_call_table[158]: Symbol("__riscv_sys_getgroups" at 0xffffffff8003dae2, type=FUNC, size=0x108)
[D] sys_call_table[159]: Symbol("__riscv_sys_setgroups" at 0xffffffff8003dc1e, type=FUNC, size=0x1bc)
[D] sys_call_table[160]: Symbol("__riscv_sys_newuname" at 0xffffffff8002a324, type=FUNC, size=0x18)
[D] sys_call_table[161]: Symbol("__riscv_sys_sethostname" at 0xffffffff8002a33c, type=FUNC, size=0x102)
[D] sys_call_table[162]: Symbol("__riscv_sys_setdomainname" at 0xffffffff8002a43e, type=FUNC, size=0x102)
[D] sys_call_table[163]: Symbol("__riscv_sys_getrlimit" at 0xffffffff8002a540, type=FUNC, size=0xd8)
[D] sys_call_table[164]: Symbol("__riscv_sys_setrlimit" at 0xffffffff8002a9d6, type=FUNC, size=0x6a)
[D] sys_call_table[165]: Symbol("__riscv_sys_getrusage" at 0xffffffff8002ade2, type=FUNC, size=0x1a)
[D] sys_call_table[166]: Symbol("__riscv_sys_umask" at 0xffffffff8002ae16, type=FUNC, size=0x26)
[D] sys_call_table[167]: Symbol("__riscv_sys_prctl" at 0xffffffff8002ae60, type=FUNC, size=0x5e4)
[D] sys_call_table[168]: Symbol("__riscv_sys_getcpu" at 0xffffffff8002b444, type=FUNC, size=0x138)
[D] sys_call_table[169]: Symbol("__riscv_sys_gettimeofday" at 0xffffffff8009a8ce, type=FUNC, size=0x152)
[D] sys_call_table[170]: Symbol("__riscv_sys_settimeofday" at 0xffffffff8009aad4, type=FUNC, size=0x182)
[D] sys_call_table[171]: Symbol("__riscv_sys_adjtimex" at 0xffffffff8009af2a, type=FUNC, size=0x18)
[D] sys_call_table[172]: Symbol("__riscv_sys_getpid" at 0xffffffff80029ddc, type=FUNC, size=0x1a)
[D] sys_call_table[173]: Symbol("__riscv_sys_getppid" at 0xffffffff80029e10, type=FUNC, size=0x30)
[D] sys_call_table[174]: Symbol("__riscv_sys_getuid" at 0xffffffff80029e40, type=FUNC, size=0x20)
[D] sys_call_table[175]: Symbol("__riscv_sys_geteuid" at 0xffffffff80029e60, type=FUNC, size=0x20)
[D] sys_call_table[176]: Symbol("__riscv_sys_getgid" at 0xffffffff80029e80, type=FUNC, size=0x20)
[D] sys_call_table[177]: Symbol("__riscv_sys_getegid" at 0xffffffff80029ea0, type=FUNC, size=0x20)
[D] sys_call_table[178]: Symbol("__riscv_sys_gettid" at 0xffffffff80029df6, type=FUNC, size=0x1a)
[D] sys_call_table[179]: Symbol("__riscv_sys_sysinfo" at 0xffffffff8002b57c, type=FUNC, size=0x18)
[D] sys_call_table[180]: Symbol("__riscv_sys_mq_open" at 0xffffffff803d8e56, type=FUNC, size=0x98)
[D] sys_call_table[181]: Symbol("__riscv_sys_mq_unlink" at 0xffffffff803d8eee, type=FUNC, size=0x126)
[D] sys_call_table[182]: Symbol("__riscv_sys_mq_timedsend" at 0xffffffff803d9014, type=FUNC, size=0xa8)
[D] sys_call_table[183]: Symbol("__riscv_sys_mq_timedreceive" at 0xffffffff803d90bc, type=FUNC, size=0xa8)
[D] sys_call_table[184]: Symbol("__riscv_sys_mq_notify" at 0xffffffff803d9164, type=FUNC, size=0x84)
[D] sys_call_table[185]: Symbol("__riscv_sys_mq_getsetattr" at 0xffffffff803d91e8, type=FUNC, size=0x1c)
[D] sys_call_table[186]: Symbol("__riscv_sys_msgget" at 0xffffffff803d05b8, type=FUNC, size=0x5e)
[D] sys_call_table[187]: Symbol("__riscv_sys_msgctl" at 0xffffffff803d0616, type=FUNC, size=0x1c)
[D] sys_call_table[188]: Symbol("__riscv_sys_msgrcv" at 0xffffffff803d07d8, type=FUNC, size=0x28)
[D] sys_call_table[189]: Symbol("__riscv_sys_msgsnd" at 0xffffffff803d06f6, type=FUNC, size=0x1e)
[D] sys_call_table[190]: Symbol("__riscv_sys_semget" at 0xffffffff803d2d38, type=FUNC, size=0x76)
[D] sys_call_table[191]: Symbol("__riscv_sys_semctl" at 0xffffffff803d2dae, type=FUNC, size=0x122)
[D] sys_call_table[192]: Symbol("__riscv_sys_semtimedop" at 0xffffffff803d3fa8, type=FUNC, size=0x8c)
[D] sys_call_table[193]: Symbol("__riscv_sys_semop" at 0xffffffff803d414a, type=FUNC, size=0x1e)
[D] sys_call_table[194]: Symbol("__riscv_sys_shmget" at 0xffffffff803d6054, type=FUNC, size=0x62)
[D] sys_call_table[195]: Symbol("__riscv_sys_shmctl" at 0xffffffff803d60b6, type=FUNC, size=0x1c)
[D] sys_call_table[196]: Symbol("__riscv_sys_shmat" at 0xffffffff803d6530, type=FUNC, size=0x4c)
[D] sys_call_table[197]: Symbol("__riscv_sys_shmdt" at 0xffffffff803d67be, type=FUNC, size=0x18)
[D] sys_call_table[198]: Symbol("__riscv_sys_socket" at 0xffffffff806bf9d0, type=FUNC, size=0x1c)
[D] sys_call_table[199]: Symbol("__riscv_sys_socketpair" at 0xffffffff806bfc88, type=FUNC, size=0x1e)
[D] sys_call_table[200]: Symbol("__riscv_sys_bind" at 0xffffffff806bfd9c, type=FUNC, size=0x1c)
[D] sys_call_table[201]: Symbol("__riscv_sys_listen" at 0xffffffff806bfe98, type=FUNC, size=0x1a)
[D] sys_call_table[202]: Symbol("__riscv_sys_accept" at 0xffffffff806c00d8, type=FUNC, size=0x1e)
[D] sys_call_table[203]: Symbol("__riscv_sys_connect" at 0xffffffff806c0228, type=FUNC, size=0x1c)
[D] sys_call_table[204]: Symbol("__riscv_sys_getsockname" at 0xffffffff806c033c, type=FUNC, size=0x1c)
[D] sys_call_table[205]: Symbol("__riscv_sys_getpeername" at 0xffffffff806c0460, type=FUNC, size=0x1c)
[D] sys_call_table[206]: Symbol("__riscv_sys_sendto" at 0xffffffff806c060c, type=FUNC, size=0x22)
[D] sys_call_table[207]: Symbol("__riscv_sys_recvfrom" at 0xffffffff806c07ba, type=FUNC, size=0x22)
[D] sys_call_table[208]: Symbol("__riscv_sys_setsockopt" at 0xffffffff806c09c0, type=FUNC, size=0x20)
[D] sys_call_table[209]: Symbol("__riscv_sys_getsockopt" at 0xffffffff806c0b92, type=FUNC, size=0x20)
[D] sys_call_table[210]: Symbol("__riscv_sys_shutdown" at 0xffffffff806c0c98, type=FUNC, size=0x1a)
[D] sys_call_table[211]: Symbol("__riscv_sys_sendmsg" at 0xffffffff806c0ea2, type=FUNC, size=0x1e)
[D] sys_call_table[212]: Symbol("__riscv_sys_recvmsg" at 0xffffffff806c12c0, type=FUNC, size=0x1e)
[D] sys_call_table[213]: Symbol("__riscv_sys_readahead" at 0xffffffff80192a68, type=FUNC, size=0x1c)
[D] sys_call_table[214]: Symbol("__riscv_sys_brk" at 0xffffffff801d13e2, type=FUNC, size=0x2f0)
[D] sys_call_table[215]: Symbol("__riscv_sys_munmap" at 0xffffffff801d05fa, type=FUNC, size=0x1c)
[D] sys_call_table[216]: Symbol("__riscv_sys_mremap" at 0xffffffff801d5d24, type=FUNC, size=0x20)
[D] sys_call_table[217]: Symbol("__riscv_sys_add_key" at 0xffffffff803dd514, type=FUNC, size=0x1a2)
[D] sys_call_table[218]: Symbol("__riscv_sys_request_key" at 0xffffffff803dd6b6, type=FUNC, size=0x178)
[D] sys_call_table[219]: Symbol("__riscv_sys_keyctl" at 0xffffffff803dec7a, type=FUNC, size=0x1f2)
[D] sys_call_table[220]: Symbol("__riscv_sys_clone" at 0xffffffff800128b4, type=FUNC, size=0x20)
[D] sys_call_table[221]: Symbol("__riscv_sys_execve" at 0xffffffff80231dc0, type=FUNC, size=0x3c)
